fold,train_seasons,test_season,core_scale,core_home_advantage,core_k,selected_power_carry,train_brier
1,2018/19|2019/20,2020/21,1021.2418300653596,185.68033273915628,103.98098633392752,0.85,0.1568737220941461
2,2018/19|2019/20|2020/21,2021/22,928.4016636957815,148.54426619132505,103.98098633392752,1.0,0.15840165490215755
3,2018/19|2019/20|2020/21|2021/22,2022/23,928.4016636957815,148.54426619132505,103.98098633392752,0.85,0.15764842906071602
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,928.4016636957815,148.54426619132505,103.98098633392752,0.9,0.15866284875554743
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,835.5614973262034,148.54426619132505,103.98098633392752,0.9,0.15758101965873467
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,835.5614973262034,148.54426619132505,103.98098633392752,0.85,0.15964219543881705
