competition,matches,clusters,mean_brier_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,4884,3502,-0.003954790280443587,-0.005490671387812166,-0.002369851236474613,True,False
UCL,1384,1056,-0.004569802424067635,-0.007116386926132037,-0.0017784525961556691,True,False
UECL,2073,1291,-0.0026306403720327606,-0.004949206392300832,-0.00030543782190637503,True,False
UEL,1427,1155,-0.005281900268782733,-0.00846820178105815,-0.0020998870648732274,True,False
