fold,train_seasons,test_season,stage1_candidates,stage2_candidates,stage3_candidates,selected_candidate,theta,domestic_cap,variance_penalty,exposure_family,final_effect_cap,minimum_history_seasons,train_relative_loss_score
1,2018/19|2019/20,2020/21,48,40,20,"{""domestic_cap"":100.0,""exposure_family"":""FLOOR_50"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.8,""variance_penalty"":0.5}",0.8,100.0,0.5,FLOOR_50,75.0,5,-0.00036392071153351635
2,2018/19|2019/20|2020/21,2021/22,48,40,20,"{""domestic_cap"":30.0,""exposure_family"":""POWER_050"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":1.75,""variance_penalty"":0.75}",1.75,30.0,0.75,POWER_050,75.0,5,-0.00016826748682385873
3,2018/19|2019/20|2020/21|2021/22,2022/23,48,40,20,"{""domestic_cap"":60.0,""exposure_family"":""LINEAR"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.4,""variance_penalty"":0.0}",0.4,60.0,0.0,LINEAR,75.0,5,-6.33208561650056e-05
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,48,40,20,"{""domestic_cap"":75.0,""exposure_family"":""LINEAR"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.6,""variance_penalty"":0.25}",0.6,75.0,0.25,LINEAR,75.0,5,-0.000149956034604104
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,48,40,20,"{""domestic_cap"":150.0,""exposure_family"":""LINEAR"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.6,""variance_penalty"":0.0}",0.6,150.0,0.0,LINEAR,75.0,5,-0.00036988535546533807
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,48,40,20,"{""domestic_cap"":150.0,""exposure_family"":""LINEAR"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.6,""variance_penalty"":0.0}",0.6,150.0,0.0,LINEAR,75.0,5,-0.0003145180217237198
