exposure_band,team_seasons,mean_abs_effect,p95_abs_effect,max_abs_effect
0-.20,343,25.22401261883401,75.0,75.0
.20-.40,264,24.35678881966884,68.42037598847315,75.0
.40-.65,1280,8.952464086782399,30.127312553057706,57.883226724852825
>.65,0,,,
