fold,test_season,same_season_spearman,same_season_pairwise_accuracy,forward_spearman,forward_pairwise_accuracy
1,2020/21,-0.006679363217520051,-0.002669590111401998,0.0017663698156678564,-8.837200206035511e-05
2,2021/22,-0.002008939481224381,-0.0027829571967394884,0.0011923476900195795,0.0009547633806552547
3,2022/23,-0.0006969507047633883,-0.0011524729363127095,7.344727835645326e-06,0.0004251247684287085
4,2023/24,-0.0012461742045518642,-0.0009453871092582888,-0.0010842604994111271,-0.0005067818793970114
5,2024/25,-0.0019526357642823955,-0.0009366690036598513,0.0025024218966517853,0.0003405848691466762
6,2025/26,0.0004588208848310682,0.0005104537157406552,-0.002625590617375162,-0.0014106998135804405
