fold,test_season,model,matches,brier_1x2,log_loss_1x2,accuracy_1x2,same_season_spearman,same_season_pairwise_accuracy,forward_spearman,forward_pairwise_accuracy,mean_abs_effect,median_abs_effect,p90_abs_effect,p95_abs_effect,cap_hit_rate,maximum_match_zero_sum_error,season_power_conservation_error
1,2020/21,CURRENT_PRODUCTION,540,0.5275349481080992,0.8977454848068833,0.6,0.596650667269933,0.7211543900791062,0.48356366854280636,0.6728143033878516,6.7477981795616175,3.89467208843072,20.640000000000008,26.1,0.0,4.547473508864641e-13,1.1641532182693481e-10
1,2020/21,AMPLIFIED_CANDIDATE,540,0.5282930145637699,0.8987911852573958,0.6018518518518519,0.5899713040524129,0.7184847999677042,0.4853300383584742,0.6727259313857913,17.864498626692725,10.831993046104204,54.4844250003109,71.04012164879772,0.046413502109704644,4.547473508864641e-13,5.820766091346741e-11
2,2021/22,CURRENT_PRODUCTION,816,0.5751014578541463,0.9692752741353706,0.5453431372549019,0.6717326094525736,0.7588114032961824,0.47453853026140114,0.6588079879427976,6.92596675226449,4.366246052870406,18.512,25.499871444068237,0.0,4.547473508864641e-13,5.820766091346741e-11
2,2021/22,AMPLIFIED_CANDIDATE,816,0.575822425167541,0.9702828853063312,0.5514705882352942,0.6697236699713492,0.7560284460994429,0.4757308779514207,0.6597627513234529,14.109215711769952,17.74823934929885,26.02217815042213,29.375885009984106,0.0,9.094947017729282e-13,0.0
3,2022/23,CURRENT_PRODUCTION,804,0.586140033097534,0.9845274425683674,0.5236318407960199,0.6614048474501476,0.7587819239585998,0.3872186484732404,0.6306139845889629,6.161468888596528,2.933737416817005,17.999855091460343,22.740000000000002,0.0,4.547473508864641e-13,5.820766091346741e-11
3,2022/23,AMPLIFIED_CANDIDATE,804,0.5858622580835049,0.9841518672342694,0.5248756218905473,0.6607078967453842,0.7576294510222871,0.38722599320107604,0.6310391093573916,8.609742045673421,3.151140256783087,23.81038844754084,33.81329081790527,0.0,4.547473508864641e-13,0.0
4,2023/24,CURRENT_PRODUCTION,806,0.5621483557510335,0.9502556174445721,0.5595533498759305,0.7216302540094245,0.7755674891614734,0.5211654062346054,0.6724855562850093,6.08108038724722,3.5579139289895187,17.28593585139449,22.740000000000002,0.0,4.547473508864641e-13,5.820766091346741e-11
4,2023/24,AMPLIFIED_CANDIDATE,806,0.561597843228655,0.9495304731522584,0.5545905707196029,0.7203840798048726,0.7746221020522152,0.5200811457351943,0.6719787744056123,11.861800947077253,5.66739182280595,29.926317094901357,53.17267557927484,0.0,4.547473508864641e-13,5.820766091346741e-11
5,2024/25,CURRENT_PRODUCTION,957,0.5674151073830126,0.9582760134605236,0.5621734587251829,0.724698878501962,0.7736145884877035,0.4959465979511701,0.6671448127939141,6.593133731085428,3.094392848781407,21.18,26.827622197817593,0.0,4.547473508864641e-13,5.820766091346741e-11
5,2024/25,AMPLIFIED_CANDIDATE,957,0.5674149477541336,0.9581652269064732,0.5590386624869383,0.7227462427376796,0.7726779194840436,0.49844901984782186,0.6674853976630608,13.924258015069054,5.1677443658986775,46.26113558807177,67.81311869219317,0.029661016949152543,9.094947017729282e-13,0.0
6,2025/26,CURRENT_PRODUCTION,961,0.5815647023753698,0.9779948249308558,0.5494276795005203,0.7031218472630045,0.7687489700976778,0.4776721882165935,0.6643313099750153,6.827312900638457,3.963689583924262,20.099999999999998,24.015,0.0,9.094947017729282e-13,0.0
6,2025/26,AMPLIFIED_CANDIDATE,961,0.5811674396641342,0.9774203404738568,0.54630593132154,0.7035806681478356,0.7692594238134185,0.47504659759921836,0.6629206101614349,14.877290350728186,6.315709900879058,47.45893567981623,64.86470332264408,0.038135593220338986,9.094947017729282e-13,5.820766091346741e-11
