season,team_id,club_id,uefa_team_id,team_name,uefa_team_name,country,country_code,identity_method,identity_source,identity_verified
2026/27,AO-UEFA-50037,AO-UEFA-50037,50037,Bayern München,Bayern München,Germany,GER,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52758,AO-UEFA-52758,52758,Borussia Dortmund,B. Dortmund,Germany,GER,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2603790,AO-UEFA-2603790,2603790,RB Leipzig,Leipzig,Germany,GER,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-59880,AO-UEFA-59880,59880,SC Freiburg,Freiburg,Germany,GER,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50107,AO-UEFA-50107,50107,VfB Stuttgart,Stuttgart,Germany,GER,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2606416,AO-UEFA-2606416,2606416,Europa FC,Europa,Gibraltar,GIB,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2605572,AO-UEFA-2605572,2605572,Lincoln Red Imps,L. Red Imps,Gibraltar,GIB,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-2605575,AO-UEFA-2605575,2605575,St Joseph's FC,St Joseph's,Gibraltar,GIB,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50129,AO-UEFA-50129,50129,AEK Athens,AEK Athens,Greece,GRE,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52953,AO-UEFA-52953,52953,OFI Heraklion,OFI Crete,Greece,GRE,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-2610,AO-UEFA-2610,2610,Olympiakos Piraeus,Olympiacos,Greece,GRE,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-50130,AO-UEFA-50130,50130,PAOK Thessaloniki,PAOK,Greece,GRE,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-50084,AO-UEFA-50084,50084,Panathinaikos,Panathinaikos,Greece,GRE,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52958,AO-UEFA-52958,52958,DVSC Debrecen,Debrecen,Hungary,HUN,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-52287,AO-UEFA-52287,52287,ETO Györ,Győri ETO,Hungary,HUN,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-52298,AO-UEFA-52298,52298,Ferencváros,Ferencváros,Hungary,HUN,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-93452,AO-UEFA-93452,93452,Paksi FC,Paksi,Hungary,HUN,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2610384,AO-UEFA-2610384,2610384,IF Vestri,Vestri,Iceland,ISL,VERIFIED_UEFA_ID_OVERRIDE,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52308,AO-UEFA-52308,52308,Stjarnan FC,Stjarnan,Iceland,ISL,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-50057,AO-UEFA-50057,50057,Valur Reykjavik,Valur,Iceland,ISL,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-52697,AO-UEFA-52697,52697,Vikingur Reykjavik,Víkingur R.,Iceland,ISL,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52375,AO-UEFA-52375,52375,Bohemians Dublin,Bohemians,Ireland,IRL,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
