arm,competition,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
BOOST_DOMESTIC_FORM,ALL,log_loss_1x2,calendar_month,4884,65,-0.00012203432620624975,-0.000320334218594231,4.0234675136606913e-05,False,False
BOOST_DOMESTIC_FORM,ALL,log_loss_1x2,conservative_envelope,4884,,-0.00012203432620624975,-0.00036437905444380587,4.0234675136606913e-05,False,False
BOOST_DOMESTIC_FORM,UCL,brier_1x2,tie_or_match,1384,390,0.0,0.0,0.0,False,False
BOOST_DOMESTIC_FORM,UCL,brier_1x2,team_season,1384,478,0.0,0.0,0.0,False,False
BOOST_DOMESTIC_FORM,UCL,brier_1x2,calendar_month,1384,65,0.0,0.0,0.0,False,False
BOOST_DOMESTIC_FORM,UCL,brier_1x2,conservative_envelope,1384,,0.0,0.0,0.0,False,False
BOOST_DOMESTIC_FORM,UCL,log_loss_1x2,tie_or_match,1384,390,0.0,0.0,0.0,False,False
BOOST_DOMESTIC_FORM,UCL,log_loss_1x2,team_season,1384,478,0.0,0.0,0.0,False,False
BOOST_DOMESTIC_FORM,UCL,log_loss_1x2,calendar_month,1384,65,0.0,0.0,0.0,False,False
BOOST_DOMESTIC_FORM,UCL,log_loss_1x2,conservative_envelope,1384,,0.0,0.0,0.0,False,False
BOOST_DOMESTIC_FORM,UEL,brier_1x2,tie_or_match,1427,441,-0.00023278453102700884,-0.000835957578637979,1.610093315802113e-05,False,False
BOOST_DOMESTIC_FORM,UEL,brier_1x2,team_season,1427,538,-0.00023278453102700884,-0.0006070887010489117,7.256880970400317e-06,False,False
BOOST_DOMESTIC_FORM,UEL,brier_1x2,calendar_month,1427,57,-0.00023278453102700884,-0.0006238753084081822,2.840902808265348e-05,False,False
BOOST_DOMESTIC_FORM,UEL,brier_1x2,conservative_envelope,1427,,-0.00023278453102700884,-0.000835957578637979,2.840902808265348e-05,False,False
BOOST_DOMESTIC_FORM,UEL,log_loss_1x2,tie_or_match,1427,441,-0.00040622658662137136,-0.001299287833778159,2.6125411054811433e-05,False,False
BOOST_DOMESTIC_FORM,UEL,log_loss_1x2,team_season,1427,538,-0.00040622658662137136,-0.001027549366999981,4.466080950886256e-06,False,False
BOOST_DOMESTIC_FORM,UEL,log_loss_1x2,calendar_month,1427,57,-0.00040622658662137136,-0.0011218548208443086,4.356666220560413e-05,False,False
BOOST_DOMESTIC_FORM,UEL,log_loss_1x2,conservative_envelope,1427,,-0.00040622658662137136,-0.001299287833778159,4.356666220560413e-05,False,False
BOOST_DOMESTIC_FORM,UECL,brier_1x2,tie_or_match,2073,792,6.030516935651395e-06,-5.955050642837678e-05,6.442078348500628e-05,False,False
BOOST_DOMESTIC_FORM,UECL,brier_1x2,team_season,2073,864,6.030516935651395e-06,-7.734635765116406e-05,8.9671838622896e-05,False,False
BOOST_DOMESTIC_FORM,UECL,brier_1x2,calendar_month,2073,48,6.030516935651395e-06,-0.00016636100776271749,0.00018206696857727265,False,False
BOOST_DOMESTIC_FORM,UECL,brier_1x2,conservative_envelope,2073,,6.030516935651395e-06,-0.00016636100776271749,0.00018206696857727265,False,False
BOOST_DOMESTIC_FORM,UECL,log_loss_1x2,tie_or_match,2073,792,-7.877621844007117e-06,-9.769392552617298e-05,7.094291834108793e-05,False,False
BOOST_DOMESTIC_FORM,UECL,log_loss_1x2,team_season,2073,864,-7.877621844007117e-06,-0.00011445822340899282,9.646047951053414e-05,False,False
BOOST_DOMESTIC_FORM,UECL,log_loss_1x2,calendar_month,2073,48,-7.877621844007117e-06,-0.00023881136777642662,0.00020876075881199344,False,False
BOOST_DOMESTIC_FORM,UECL,log_loss_1x2,conservative_envelope,2073,,-7.877621844007117e-06,-0.00023881136777642662,0.00020876075881199344,False,False
