arm,matches,brier_1x2,log_loss_1x2,accuracy_1x2,seed_spearman,seed_pairwise_accuracy,spearman_fold_wins,pairwise_fold_wins,delta_vs_baseline_brier_1x2,delta_vs_baseline_log_loss_1x2,delta_vs_baseline_accuracy_1x2,delta_vs_baseline_seed_spearman,delta_vs_baseline_seed_pairwise_accuracy
BASELINE,4884,0.571537129681622,0.9635940943926272,0.54995904995905,0.4614240327555387,0.6602906601231888,0,0,0.0,0.0,0.0,0.0,0.0
BOOST_BLIND,4884,0.5710889453911939,0.9629191615044539,0.5501638001638002,0.4619330948676577,0.6602050911482107,4,3,-0.0004481842904280331,-0.0006749328881733296,0.00020475020475019257,0.0005090621121189853,-8.55689749781341e-05
BOOST_DOMESTIC_FORM,4884,0.5714716746725784,0.9634720600664208,0.5501638001638002,0.46171720485131634,0.6604116763342589,1,1,-6.545500904353574e-05,-0.00012203432620638832,0.00020475020475019257,0.00029317209577761627,0.00012101621107007965
