model,matches,brier_1x2,log_loss_1x2,accuracy_1x2,delta_brier_1x2_vs_ao,delta_log_loss_1x2_vs_ao,delta_accuracy_1x2_vs_ao,delta_brier_1x2_vs_current_ml,delta_log_loss_1x2_vs_current_ml,delta_accuracy_1x2_vs_current_ml
CURRENT_AO,4884,0.5665120389327867,0.9563933710027581,0.5585585585585585,0.0,0.0,0.0,0.003777919767127269,0.0052697578879777884,-0.001433251433251459
CURRENT_ML_BLEND,4884,0.5627341191656594,0.9511236131147803,0.55999180999181,-0.003777919767127269,-0.0052697578879777884,0.001433251433251459,0.0,0.0,0.0
AO_POISSON_BLEND,4884,0.5642924093468823,0.9531739704310789,0.5612203112203112,-0.0022196295859043813,-0.003219400571679243,0.0026617526617527254,0.0015582901812228878,0.0020503573162985456,0.0012285012285012664
AO_POISSON_RHO0_CONTROL,4884,0.564178374243823,0.9529227387896881,0.5614250614250614,-0.002333664688963677,-0.0034706322130699796,0.002866502866502918,0.0014442550781635921,0.0017991256749078088,0.001433251433251459
ML_POISSON_ENSEMBLE,4884,0.5621521139283686,0.9500224186806232,0.5612203112203112,-0.004359925004418064,-0.006370952322134915,0.0026617526617527254,-0.0005820052372907947,-0.0011011944341571267,0.0012285012285012664
