baseline_model,candidate_model,scope,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,competition:UEL,log_loss_1x2,team_season,1427,538,-0.0019554628895667387,-0.004338667909903494,0.0003522438635379279,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,competition:UEL,log_loss_1x2,calendar_month,1427,57,-0.0019554628895667387,-0.00547915532608564,0.0013064029397341324,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,competition:UEL,log_loss_1x2,conservative_envelope,1427,,-0.0019554628895667387,-0.00547915532608564,0.0013064029397341324,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,brier_1x2,tie_or_match,1317,1028,-0.0012309063455050067,-0.0036210937315135686,0.0011674791677253142,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,brier_1x2,team_season,1317,441,-0.0012309063455050067,-0.00298770148311731,0.0005437552234068519,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,brier_1x2,calendar_month,1317,61,-0.0012309063455050067,-0.0031589593653161088,0.0006405794623527846,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,brier_1x2,conservative_envelope,1317,,-0.0012309063455050067,-0.0036210937315135686,0.0011674791677253142,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,log_loss_1x2,tie_or_match,1317,1028,-0.002671168125723919,-0.006489507603787321,0.0012399422650410052,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,log_loss_1x2,team_season,1317,441,-0.002671168125723919,-0.005584350726245016,0.00020878600973105827,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,log_loss_1x2,calendar_month,1317,61,-0.002671168125723919,-0.00601124101583697,0.0005159945977026902,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,log_loss_1x2,conservative_envelope,1317,,-0.002671168125723919,-0.006489507603787321,0.0012399422650410052,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,brier_1x2,tie_or_match,1587,989,0.000696663362206179,-0.0002572667005818344,0.001690328502054197,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,brier_1x2,team_season,1587,880,0.000696663362206179,-7.983853404062823e-06,0.0014101545372446642,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,brier_1x2,calendar_month,1587,58,0.000696663362206179,-0.00038442229805741874,0.0018040305740899096,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,brier_1x2,conservative_envelope,1587,,0.000696663362206179,-0.00038442229805741874,0.0018040305740899096,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,log_loss_1x2,tie_or_match,1587,989,0.0009759241425853625,-0.0006378439085354493,0.0025077645446749623,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,log_loss_1x2,team_season,1587,880,0.0009759241425853625,-0.00010840611448987734,0.0020594041030755957,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,log_loss_1x2,calendar_month,1587,58,0.0009759241425853625,-0.000867411871035156,0.00283636717422693,False,False
