baseline_model,candidate_model,scope,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,competition:UEL,log_loss_1x2,team_season,1427,538,-0.0017162543753334147,-0.003663155032161883,0.00023138058349251052,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,competition:UEL,log_loss_1x2,calendar_month,1427,57,-0.0017162543753334147,-0.004466330291334534,0.0008596987593430873,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,competition:UEL,log_loss_1x2,conservative_envelope,1427,,-0.0017162543753334147,-0.004466330291334534,0.0008596987593430873,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,brier_1x2,tie_or_match,1317,1028,-0.0008942236972341392,-0.0027960330379888437,0.0010627242633235825,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,brier_1x2,team_season,1317,441,-0.0008942236972341392,-0.002244200095613733,0.0004025308666789979,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,brier_1x2,calendar_month,1317,61,-0.0008942236972341392,-0.002512402968848478,0.0006426205827812214,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,brier_1x2,conservative_envelope,1317,,-0.0008942236972341392,-0.0027960330379888437,0.0010627242633235825,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,log_loss_1x2,tie_or_match,1317,1028,-0.002045444589614437,-0.005270983473880094,0.00110799208056377,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,log_loss_1x2,team_season,1317,441,-0.002045444589614437,-0.004452076479156878,0.00018501860278920818,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,log_loss_1x2,calendar_month,1317,61,-0.002045444589614437,-0.00486253603439728,0.0005126017200500914,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:BOTH,log_loss_1x2,conservative_envelope,1317,,-0.002045444589614437,-0.005270983473880094,0.00110799208056377,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,brier_1x2,tie_or_match,1587,989,0.000567150935860762,-0.0001486885445198597,0.0012909239845482878,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,brier_1x2,team_season,1587,880,0.000567150935860762,7.875314027007852e-05,0.0010927756244796826,False,True
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,brier_1x2,calendar_month,1587,58,0.000567150935860762,-0.0004366509079629667,0.0016788465890017297,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,brier_1x2,conservative_envelope,1587,,0.000567150935860762,-0.0004366509079629667,0.0016788465890017297,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,log_loss_1x2,tie_or_match,1587,989,0.0005900451254315832,-0.0006601252649583884,0.001800072462812831,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,log_loss_1x2,team_season,1587,880,0.0005900451254315832,-0.0003020028181395619,0.0014863689620376102,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,log_loss_1x2,calendar_month,1587,58,0.0005900451254315832,-0.0010952204928422618,0.002488011903489193,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,log_loss_1x2,conservative_envelope,1587,,0.0005900451254315832,-0.0010952204928422618,0.002488011903489193,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,brier_1x2,tie_or_match,1980,1485,-0.0012953987398397278,-0.0027212771875245283,0.00015557522747928774,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,brier_1x2,team_season,1980,912,-0.0012953987398397278,-0.0022966988009355,-0.000319014489567773,True,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,brier_1x2,calendar_month,1980,60,-0.0012953987398397278,-0.0034005696250961957,0.0005980131199057288,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,brier_1x2,conservative_envelope,1980,,-0.0012953987398397278,-0.0034005696250961957,0.0005980131199057288,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,log_loss_1x2,tie_or_match,1980,1485,-0.0018286791444240926,-0.004203019556236431,0.0005346110646421429,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,log_loss_1x2,team_season,1980,912,-0.0018286791444240926,-0.0034514376928811933,-0.000246792642008512,True,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,log_loss_1x2,calendar_month,1980,60,-0.0018286791444240926,-0.004979163664135299,0.0010741241229604507,False,False
