candidate_key,reserve_base,uel_multiplier,uecl_multiplier,stage_profile,reserve_decay,reserve_cap,matches,brier_1x2,log_loss_1x2,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation,max_reserve,reserve_added,trophy_added,ranking_score,pairwise_accuracy
reserve_none,0.0,0.65,0.45,FLAT,0.0,297.0885323826501,6340,0.57570389573165,0.9700199031593156,94.9584820589952,9.094947017729282e-13,475.01845433796007,0.937453785979035,0.0,0.0,0.0,0.30744242960987206,0.6061641980184665
reserve_b74.2721_uel0.5_uecl0.25_flat_d0.25,74.27213309566253,0.5,0.25,FLAT,0.25,297.0885323826501,6340,0.5779442281283349,0.9731340851747429,95.18801076141558,9.094947017729282e-13,542.8975025734305,0.9344623720114544,218.0913818283227,34928.72750411345,468.98043140075464,0.30514118164905113,0.6055954783800509
reserve_b74.2721_uel0.5_uecl0.25_flat_d0.5,74.27213309566253,0.5,0.25,FLAT,0.5,297.0885323826501,6340,0.578551922501058,0.9739863807686863,95.18801076141558,9.094947017729282e-13,542.8975025734305,0.935729880881767,273.15925288261013,34809.453713520874,467.0368206292745,0.3033136880476358,0.6052342064660025
reserve_b74.2721_uel0.5_uecl0.25_flat_d0.75,74.27213309566253,0.5,0.25,FLAT,0.75,297.0885323826501,6340,0.580420757756841,0.9767404049317883,95.56494746992871,9.094947017729282e-13,548.2939084051013,0.9351998254783569,297.0885323826501,34595.56231361035,429.6462079750879,0.30110415406796204,0.60435058750343
reserve_b74.2721_uel0.5_uecl0.25_flat_d1,74.27213309566253,0.5,0.25,FLAT,1.0,297.0885323826501,6340,0.5855695122123461,0.9847575285620339,97.96781293206003,9.094947017729282e-13,566.8844563497919,0.9345579896837517,297.0885323826501,33269.24165904737,338.5550554352475,0.29653038380614394,0.6027790299205198
reserve_b74.2721_uel0.5_uecl0.25_gentle_ascending_d0.25,74.27213309566253,0.5,0.25,GENTLE_ASCENDING,0.25,297.0885323826501,6340,0.5766345718087981,0.9713064016219568,95.07315343667928,9.094947017729282e-13,533.4881057749014,0.9354523296081148,233.42351622697203,21722.9560046731,468.22646921935865,0.3065983593130887,0.605769966623271
reserve_b74.2721_uel0.5_uecl0.25_gentle_ascending_d0.5,74.27213309566253,0.5,0.25,GENTLE_ASCENDING,0.5,297.0885323826501,6340,0.5768658966713872,0.9716409157572211,95.07315343667928,9.094947017729282e-13,533.4881057749014,0.9369311782790006,292.50284391422855,21679.294033381437,465.73758134544494,0.3061010559013689,0.6057558247191427
reserve_b74.2721_uel0.5_uecl0.25_gentle_ascending_d0.75,74.27213309566253,0.5,0.25,GENTLE_ASCENDING,0.75,297.0885323826501,6340,0.5777481117835332,0.9729805326286108,95.45743693223685,9.094947017729282e-13,541.5730878623854,0.939020672506199,297.0885323826501,21555.61218571502,406.57373569231106,0.3048119896697078,0.6052595891007665
reserve_b74.2721_uel0.5_uecl0.25_gentle_ascending_d1,74.27213309566253,0.5,0.25,GENTLE_ASCENDING,1.0,297.0885323826501,6340,0.5806354018881921,0.9775216251166786,96.29101395517272,9.094947017729282e-13,551.7146610120958,0.940260592544248,297.0885323826501,20907.77862350045,332.9080443208373,0.30219664991571504,0.604510910009655
reserve_b74.2721_uel0.5_uecl0.25_knockout_ascending_d0.25,74.27213309566253,0.5,0.25,KNOCKOUT_ASCENDING,0.25,297.0885323826501,6340,0.5760979841864522,0.9705614435077282,95.01579057684327,9.094947017729282e-13,518.3463015477425,0.9361538227395229,207.15579711836784,13367.523840047861,469.0126585450879,0.30706880406185094,0.6060170489079308
