fold,test_season,candidate_key,reserve_base,uel_multiplier,uecl_multiplier,stage_profile,reserve_decay,reserve_cap,matches,brier_1x2,log_loss_1x2,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation,max_reserve,reserve_added,trophy_added,ranking_score,pairwise_accuracy
1,2020/21,reserve_none,0.0,0.65,0.45,FLAT,0.0,297.0885323826501,1456,0.5793457676897097,0.97447146324626,92.66612426482762,9.094947017729282e-13,471.46926628802817,0.9465157871773467,0.0,0.0,0.0,0.3569395830211434,0.6269279952956955
1,2020/21,reserve_b74.2721_uel0.5_uecl0.25_flat_d0.25,74.27213309566253,0.5,0.25,FLAT,0.25,297.0885323826501,1456,0.5809976970509521,0.9768257273344436,92.95952579533602,4.547473508864641e-13,538.9238437992874,0.9380123643535939,172.2273166149849,10102.087458912783,98.10903140568726,0.35328967694009467,0.6244901617794676
1,2020/21,reserve_b74.2721_uel0.5_uecl0.25_flat_d0.5,74.27213309566253,0.5,0.25,FLAT,0.5,297.0885323826501,1456,0.5810637590782903,0.9768950247763379,92.95952579533602,4.547473508864641e-13,538.9238437992874,0.937878047593206,181.3991578428966,10094.096222821194,97.90143963854551,0.35328967694009467,0.6244901617794676
1,2020/21,reserve_b74.2721_uel0.5_uecl0.25_flat_d0.75,74.27213309566253,0.5,0.25,FLAT,0.75,297.0885323826501,1456,0.581172873862821,0.9770259641018813,92.95952579533602,9.094947017729282e-13,538.9238437992874,0.9382909138768145,209.8432690974263,10086.244297007119,97.69257403618694,0.35328967694009467,0.6244901617794676
1,2020/21,reserve_b74.2721_uel0.5_uecl0.25_flat_d1,74.27213309566253,0.5,0.25,FLAT,1.0,297.0885323826501,1456,0.5813244405002749,0.9772181793439527,92.95952579533602,4.547473508864641e-13,538.9238437992874,0.9377130813707161,238.3014341508648,10078.530629073748,97.48254362318586,0.35328967694009467,0.6244901617794676
1,2020/21,reserve_b74.2721_uel0.5_uecl0.25_gentle_ascending_d0.25,74.27213309566253,0.5,0.25,GENTLE_ASCENDING,0.25,297.0885323826501,1456,0.5801314376762983,0.9755746088461902,92.81313591765758,9.094947017729282e-13,530.3235132185912,0.9423708981554433,192.06431703579625,6058.170137840225,98.46779790920058,0.35582345456671083,0.6256697915575364
1,2020/21,reserve_b74.2721_uel0.5_uecl0.25_gentle_ascending_d0.5,74.27213309566253,0.5,0.25,GENTLE_ASCENDING,0.5,297.0885323826501,1456,0.5802092729730228,0.9756674538254381,92.81313591765758,9.094947017729282e-13,530.3235132185912,0.9423339385099674,192.06431703579625,6058.813288690786,98.28388511074787,0.35582345456671083,0.6256697915575364
1,2020/21,reserve_b74.2721_uel0.5_uecl0.25_gentle_ascending_d0.75,74.27213309566253,0.5,0.25,GENTLE_ASCENDING,0.75,297.0885323826501,1456,0.5803138058122395,0.9757977642560796,92.81313591765758,9.094947017729282e-13,530.3235132185912,0.9425403716517715,192.06431703579625,6059.462946789444,98.09923237542719,0.35582345456671083,0.6256697915575364
1,2020/21,reserve_b74.2721_uel0.5_uecl0.25_gentle_ascending_d1,74.27213309566253,0.5,0.25,GENTLE_ASCENDING,1.0,297.0885323826501,1456,0.5804444359049155,0.975965051442512,92.81313591765758,9.094947017729282e-13,534.7044164334857,0.9422564133999449,192.06431703579625,6060.11411123765,97.91398794595133,0.35582345456671083,0.6256697915575364
1,2020/21,reserve_b74.2721_uel0.5_uecl0.25_knockout_ascending_d0.25,74.27213309566253,0.5,0.25,KNOCKOUT_ASCENDING,0.25,297.0885323826501,1456,0.5797610057663002,0.9750459366166152,92.73970559335359,4.547473508864641e-13,515.3262159609401,0.9442269935221461,171.57055179795083,3618.158160907361,98.7020311181529,0.3580443920635571,0.6268100323178887
