candidate,dev_log_loss,dev_brier,dev_accuracy,dev_spearman,season_log_loss_std,validation_log_loss
europe_b28_boost420,0.640830698408152,0.171148846621403,0.6578927421990663,0.36176347932731157,0.009559097607419529,0.6429107586541278
europe_b32_boost420,0.6409235340283259,0.17119310515388628,0.6575701615539051,0.36218220795419676,0.009266329488260769,0.6430236834496521
europe_b32_boost480,0.6412130473146674,0.1712963504377571,0.6574856783919749,0.36209430348979615,0.010505392748293818,0.6435481943849481
europe_b24_boost420,0.6412268825608316,0.17131763292496333,0.6584579076450172,0.3618694759382934,0.010026940540033174,0.642880661608215
europe_b28_boost480,0.6416649257743441,0.17147284244711816,0.6573255877702459,0.3619254700627199,0.010834200643783777,0.6439770684278558
europe_b24_boost360,0.6417743420371428,0.17157225814417137,0.6541692926177426,0.36070177343950927,0.008646233556039882,0.6432835205839984
europe_b28_boost360,0.641967483267371,0.17165702547038153,0.6562531962746624,0.3584626373670058,0.008242761570908723,0.6438343457078928
europe_b20_boost360,0.6420611864778342,0.17171359818655332,0.658135326999856,0.3618798907404619,0.009163758203634843,0.6430910957651949
europe_b20_boost420,0.6423249913803205,0.1718008161965082,0.6558842481359742,0.36151543962126553,0.010635736487266775,0.6434364805343167
europe_b32_boost360,0.6424855006819449,0.1718898442634924,0.6557127678852217,0.35744084589489833,0.0079832607799125,0.6443708120525333
europe_b24_boost480,0.6427921315209373,0.17192763595664967,0.6592449134878782,0.3616323307047546,0.01137067335970609,0.6446057526636203
europe_b16_boost360,0.6428057026898599,0.17206358833040897,0.6577550881651298,0.36106566249452415,0.009844867760028023,0.6439575220883598
europe_b32_boost540,0.6432663422705652,0.1720931692922775,0.6634554227206653,0.3604816273778273,0.011718859395359663,0.6458502574805018
europe_b16_boost420,0.6441013455886376,0.1725833580467666,0.6584621970966047,0.36057447752243243,0.011418854002141534,0.6453752129773589
europe_b16_boost300,0.6441482966603342,0.172663424463837,0.6532662778648531,0.35760106992226265,0.008224870937277412,0.6452092697654507
europe_b20_boost300,0.6442080016462726,0.17267900071442427,0.6523811290414154,0.35470430716057394,0.00763768520756532,0.6451827641151064
europe_b28_boost540,0.6443690494147915,0.17250792483044483,0.6620718402089439,0.3598408753673633,0.012088248073930356,0.6469248273746869
europe_b24_boost300,0.6445398510925295,0.1728210708983211,0.6482392416161797,0.35306260693526315,0.007205382356877927,0.6459263888785591
europe_b20_boost480,0.6448718560448137,0.17278485996117215,0.659222872632028,0.36014615156874125,0.012080330442707945,0.6460835557736179
europe_b12_boost360,0.6450117714902588,0.17312330453647506,0.6523101234243639,0.35943706633511563,0.011155372745121591,0.6469168501049144
europe_b12_boost300,0.6450797427803567,0.17314098482018098,0.6512846243663297,0.3594377620255542,0.009258696239582923,0.6467394269141846
europe_b28_boost300,0.6451637511968374,0.1731066256567392,0.6482434321347816,0.350380334461484,0.006864526868212942,0.6468422969991126
europe_b32_boost300,0.6459747365807326,0.17348017842811164,0.6454448402962264,0.347823125951538,0.006637834988461827,0.6476704213613651
europe_b24_boost540,0.6463513824616309,0.1732627695832141,0.6589046803714396,0.35845931881183757,0.012699312214261141,0.6483320061255641
europe_b12_boost420,0.6478794365368716,0.17430315161098373,0.6550009893624206,0.35691322815071647,0.013040684774906743,0.6500701321466106
europe_b16_boost480,0.6478802400371386,0.17403445734356215,0.6578747929288324,0.35765884637314654,0.012978829959187367,0.6492979061186223
europe_b20_boost540,0.6495601698805409,0.1745031261520253,0.6591490562891277,0.3558092358355275,0.013521722661205927,0.6508813453268396
europe_b12_boost480,0.653488441834419,0.17644573409383227,0.6511770963318022,0.35233740864067886,0.014945045854290108,0.6559930253166569
europe_b16_boost540,0.6539725272520722,0.176225449275716,0.6567400736523576,0.3540137398174328,0.014552214098547763,0.6555445052282217
europe_b12_boost540,0.6616290261097716,0.17931972845277389,0.6503958742584706,0.34993053874497965,0.016891533990565113,0.6644619288739394
