candidate,dev_log_loss,dev_brier,dev_accuracy,dev_spearman,season_log_loss_std,validation_log_loss
official_multiplier_2.75,0.6469489202199397,0.17388759547798924,0.652323174052894,0.34048908505727005,0.006161046707158092,0.6467583733589481
official_multiplier_3.00,0.6471267037328378,0.17385259004817666,0.6541740758289459,0.34048908505727005,0.006459316041274747,0.6471994828589934
official_multiplier_2.50,0.647199422713156,0.17407593802485552,0.6514751368811127,0.34048908505727005,0.005841511286562209,0.6467496116687002
official_multiplier_3.25,0.647714681176256,0.17395350120718306,0.6553480936059177,0.34048908505727005,0.006738339018773005,0.6480534165816468
official_multiplier_2.25,0.6478961635241113,0.17443585381969776,0.650745690294831,0.34048908505727005,0.005498779163646139,0.6471927689728599
official_multiplier_3.50,0.6486948302938583,0.1741740106479434,0.6570916652134133,0.34048908505727005,0.007000146341279651,0.6493009186646597
official_multiplier_2.00,0.6490567118041726,0.17498598310275157,0.6487657133880173,0.34048908505727005,0.0051311351126801085,0.6481071955972363
official_multiplier_3.75,0.6500493735766995,0.1744990781488338,0.6570900719624859,0.34048908505727005,0.00724673132125335,0.6509231747077798
official_multiplier_1.75,0.650697979614185,0.1757448288274227,0.6439172263831261,0.34048908505727005,0.004737287139795775,0.6495117054822206
official_multiplier_4.00,0.6517609195892662,0.17491502564279154,0.6590700488692997,0.34048908505727005,0.007480020511751255,0.6529019431860378
official_multiplier_1.50,0.6528359236012895,0.17673009383513513,0.6353310216934598,0.34048908505727005,0.004316721453628742,0.6514242190722174
official_multiplier_1.25,0.6554852314735322,0.177957922039715,0.6282911029971213,0.34048908505727005,0.0038703430113066367,0.6538613750916994
official_multiplier_1.00,0.6586590053472259,0.1794420871780185,0.6264825907488569,0.34048908505727005,0.0034017154517159277,0.656838126863062
official_multiplier_0.75,0.6623684563331834,0.18119318847499333,0.6189380588627634,0.34048908505727005,0.002919656741635391,0.6603673434106679
official_multiplier_0.50,0.6666226260018604,0.18321792220302785,0.615421592340718,0.34048908505727005,0.0024440622999470454,0.6644594386958955
