candidate,dev_log_loss,dev_brier,dev_accuracy,dev_spearman,season_log_loss_std,validation_log_loss
country_b15_g1.2_c180,0.6343513198243693,0.16817671534554585,0.663664774902552,0.38433403344772377,0.008619463680109771,0.6358939910180836
country_b20_g1.2_c180,0.6348629232079879,0.16842385595449927,0.6658313706045035,0.38337766052165023,0.00868752048573623,0.636125296475872
country_b15_g1.0_c180,0.6355215762017319,0.16870785479307387,0.6641339842167668,0.3802135729589208,0.008601127497743622,0.6374065545745315
country_b20_g1.0_c180,0.6357501213776834,0.16882151338691548,0.6649391371958329,0.380543636531095,0.008653597404647492,0.6373660460413856
country_b25_g1.2_c180,0.635883833120532,0.16889833676761717,0.6667431621265388,0.3803401801772729,0.008808484119706144,0.6371084657171261
country_b15_g1.2_c160,0.6359953945007196,0.1689369108499671,0.6651061145368237,0.38083994151651407,0.008757449348338041,0.637406281795954
country_b25_g1.0_c180,0.6364841181896743,0.16916292918072723,0.6669297809216765,0.37785526963021493,0.008753520163777326,0.6380413647418951
country_b20_g1.2_c160,0.6365620320342433,0.16920830780814045,0.6652928478571503,0.37767573580716235,0.008842305171003444,0.6377438915079234
country_b30_g1.2_c180,0.6367990799876054,0.16932066892100728,0.6629485090621925,0.37852614956799796,0.008892663087440878,0.6379672533537822
country_b15_g1.0_c160,0.6370237305723725,0.16940240707514762,0.6639002751181087,0.37716562034432527,0.008740118100405815,0.638754547518765
country_b30_g1.0_c180,0.6371686586000408,0.16947911281239617,0.66450983466692,0.3763443324631046,0.008822957732570478,0.6386551839475567
country_b20_g0.8_c180,0.6371746676988659,0.1694696712605687,0.6638913994159773,0.37250137501745506,0.008614173382851425,0.6392010028838767
country_b15_g0.8_c180,0.637213471198522,0.16948269098711669,0.6634220911687769,0.370701688769296,0.008577106054467532,0.6394856186639047
country_b20_g1.0_c160,0.6373273004495308,0.16955022439053696,0.6650724028451964,0.3744154487730579,0.008808027389824556,0.6388339569335969
country_b35_g1.2_c180,0.6375397735692909,0.16966173739626275,0.6609623526539072,0.37691411630294774,0.008959107753250338,0.6386740972658781
country_b25_g1.2_c160,0.6375793686587927,0.16967901665893478,0.6628863635550691,0.37631515764761525,0.008960425877125502,0.6387585924349715
country_b25_g0.8_c180,0.6376218576379263,0.16967744330060364,0.6634888229264443,0.3726288607092016,0.008692609331937188,0.6395773460479306
country_b35_g1.0_c180,0.6377298079256843,0.16973791320551362,0.6627236756656657,0.3753375737444928,0.00887843109356743,0.6391687462753713
country_b15_g1.2_c140,0.6378488975301114,0.1697896494770696,0.6618607655640494,0.37453822037384704,0.0089094010360768,0.6391754398778733
country_b30_g0.8_c180,0.6380704296405836,0.16988440987618858,0.6612289672934167,0.37200796839136985,0.008746745052247207,0.6399479952237868
country_b25_g1.0_c160,0.6380770804927197,0.16989741024637126,0.6604282026989237,0.3727418642936189,0.008906666425550248,0.6395568141134738
country_b20_g1.2_c140,0.6384409558869734,0.17007080726022006,0.6606575234130089,0.37323781463589806,0.009004032168623862,0.639582691619832
country_b35_g0.8_c180,0.6384446143329081,0.17005692156211333,0.6604415657186136,0.3709465986049048,0.008790497542644108,0.6402662317123589
country_b30_g1.2_c160,0.6384740614394007,0.1700897282243611,0.6601927024833669,0.37354562694831145,0.00903866179888254,0.6396180183856301
country_b15_g0.8_c160,0.6385099322777872,0.1700812995067478,0.661411098770996,0.36911488173797113,0.00871647298989959,0.6406053282855445
country_b20_g0.8_c160,0.6385632100436605,0.17011093828278687,0.659640900057106,0.3690669503269228,0.008767319692719502,0.6404501006600902
country_b15_g1.0_c140,0.6387475409886897,0.1701953632390947,0.6608574062948509,0.370245242461806,0.008894020677692885,0.6403704644182522
country_b30_g1.0_c160,0.6387584836919806,0.17021051528211928,0.6598612461360742,0.37169058956670264,0.008971933302798846,0.6401878548687248
