candidate,dev_log_loss,dev_brier,dev_accuracy,dev_spearman,season_log_loss_std,validation_log_loss
home_advantage_70,0.6423572349672795,0.1718198470171781,0.6590072117365893,0.3608270952410979,0.01067775869245593,0.6439587278400024
home_advantage_60,0.6425927943633256,0.17188692151345242,0.661791139739751,0.3608270952410979,0.010598865033656738,0.6445282014072793
home_advantage_80,0.6428709090380471,0.17209750476587235,0.6574992392776359,0.3608270952410979,0.010764053508178122,0.6441408079671195
home_advantage_50,0.6435842395215577,0.1723070980259745,0.6677744449541023,0.3608270952410979,0.010527658582096401,0.6458559789444628
home_advantage_90,0.6441262293726808,0.17270997795026596,0.6533800009930553,0.3608270952410979,0.010857450951615886,0.6450667448561598
home_advantage_40,0.645337255119035,0.17308710194168767,0.6629899935062186,0.3608270952410979,0.010464409535914706,0.6479478301620217
home_advantage_100,0.6461147107254664,0.17364591319829392,0.6531418045768387,0.3608270952410979,0.01095764328426674,0.6467279330922788
home_advantage_30,0.6478565299759047,0.1742319316889017,0.6679583831407834,0.3608270952410979,0.010409368828364782,0.6508085149054855
home_advantage_20,0.6511457335672398,0.1757447923711563,0.6620437153261867,0.3608270952410979,0.010362764749886112,0.6544417587634347
home_advantage_10,0.6552074975193442,0.17762704680238195,0.6593966352061857,0.3608270952410979,0.010324799687132884,0.6588502338359715
home_advantage_0,0.6600434022764796,0.17987818486284227,0.6493627135148052,0.3608270952410979,0.010295647066257865,0.6640355448647655
