level,competition,stage,matches,mean_expected_home_score,mean_actual_home_score,mean_score_residual,mean_absolute_score_residual,brier_1x2,log_loss_1x2
competition,UCL,ALL,1384,0.5842241021950532,0.5769508670520231,-0.007273235143030096,0.3539208878919912,0.557582577709277,0.9440446123447988
competition,UECL,ALL,2073,0.5855020722979141,0.5906898215147129,0.005187749216798846,0.3592990454434791,0.5830279635056479,0.9810644548879995
competition,UEL,ALL,1427,0.587949480210715,0.5837421163279608,-0.00420736388275424,0.36363191499553715,0.5813836934071305,0.9791508779286349
competition_stage,UCL,FINAL,6,0.513921438137637,0.4166666666666667,-0.09725477147097038,0.4360313407291729,0.6848090955842153,1.1275997155934236
competition_stage,UCL,KNOCKOUT_PLAYOFF,32,0.5970129904863588,0.546875,-0.05013799048635875,0.38803887671537124,0.6242559814447983,1.0251565664022924
competition_stage,UCL,LEAGUE,672,0.584215115077576,0.5744047619047619,-0.00981035317281407,0.35409317123243395,0.5444349882553068,0.9255025795266809
competition_stage,UCL,QUALIFYING,506,0.5817405594068471,0.5889328063241107,0.0071922469172635214,0.34315865792601286,0.5540438502509126,0.9395812913526256
competition_stage,UCL,QUARTERFINAL,48,0.593791921001121,0.4791666666666667,-0.11462525433445436,0.40946641386313254,0.7035621984413342,1.1462389230917136
competition_stage,UCL,ROUND_OF_16,96,0.5902345147666389,0.578125,-0.01210951476663881,0.3708987355586854,0.5656461805223468,0.9572299224028229
competition_stage,UCL,SEMIFINAL,24,0.5941836289965626,0.6666666666666666,0.07248303767010406,0.3309799285594465,0.5554050991684649,0.9461553058890017
competition_stage,UECL,FINAL,5,0.4626447399501542,0.6,0.13735526004984588,0.4143028723937265,0.4436602431408236,0.7839670471906643
competition_stage,UECL,KNOCKOUT_PLAYOFF,80,0.5919912862246486,0.5375,-0.05449128622464855,0.4144237192225947,0.6459505373750798,1.070005709540748
competition_stage,UECL,LEAGUE,504,0.5819569802261603,0.5992063492063492,0.01724936898018889,0.3367869272571821,0.5643635848152283,0.9552264387092667
competition_stage,UECL,QUALIFYING,1344,0.5869424663556267,0.5952380952380952,0.008295628882468545,0.3599528192556325,0.5800429663082554,0.9767161883122749
competition_stage,UECL,QUARTERFINAL,40,0.5790377589229799,0.6,0.02096224107702006,0.39854595755479555,0.6365232259045885,1.0620358339800784
competition_stage,UECL,ROUND_OF_16,80,0.5871369683259385,0.51875,-0.06838696832593856,0.40481176067413516,0.659843364910782,1.0857686205561012
competition_stage,UECL,SEMIFINAL,20,0.5891904318455987,0.55,-0.03919043184559884,0.3878764865621781,0.6228616223640627,1.0371358889375366
competition_stage,UEL,FINAL,6,0.45481241273351175,0.5833333333333334,0.12852092059982154,0.2906476140334344,0.777256122276699,1.2693860261833902
competition_stage,UEL,KNOCKOUT_PLAYOFF,112,0.596536146119152,0.5446428571428571,-0.051893288976294895,0.3750693053283725,0.6461406340079453,1.0680227592577556
competition_stage,UEL,LEAGUE,720,0.5848374027605915,0.5881944444444445,0.0033570416838529533,0.3630087334293372,0.5820586756737999,0.980433681246572
competition_stage,UEL,QUALIFYING,423,0.592892651490619,0.5780141843971631,-0.014878467093455871,0.36035265177167786,0.5503532301001235,0.935034749975113
competition_stage,UEL,QUARTERFINAL,48,0.5918451198307934,0.5416666666666666,-0.05017845316412664,0.3733988375048713,0.6820879358080466,1.1163896599354324
competition_stage,UEL,ROUND_OF_16,94,0.5863905111714441,0.6063829787234043,0.019992467551960116,0.3756412871481726,0.5867500008553808,0.9896486534621433
competition_stage,UEL,SEMIFINAL,24,0.5857162520330279,0.7291666666666666,0.1434504146336388,0.33842541070619375,0.5344524555310355,0.9153254487852501
