country_code,sportsdb_league_id,league_name,provider_season,schedule_matches,table_expected_matches,coverage_rate,unique_events,unique_teams,timestamps_valid,scores_valid,quality_status,quality_reason,error_detail,source_selection,source_provider,format_expectation_method
BEL,4338,Belgian Pro League,2025-2026,321,282.0,1.1382978723404256,321,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
CYP,4630,Cypriot First Division,2013-2014,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CYP/2013-2014.json,EXISTING_ACCEPTED,,
CYP,4630,Cypriot First Division,2014-2015,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CYP/2014-2015.json,EXISTING_ACCEPTED,,
CYP,4630,Cypriot First Division,2015-2016,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CYP/2015-2016.json,EXISTING_ACCEPTED,,
CYP,4630,Cypriot First Division,2016-2017,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CYP/2016-2017.json,EXISTING_ACCEPTED,,
CYP,4630,Cypriot First Division,2017-2018,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CYP/2017-2018.json,EXISTING_ACCEPTED,,
CYP,4630,Cypriot First Division,2018-2019,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CYP/2018-2019.json,EXISTING_ACCEPTED,,
CYP,4630,Cypriot First Division,2019-2020,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CYP/2019-2020.json,EXISTING_ACCEPTED,,
CYP,4630,Cypriot First Division,2020-2021,268,182.0,1.4725274725274726,268,14,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
CYP,4630,Cypriot First Division,2021-2022,192,132.0,1.4545454545454546,192,12,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
CYP,4630,Cypriot First Division,2022-2023,267,181.0,1.4751381215469612,267,14,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
CYP,4630,Cypriot First Division,2023-2024,268,182.0,1.4725274725274726,268,14,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
CYP,4630,Cypriot First Division,2024-2025,240,182.0,1.3186813186813189,240,14,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
CYP,4630,Cypriot First Division,2025-2026,240,182.0,1.3186813186813189,240,14,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
CZE,4631,Czech First League,2013-2014,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CZE/2013-2014.json,EXISTING_ACCEPTED,,
CZE,4631,Czech First League,2014-2015,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CZE/2014-2015.json,EXISTING_ACCEPTED,,
CZE,4631,Czech First League,2015-2016,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CZE/2015-2016.json,EXISTING_ACCEPTED,,
CZE,4631,Czech First League,2016-2017,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CZE/2016-2017.json,EXISTING_ACCEPTED,,
CZE,4631,Czech First League,2017-2018,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CZE/2017-2018.json,EXISTING_ACCEPTED,,
CZE,4631,Czech First League,2018-2019,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CZE/2018-2019.json,EXISTING_ACCEPTED,,
CZE,4631,Czech First League,2019-2020,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CZE/2019-2020.json,EXISTING_ACCEPTED,,
CZE,4631,Czech First League,2020-2021,306,306.0,1.0,306,18,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
CZE,4631,Czech First League,2021-2022,280,240.0,1.1666666666666667,280,18,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
CZE,4631,Czech First League,2022-2023,280,240.0,1.1666666666666667,280,18,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
CZE,4631,Czech First League,2023-2024,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/CZE/2023-2024.json,EXISTING_ACCEPTED,,
CZE,4631,Czech First League,2024-2025,280,240.0,1.1666666666666667,280,18,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
CZE,4631,Czech First League,2025-2026,280,270.0,1.037037037037037,280,18,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
DEN,4340,Danish Superliga,2013-2014,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/DEN/2013-2014.json,EXISTING_ACCEPTED,,
DEN,4340,Danish Superliga,2014-2015,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/DEN/2014-2015.json,EXISTING_ACCEPTED,,
DEN,4340,Danish Superliga,2015-2016,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/DEN/2015-2016.json,EXISTING_ACCEPTED,,
