fold,candidate,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_rank_mae,zero_exposure_extreme_overrank_count,log_loss,pilot_guardrails_pass,pilot_guardrail_violations,pilot_como_rating,pilot_como_rank,pilot_top_team,historical_zero_guardrail_pass,eligible
3,country_b15_g1.6_c180,0.424685120869507,0.6619733548465125,0.47364075618526696,0.24291003307799366,0.20733965330582235,24,0.6267823658926344,True,,798.3157894736842,8,Arsenal,True,True
3,country_b15_g2.0_c180,0.4242580475757169,0.6620747800841763,0.47816875979863643,0.24264155815626887,0.20821535032819125,23,0.6266338308834627,True,,798.3157894736842,8,Arsenal,True,True
3,country_b30_g1.4_c220,0.424067900229872,0.6620029645401823,0.46559134521823586,0.24276068803183945,0.20154904847133312,23,0.6281162070289252,True,,795.2291161979628,8,Arsenal,True,True
3,country_b20_g1.4_c180,0.42379604643708507,0.6617594798566627,0.4674431970700878,0.24293995646145242,0.20334256901318581,24,0.6279815577159896,True,,798.3157894736842,8,Arsenal,True,True
3,country_b20_g1.6_c180,0.4229711370895222,0.6614548465409568,0.4676238655434391,0.24285867447855072,0.19890690705194744,23,0.6279246217400246,True,,798.3157894736842,8,Arsenal,True,True
3,country_b30_g1.6_c220,0.42236599854957996,0.6612430569596311,0.469475717395291,0.2430699406439025,0.19816790319146974,22,0.6284640625179788,True,,789.6183683291989,8,Arsenal,True,True
3,country_b30_g1.2_c220,0.422329527820637,0.661507744964446,0.4651897506225798,0.24354741428147172,0.21010062715372899,25,0.6280997287799839,True,,800.969791942267,8,Arsenal,True,True
3,country_b20_g1.2_c180,0.42217595710643924,0.661369933371076,0.4651897506225798,0.24352064131908877,0.2081928225691415,25,0.6283213938416806,True,,798.3157894736842,8,Arsenal,True,True
3,country_b35_g1.4_c220,0.42202419327305707,0.661373542888312,0.46559134521823586,0.2430257550546221,0.19440911790382687,21,0.6290806358889337,True,,780.8688501454212,8,Arsenal,True,True
3,country_b25_g1.4_c180,0.42186685983274314,0.6613332547797052,0.4676238655434391,0.24312358887690974,0.19453219368042815,21,0.6293371722485143,True,,777.4854819521752,8,Arsenal,True,True
3,country_b35_g1.2_c220,0.4210344818418921,0.6607372229008149,0.46541067674488446,0.24370208003216373,0.2002370114859798,24,0.6288435494221518,True,,788.3226623326011,8,Arsenal,True,True
3,country_b25_g1.2_c180,0.4206498759551616,0.6605065966917614,0.4598551211893289,0.2436210987714007,0.19763188233058218,23,0.6293710730883194,True,,780.3518940707988,8,Arsenal,True,True
3,country_b25_g1.6_c180,0.4206272663734932,0.6604989395437989,0.47128731159818954,0.24338628679018245,0.19564500756262806,20,0.6295687685577327,True,,774.6543291320988,8,Arsenal,True,True
3,country_b35_g1.6_c220,0.4205997307726092,0.6604461402716538,0.47128731159818954,0.24338092029226133,0.1952557831137072,20,0.6296316224336931,True,,773.6455780345485,8,Arsenal,True,True
3,country_b20_g2.0_c180,0.4205027765611809,0.6601858900364054,0.4694354597463377,0.2435837185023565,0.20723468546075138,19,0.6283330428285326,True,,798.3157894736842,8,Arsenal,True,True
3,country_b30_g1.2_c180,0.42036853425909726,0.6605592945432658,0.46003578966268033,0.24330317977882795,0.1945916532286013,21,0.6303602340520331,True,,766.1034480925848,8,Arsenal,True,True
3,country_b15_g1.4_c140,0.41998329267514695,0.6598732035021343,0.46003578966268033,0.24377898216287372,0.1958161517376128,22,0.6298066448011741,True,,758.3157894736842,8,Arsenal,True,True
3,country_b20_g1.2_c140,0.41992063496503196,0.660408305372997,0.46206830998788356,0.24343468137926857,0.19223495445312888,21,0.6310181847216367,True,,758.3157894736842,8,Arsenal,True,True
3,country_b30_g1.4_c180,0.4198556924295696,0.660474277466588,0.46392016183973545,0.24342572101097906,0.19266786003675848,20,0.630575630140858,True,,761.1518972154618,8,Arsenal,True,True
3,country_b15_g1.6_c140,0.41965799649194063,0.6597252428820316,0.46206830998788356,0.24379900463919832,0.19591509869094625,22,0.6295966432466416,True,,758.3157894736842,8,Arsenal,True,True
3,country_b35_g1.2_c180,0.41955031598106035,0.6605089568322621,0.46206830998788356,0.24316619676127793,0.190493656556478,21,0.6311837861396213,True,,755.1948184292628,8,Arsenal,True,True
3,country_b35_g2.0_c260,0.4194797418624033,0.6601521998261584,0.4730989058010881,0.24351077470075408,0.20863443797821216,18,0.6289466245352353,True,,789.0779853129783,8,Arsenal,True,True
3,country_b20_g1.4_c140,0.4188956228650971,0.659876933995042,0.465731756042634,0.24374935928196106,0.1921615195660471,20,0.6308702254207735,True,,758.3157894736842,8,Arsenal,True,True
3,country_b30_g2.0_c220,0.41887244980731,0.6595974132525203,0.4749507576529399,0.24381801670745473,0.20573057085154267,16,0.6297213867458535,True,,778.7749602188269,8,Arsenal,True,True
3,country_b35_g1.0_c180,0.41869771402608386,0.6600933888116727,0.46166671539222753,0.2441528443062819,0.19820142575206542,25,0.6311438621959577,True,,761.8292106721157,8,Arsenal,True,True
3,country_b20_g1.6_c140,0.4184170769347095,0.6595803992383954,0.46754335024553256,0.24360192540334202,0.19790700624738855,20,0.6309324242894906,True,,758.3157894736842,8,Arsenal,True,True
3,country_b15_g1.2_c140,0.41840563141617215,0.6590189735560711,0.4598551211893289,0.24442835926692605,0.1986336960964479,24,0.6302394734663526,True,,758.3157894736842,8,Arsenal,True,True
3,country_b25_g1.2_c140,0.4182880207170859,0.6597356461042571,0.46206830998788356,0.24357155135345712,0.19026207099119152,19,0.6321895927606255,True,,743.2147863091382,9,Arsenal,True,True
3,country_b15_g2.0_c140,0.4182078255033738,0.6587105404891428,0.4694354597463377,0.2442873038420972,0.2053173304379666,19,0.6296097715792395,True,,758.3157894736842,8,Arsenal,True,True
