candidate,pilot_guardrails_pass,pilot_guardrail_violations,pilot_como_rating,pilot_como_rank,pilot_top_team
country_b20_g0.6_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,978.3157894736842,1,Como
country_b20_g0.8_c100,True,,718.3157894736842,10,Arsenal
country_b20_g0.8_c140,True,,758.3157894736842,8,Arsenal
country_b20_g0.8_c180,True,,798.3157894736842,8,Arsenal
country_b20_g0.8_c220,False,Slavia Praha<=Como,838.3157894736842,7,Arsenal
country_b20_g0.8_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,878.3157894736842,4,Arsenal
country_b20_g0.8_c300,False,Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,918.3157894736842,2,Arsenal
country_b20_g0.8_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,978.3157894736842,1,Como
country_b20_g1.0_c100,True,,718.3157894736842,10,Arsenal
country_b20_g1.0_c140,True,,758.3157894736842,8,Arsenal
country_b20_g1.0_c180,True,,798.3157894736842,8,Arsenal
country_b20_g1.0_c220,False,Slavia Praha<=Como,838.3157894736842,7,Arsenal
country_b20_g1.0_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,878.3157894736842,4,Arsenal
country_b20_g1.0_c300,False,Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,918.3157894736842,2,Arsenal
country_b20_g1.0_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,978.3157894736842,1,Como
country_b20_g1.2_c100,True,,718.3157894736842,10,Arsenal
country_b20_g1.2_c140,True,,758.3157894736842,8,Arsenal
country_b20_g1.2_c180,True,,798.3157894736842,8,Arsenal
country_b20_g1.2_c220,False,Slavia Praha<=Como,838.3157894736842,7,Arsenal
country_b20_g1.2_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,878.3157894736842,4,Arsenal
country_b20_g1.2_c300,False,Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,918.3157894736842,2,Arsenal
country_b20_g1.2_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,978.3157894736842,1,Como
country_b20_g1.4_c100,True,,718.3157894736842,10,Arsenal
country_b20_g1.4_c140,True,,758.3157894736842,8,Arsenal
country_b20_g1.4_c180,True,,798.3157894736842,8,Arsenal
country_b20_g1.4_c220,False,Slavia Praha<=Como,838.3157894736842,7,Arsenal
country_b20_g1.4_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,878.3157894736842,4,Arsenal
country_b20_g1.4_c300,False,Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,918.3157894736842,2,Arsenal
country_b20_g1.4_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,978.3157894736842,1,Como
country_b20_g1.6_c100,True,,718.3157894736842,10,Arsenal
country_b20_g1.6_c140,True,,758.3157894736842,8,Arsenal
country_b20_g1.6_c180,True,,798.3157894736842,8,Arsenal
country_b20_g1.6_c220,False,Slavia Praha<=Como,838.3157894736842,7,Arsenal
country_b20_g1.6_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,878.3157894736842,4,Arsenal
country_b20_g1.6_c300,False,Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,918.3157894736842,2,Arsenal
country_b20_g1.6_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,978.3157894736842,1,Como
country_b20_g2.0_c100,True,,718.3157894736842,10,Arsenal
country_b20_g2.0_c140,True,,758.3157894736842,8,Arsenal
country_b20_g2.0_c180,True,,798.3157894736842,8,Arsenal
country_b20_g2.0_c220,False,Shakhtar Donetsk<=Como;Slavia Praha<=Como,838.3157894736842,6,Arsenal
country_b20_g2.0_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,878.3157894736842,4,Arsenal
country_b20_g2.0_c300,False,Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,918.3157894736842,2,Arsenal
country_b20_g2.0_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,978.3157894736842,1,Como
country_b25_g0.6_c100,True,,712.0831425513479,10,Arsenal
country_b25_g0.6_c140,True,,750.6251236948547,9,Arsenal
country_b25_g0.6_c180,True,,789.1671048383613,8,Arsenal
country_b25_g0.6_c220,False,Slavia Praha<=Como,827.709085981868,7,Arsenal
country_b25_g0.6_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,866.2510671253747,4,Arsenal
country_b25_g0.6_c300,False,Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,904.7930482688814,3,Arsenal
country_b25_g0.6_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,962.6060199841413,1,Como
country_b25_g0.8_c100,True,,710.0564939390396,10,Arsenal
country_b25_g0.8_c180,True,,786.1922581557782,8,Arsenal
country_b25_g0.8_c220,False,Slavia Praha<=Como,824.2601402641474,7,Arsenal
country_b25_g0.8_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,862.3280223725167,4,Arsenal
country_b25_g0.8_c300,False,Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,900.395904480886,3,Arsenal
country_b25_g0.8_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,957.4977276434399,1,Como
country_b25_g1.0_c100,True,,708.0547748223916,10,Arsenal
country_b25_g1.0_c140,True,,745.6543897155882,9,Arsenal
country_b25_g1.0_c180,True,,783.254004608785,8,Arsenal
country_b25_g1.0_c220,False,Slavia Praha<=Como,820.8536195019817,7,Arsenal
country_b25_g1.0_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,858.4532343951784,4,Arsenal
country_b25_g1.0_c300,False,Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,896.0528492883751,3,Arsenal
country_b25_g1.0_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,952.4522716281703,1,Como
country_b25_g1.2_c100,True,,706.0776785474777,10,Arsenal
country_b25_g1.2_c140,True,,743.2147863091382,9,Arsenal
country_b25_g1.2_c180,True,,780.3518940707988,8,Arsenal
country_b25_g1.2_c220,False,Slavia Praha<=Como,817.4890018324595,7,Arsenal
country_b25_g1.2_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,854.6261095941202,4,Arsenal
country_b25_g1.2_c300,False,Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,891.7632173557806,3,Arsenal
country_b25_g1.2_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,947.4688789982715,1,Como
country_b25_g1.4_c100,True,,704.124902232475,10,Arsenal
country_b25_g1.4_c140,True,,740.8051920923251,9,Arsenal
country_b25_g1.4_c180,True,,777.4854819521752,8,Arsenal
country_b25_g1.4_c220,False,Slavia Praha<=Como,814.1657718120254,7,Arsenal
country_b25_g1.4_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,850.8460616718754,4,Arsenal
country_b25_g1.4_c300,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,887.5263515317255,4,Arsenal
country_b25_g1.4_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,942.5467863215006,1,Como
country_b25_g1.6_c100,True,,702.1961467212637,10,Arsenal
country_b25_g1.6_c140,True,,738.4252379266812,9,Arsenal
country_b25_g1.6_c180,True,,774.6543291320988,8,Arsenal
country_b25_g1.6_c220,False,Slavia Praha<=Como,810.8834203375163,7,Arsenal
country_b25_g1.6_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,847.1125115429339,4,Arsenal
country_b25_g1.6_c300,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,883.3416027483514,4,Arsenal
country_b25_g1.6_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,937.6852395564778,1,Como
country_b25_g2.0_c100,True,,698.4095198398401,10,Arsenal
country_b25_g2.0_c140,True,,733.7527958427576,8,Arsenal
country_b25_g2.0_c180,True,,769.0960718456752,8,Arsenal
country_b25_g2.0_c220,False,Slavia Praha<=Como,804.4393478485927,7,Arsenal
country_b25_g2.0_c260,False,Shakhtar Donetsk<=Como;Slavia Praha<=Como,839.7826238515103,6,Arsenal
country_b25_g2.0_c300,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,875.1258998544278,4,Arsenal
country_b25_g2.0_c360,False,Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,928.1408138588041,2,Arsenal
country_b30_g0.6_c100,True,,706.9666338120526,10,Arsenal
country_b30_g0.6_c140,True,,744.3116971268641,9,Arsenal
country_b30_g0.6_c180,True,,781.6567604416757,8,Arsenal
country_b30_g0.6_c220,False,Slavia Praha<=Como,819.0018237564874,7,Arsenal
country_b30_g0.6_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,856.346887071299,4,Arsenal
