fold,test_season,model,candidate,competition,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_rank_mae,zero_exposure_extreme_overrank_count,log_loss
1,2023/24,baseline,country_current,UCL,0.4285030794746487,0.6683861459100958,0.45,0.232577251808021,0.141025641025641,0,0.623160149062057
1,2023/24,baseline,country_current,UEL,0.66644851023963,0.7565698478561549,0.5333333333333333,0.18436441982148358,0.3333333333333333,0,0.623160149062057
1,2023/24,baseline,country_current,UECL,0.3502162507537031,0.633656103286385,0.4666666666666667,0.2592160080797879,0.2900586223742062,5,0.623160149062057
1,2023/24,selected,country_b15_g2.0_c180,UCL,0.4114351915455177,0.6597273397199706,0.45,0.23717948717948714,0.18589743589743593,0,0.6166760559021593
1,2023/24,selected,country_b15_g2.0_c180,UEL,0.6852364599905041,0.7655601659751037,0.6,0.18128654970760236,0.2865497076023392,1,0.6166760559021593
1,2023/24,selected,country_b15_g2.0_c180,UECL,0.3279140463553501,0.6239363262910798,0.4444444444444444,0.267201110970837,0.3232779677576942,5,0.6166760559021593
2,2024/25,baseline,country_current,UCL,0.4713238154266587,0.6767270288397049,0.38095238095238093,0.23014784331656762,0.12654320987654322,0,0.6339071159209336
2,2024/25,baseline,country_current,UEL,0.4414386443961296,0.6690251572327044,0.5263157894736842,0.2493074792243767,0.2858187134502923,3,0.6339071159209336
2,2024/25,baseline,country_current,UECL,0.3632683673673199,0.6446727019498607,0.4634146341463415,0.25301160023795366,0.2684893784421715,7,0.6339071159209336
2,2024/25,selected,country_b15_g1.4_c180,UCL,0.45226196850607503,0.6681757209926223,0.38095238095238093,0.23853071178174062,0.23559670781893005,1,0.6277650671390668
2,2024/25,selected,country_b15_g1.4_c180,UEL,0.4743277657834458,0.6816037735849056,0.5789473684210527,0.2411703601108033,0.256578947368421,3,0.6277650671390668
2,2024/25,selected,country_b15_g1.4_c180,UECL,0.3716290601418685,0.6483286908077994,0.4634146341463415,0.2511154074955384,0.28068450039339105,7,0.6277650671390668
3,2025/26,baseline,country_current,UCL,0.4332182888691667,0.6704918032786885,0.38095238095238093,0.24449732302201074,0.12804878048780488,0,0.6473207175594913
3,2025/26,baseline,country_current,UEL,0.4300506417158352,0.6661484648270501,0.55,0.2420306965761511,0.22727272727272732,0,0.6473207175594913
3,2025/26,baseline,country_current,UECL,0.32603515043832787,0.6238665526090675,0.3902439024390244,0.2663221296847115,0.2584835630965005,5,0.6473207175594913
3,2025/26,selected,country_b15_g1.6_c180,UCL,0.43757349487660285,0.6714754098360656,0.38095238095238093,0.2433075550267698,0.0060975609756097615,0,0.6395741616131395
3,2025/26,selected,country_b15_g1.6_c180,UEL,0.4467682911930734,0.6721725612125923,0.6,0.2364648338674313,0.25974025974025977,2,0.6395741616131395
3,2025/26,selected,country_b15_g1.6_c180,UECL,0.3518335901779934,0.6339606501283148,0.4634146341463415,0.258923259964307,0.24443266171792152,5,0.6395741616131395
