model,competition,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,log_loss,ranking_score_delta
baseline,UCL,0.44434839459015807,0.6718683260094963,0.4039682539682539,0.23574080604886646,0.6347959941808273,0.0
selected,UCL,0.4337568849760652,0.6664594901828861,0.4039682539682539,0.23967258466266586,0.6280050948847885,-0.010591509614092887
baseline,UECL,0.34650658951978364,0.6340651192817711,0.44010840108401084,0.259516579334151,0.6347959941808273,0.0
selected,UECL,0.35045889889173737,0.635408555742398,0.4570912375790425,0.2590799261435608,0.6280050948847885,0.003952309371953733
baseline,UEL,0.5126459321171982,0.6972478233053031,0.5365497076023392,0.22523419854067048,0.6347959941808273,0.0
selected,UEL,0.5354441723223411,0.7064455002575339,0.5929824561403508,0.21964058122861232,0.6280050948847885,0.022798240205142872
