fold,train_seasons,test_season,selected_elo_scale,selected_home_advantage,equivalent_spread_multiplier,train_log_loss,train_brier,spread_only_elo_scale,spread_only_multiplier,spread_only_train_log_loss
1,2018/19|2019/20,2020/21,300.0,50.0,1.3333333333333333,0.6260992826677787,0.16025736602893811,350.0,1.1428571428571428,0.6264136300386816
2,2018/19|2019/20|2020/21,2021/22,300.0,50.0,1.3333333333333333,0.6225202814580617,0.16349211534695937,350.0,1.1428571428571428,0.6251060871470695
3,2018/19|2019/20|2020/21|2021/22,2022/23,300.0,50.0,1.3333333333333333,0.6232036032379448,0.16244985472316203,350.0,1.1428571428571428,0.6257700282125089
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,300.0,50.0,1.3333333333333333,0.6282192085837643,0.16419120284656083,350.0,1.1428571428571428,0.6301998513291034
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,300.0,50.0,1.3333333333333333,0.6262829392104582,0.16367268012565228,350.0,1.1428571428571428,0.6284438946526694
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,300.0,50.0,1.3333333333333333,0.6270903350828851,0.16527431584256633,350.0,1.1428571428571428,0.6291023244418519
