competition,comparison,matches,mean_log_loss_delta,ci_95_lower,ci_95_upper,directionally_reliable_improvement,directionally_reliable_harm
ALL,joint_vs_baseline,4884,-0.0034288262317565318,-0.0052021270155688535,-0.0016654852435142634,True,False
ALL,spread_only_vs_baseline,4884,-0.0012258862046067,-0.0021384648227350733,-0.0002886186732792413,True,False
UCL,joint_vs_baseline,1384,-0.007692077372064297,-0.010915787979007182,-0.004397209838298222,True,False
UCL,spread_only_vs_baseline,1384,-0.002617504060731402,-0.004296889765068444,-0.0009019213696317998,True,False
UEL,joint_vs_baseline,1427,0.0002788382910508673,-0.003332603399071127,0.003979692991147214,False,False
UEL,spread_only_vs_baseline,1427,0.0002255364737231083,-0.0016147175115813904,0.0021924037128431086,False,False
UECL,joint_vs_baseline,2073,-0.0031348067893350222,-0.005659485390924658,-0.0006047535973262862,True,False
UECL,spread_only_vs_baseline,2073,-0.0012959204781716053,-0.002637914205779142,5.171194642637896e-05,False,False
