season,teams,minimum,p05,p25,median,p75,p95,maximum,standard_deviation,iqr,range
ALL,1887,540.7945718978102,580.8630428489406,615.9824834565031,655.0588598628291,736.2624616851652,879.2237450583128,902.8666218759274,90.48036570434624,120.27997822866212,362.0720499781172
2018/19,237,540.7945718978102,563.3231098145429,587.9335470190049,634.0602899327052,725.9013660054194,870.5319286529693,900.5272966200387,97.06230215847123,137.9678189864145,359.73272472222845
2019/20,237,557.7565846710272,576.8585609019941,599.9570596840481,639.9165865964299,726.4380786295263,883.1376864270369,900.2705400708853,92.35470253002747,126.48101894547824,342.5139553998581
2020/21,237,562.5608664510563,581.1983718488755,612.1441183180509,652.6307949746879,729.4273299226593,880.458109002767,900.0325745200964,89.75482670110452,117.28321160460837,337.4717080690401
2021/22,237,567.0156767490369,591.987969556392,616.5127426629194,651.6865627135772,727.7204797374977,881.3248899949439,902.5089926785189,87.72071304783856,111.20773707457829,335.49331592948204
2022/23,233,571.1617191315734,597.2552085176326,621.4072378669612,653.882703371752,733.875281155236,882.2356703900726,900.7644570121581,88.21149752631025,112.46804328827488,329.60273788058475
2023/24,234,589.6356184395871,600.2227860610003,627.1670352391304,657.628097252611,748.8175950361501,876.6938176236857,902.8666218759274,87.13098314881621,121.6505597970197,313.2310034363403
2024/25,236,584.207675437817,602.6052267078767,626.7714315600088,661.3852667828348,751.415053803443,876.3414240312836,900.8531205405517,87.03521759491807,124.64362224343427,316.6454451027347
2025/26,236,580.5360992793492,603.2525557878307,628.9956519906575,666.2823423645864,766.59445295054,884.4534606128299,901.6796622917416,89.07463557658072,137.5988009598825,321.1435630123924
