arm,matches,exact_score_nll,total_goals_error,over_2_5_brier,btts_brier,exact_score_nll_vs_elo,total_goals_error_vs_elo,over_2_5_brier_vs_elo,btts_brier_vs_elo
XG,3528,3.0270083869344786,1.3840031948006264,0.24665753761904324,0.24970014002083255,-0.0028341392064361592,-0.004257533098680266,-0.0004989567028249597,-0.00064094892474445
GOALS,3528,3.0296417734489367,1.387947530807611,0.24757932775278105,0.2498162500493491,-0.00020075269197805667,-0.00031319709169563836,0.00042283343091284453,-0.0005248388962278971
ELO_ONLY,3528,3.0298425261409148,1.3882607278993067,0.2471564943218682,0.250341088945577,0.0,0.0,0.0,0.0
