competition,matches,mean_brier_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,4884,0.0,0.0,0.0,False,False
UCL,1384,0.0,0.0,0.0,False,False
UECL,2073,0.0,0.0,0.0,False,False
UEL,1427,0.0,0.0,0.0,False,False
