fold,train_seasons,test_season,core_scale,core_home_advantage,core_k,selected_progression_ratio,selected_ucl_prestige,selected_uel_prestige,selected_uecl_prestige,train_brier,baseline_train_brier,train_brier_difference,challenger_progression_ratio,challenger_ucl_prestige,challenger_uel_prestige,challenger_uecl_prestige,challenger_train_brier_difference
1,"2018/19,2019/20",2020/21,275.0,50.0,28.0,0.0,1.0,0.65,0.45,0.157443425452008,0.157443425452008,0.0,0.25,1.0,0.55,0.45,0.0002483124909954948
2,"2018/19,2019/20,2020/21",2021/22,250.0,40.0,28.0,0.0,1.0,0.65,0.45,0.15981405908862678,0.15981405908862678,0.0,0.25,1.0,0.55,0.45,0.00026577323832779887
3,"2018/19,2019/20,2020/21,2021/22",2022/23,250.0,40.0,28.0,0.0,1.0,0.65,0.45,0.1588586756569792,0.1588586756569792,0.0,0.25,1.0,0.55,0.35,0.0002607460624498015
4,"2018/19,2019/20,2020/21,2021/22,2022/23",2023/24,250.0,40.0,28.0,0.0,1.0,0.65,0.45,0.16032036527010207,0.16032036527010207,0.0,0.25,1.0,0.55,0.35,0.00025549757909401616
5,"2018/19,2019/20,2020/21,2021/22,2022/23,2023/24",2024/25,225.0,40.0,28.0,0.0,1.0,0.65,0.45,0.1598482585300144,0.1598482585300144,0.0,0.25,1.0,0.55,0.35,0.00022088882813547928
6,"2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25",2025/26,225.0,40.0,28.0,0.0,1.0,0.65,0.45,0.16162085926803496,0.16162085926803496,0.0,0.25,1.0,0.55,0.35,0.0002565844202707668
