fold,model,candidate_key,season,teams,rating_min,rating_max,rating_mean,rating_std,match_delta_mean_abs,match_delta_p95_abs,match_delta_max_abs,progression_bonus_max_abs,max_abs_rating_change,start_end_rank_correlation
1,BASE,base_a0_t300_b0,2020/21,237,671.2937350108202,2245.137111970897,1169.393725345686,355.7308081352741,37.955176836305,71.58545919110423,90.13144428244979,0.0,452.37534277047575,0.9688962046951372
1,PROGRESSION_ONLY,progression_only_a0_t300_b2,2020/21,237,671.2937350108202,2249.137111970897,1169.3937253456859,355.91024350334567,37.955176836305,71.58545919110423,90.13144428244979,2.0,459.04200943714204,0.9688862886926923
1,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.2_t500_b0,2020/21,237,664.4179941405231,2256.17248159283,1169.393725345686,358.2841888505647,40.117044541728134,76.59753535341274,92.53305009721682,0.0,472.57234091984515,0.9665704513944604
1,FULL_MODEL,full_model_a0.2_t500_b12,2020/21,237,664.4179941405231,2283.9901277799745,1169.393725345686,359.43081829618933,40.117044541728134,76.59753535341274,92.53305009721682,12.0,512.5723409198454,0.9665352946585198
2,BASE,base_a0_t300_b0,2021/22,237,623.8505588564047,2176.3808510419835,1179.8168367004673,345.9863820616244,35.68992951297694,68.92781180358544,92.11274081986099,0.0,425.41720032496596,0.941744387091889
2,PROGRESSION_ONLY,progression_only_a0_t300_b10,2021/22,237,623.8505588564047,2196.3808510419835,1179.8168367004673,346.57233154245796,35.68754058208324,68.81428451543884,92.11274081986099,10.0,418.7505336582992,0.9416902998058266
2,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.2_t500_b0,2021/22,237,608.3404525910966,2197.9500543746944,1179.8168367004673,349.3879994822265,37.57669707484708,71.81107182828516,92.46483676854099,0.0,434.6173429344585,0.9383837637178879
2,FULL_MODEL,full_model_a0.2_t500_b6,2021/22,237,608.3404525910966,2209.9500543746944,1179.8168367004673,349.74825905900644,37.57502437042828,71.81107182828516,92.46483676854099,6.0,430.6173429344585,0.9382755891457636
3,BASE,base_a0_t300_b0,2022/23,233,691.3225180104254,2293.3067451389693,1197.6148194703778,343.20383355672243,36.277904880731654,71.08776950550113,88.23087290642228,0.0,444.297566363477,0.9411635796495942
3,PROGRESSION_ONLY,progression_only_a0_t300_b10,2022/23,233,691.3225180104254,2333.3067451389693,1197.6148194703778,343.9641769727678,36.275970912786455,71.08776950550113,88.13073484817428,10.0,458.3521095082165,0.9412793190727186
3,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,2022/23,233,691.3225180104254,2293.3067451389693,1197.6148194703778,343.20383355672243,36.277904880731654,71.08776950550113,88.23087290642228,0.0,444.297566363477,0.9411635796495942
3,FULL_MODEL,full_model_a0.2_t500_b6,2022/23,233,680.7429792473415,2351.889244585029,1197.6148194703778,346.8638361622079,38.28160149038506,74.20711237057358,91.93797840836835,6.0,470.4916735051752,0.9389569411398626
4,BASE,base_a0_t300_b0,2023/24,234,708.7774407074969,2267.807176670663,1215.9733408184102,344.7021711597683,35.84989977006726,69.24213486667449,92.63575178498871,0.0,300.7604551710856,0.9377356944337131
4,PROGRESSION_ONLY,progression_only_a0_t300_b12,2023/24,234,708.7774407074969,2315.807176670663,1215.9733408184102,345.5279336686737,35.84959215795382,69.24213486667449,92.63575178498871,12.0,348.7604551710856,0.9376963583702697
4,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,2023/24,234,708.7774407074969,2267.807176670663,1215.9733408184102,344.7021711597683,35.84989977006726,69.24213486667449,92.63575178498871,0.0,300.7604551710856,0.9377356944337131
4,FULL_MODEL,full_model_a0_t300_b12,2023/24,234,708.7774407074969,2315.807176670663,1215.9733408184102,345.5279336686737,35.84959215795382,69.24213486667449,92.63575178498871,12.0,348.7604551710856,0.9376963583702697
5,BASE,base_a0_t300_b0,2024/25,236,777.4070253166686,2164.2285240986016,1224.8972165228633,341.9953754292889,36.61296209213107,71.88711582580284,90.99584454346149,0.0,378.32188307355364,0.9363783682617647
5,PROGRESSION_ONLY,progression_only_a0_t300_b12,2024/25,236,777.4070253166686,2191.10924276973,1224.8972165228633,343.1436457729245,36.616408734867036,71.88711582580284,90.99584454346149,12.0,393.16827322289805,0.9360661350180537
5,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,2024/25,236,777.4070253166686,2164.2285240986016,1224.8972165228633,341.9953754292889,36.61296209213107,71.88711582580284,90.99584454346149,0.0,378.32188307355364,0.9363783682617647
5,FULL_MODEL,full_model_a0_t300_b12,2024/25,236,777.4070253166686,2191.10924276973,1224.8972165228633,343.1436457729245,36.616408734867036,71.88711582580284,90.99584454346149,12.0,393.16827322289805,0.9360661350180537
6,BASE,base_a0_t300_b0,2025/26,236,750.771593903017,2274.4511635749486,1248.6806727992148,346.148301205367,38.13238811917725,72.49106761448608,91.2531811758921,0.0,362.9623816724609,0.9411056891270707
6,PROGRESSION_ONLY,progression_only_a0_t300_b12,2025/26,236,750.771593903017,2301.2010388343956,1248.6806727992148,347.2519469842522,38.12738681848022,72.49106761448608,91.2531811758921,12.0,361.6158662850494,0.9410235224839888
6,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,2025/26,236,750.771593903017,2274.4511635749486,1248.6806727992148,346.148301205367,38.13238811917725,72.49106761448608,91.2531811758921,0.0,362.9623816724609,0.9411056891270707
6,FULL_MODEL,full_model_a0_t300_b12,2025/26,236,750.771593903017,2301.2010388343956,1248.6806727992148,347.2519469842522,38.12738681848022,72.49106761448608,91.2531811758921,12.0,361.6158662850494,0.9410235224839888
