model,candidate_key,alpha,tau,base_bonus,complexity,matches,brier_1x2,log_loss_1x2,accuracy_1x2,multiclass_ece,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error
BASE,base_a0_t300_b0,0.0,300.0,0.0,0,4884,0.5794901985875627,0.9757560342960031,0.5370597870597871,0.01809172831730752,0.29600367149453666,0.6016498133102078,0.9363783682617647,452.37534277047575,92.63575178498871,1.1641532182693481e-10
PROGRESSION_ONLY,progression_only_a0_t300_b0,0.0,300.0,0.0,0,4884,0.5794901985875627,0.9757560342960031,0.5370597870597871,0.01809172831730752,0.29600367149453666,0.6016498133102078,0.9363783682617647,452.37534277047575,92.63575178498871,1.1641532182693481e-10
PROGRESSION_ONLY,progression_only_a0_t300_b2,0.0,300.0,2.0,1,4884,0.5794874494008068,0.9757527154988126,0.5370597870597871,0.017946213621813624,0.2959667406726099,0.601630494757776,0.9362551182971419,459.04200943714204,92.63575178498871,1.1641532182693481e-10
PROGRESSION_ONLY,progression_only_a0_t300_b4,0.0,300.0,4.0,1,4884,0.5794848000125521,0.9757495443705718,0.5370597870597871,0.017950704925990144,0.2961834731663018,0.601641942175392,0.9361884720199756,465.70867610380947,92.63575178498871,1.1641532182693481e-10
PROGRESSION_ONLY,progression_only_a0_t300_b6,0.0,300.0,6.0,1,4884,0.5794822504818864,0.9757465209350152,0.5370597870597871,0.018023511566296873,0.29608908214541324,0.6016176074202557,0.9362642479241509,472.37534277047575,92.63575178498871,1.1641532182693481e-10
PROGRESSION_ONLY,progression_only_a0_t300_b8,0.0,300.0,8.0,1,4884,0.5794798008664107,0.9757436452153214,0.5370597870597871,0.018000711514933126,0.29598221016089654,0.6016069827235104,0.9361711257286583,479.0420094371425,92.63575178498871,1.1641532182693481e-10
PROGRESSION_ONLY,progression_only_a0_t300_b10,0.0,300.0,10.0,1,4884,0.579477451222238,0.9757409172341134,0.5370597870597871,0.01803257635078755,0.2959716487399466,0.6016167658128296,0.9361528664746401,485.708676103809,92.63575178498871,5.820766091346741e-11
PROGRESSION_ONLY,progression_only_a0_t300_b12,0.0,300.0,12.0,1,4884,0.5794752016039916,0.9757383370134581,0.5370597870597871,0.018037129827757847,0.2961320827471907,0.6017058195048886,0.9360661350180537,492.3753427704755,92.63575178498871,1.1641532182693481e-10
GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t150_b0,0.0,150.0,0.0,0,4884,0.5794901985875627,0.9757560342960031,0.5370597870597871,0.01809172831730752,0.29600367149453666,0.6016498133102078,0.9363783682617647,452.37534277047575,92.63575178498871,1.1641532182693481e-10
GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t250_b0,0.0,250.0,0.0,0,4884,0.5794901985875627,0.9757560342960031,0.5370597870597871,0.01809172831730752,0.29600367149453666,0.6016498133102078,0.9363783682617647,452.37534277047575,92.63575178498871,1.1641532182693481e-10
