model,matches,brier_1x2,log_loss_1x2,accuracy_1x2,multiclass_ece,brier_delta_vs_base,log_loss_delta_vs_base,accuracy_delta_vs_base,ece_delta_vs_base,ranking_evaluable_folds,ranking_no_regression_folds,ranking_both_improved_folds,maximum_abs_match_delta,maximum_abs_rating_change,maximum_total_elo_error
BASE,4884,0.5794901985875627,0.9757560342960031,0.5370597870597871,0.01809172831730752,0.0,0.0,0.0,0.0,5,5,0,92.63575178498871,452.37534277047575,1.1641532182693481e-10
PROGRESSION_ONLY,4884,0.5794765877988456,0.9757402945070585,0.5370597870597871,0.018037709184218167,-1.3610788717088873e-05,-1.573978894464645e-05,0.0,-5.401913308935094e-05,5,3,2,92.63575178498871,459.04200943714204,1.1641532182693481e-10
GOAL_DIFFERENCE_ONLY,4884,0.5793694092376718,0.9755800787671172,0.5366502866502867,0.017760807619257583,-0.00012078934989090406,-0.00017595552888594046,-0.00040950040950038513,-0.00033092069804993574,5,3,0,92.63575178498871,472.57234091984515,1.1641532182693481e-10
FULL_MODEL,4884,0.5792305962752482,0.975374007937891,0.5370597870597871,0.018057605658173572,-0.0002596023123144775,-0.0003820263581121308,0.0,-3.4122659133946354e-05,5,1,1,92.63575178498871,512.5723409198454,1.1641532182693481e-10
