model,seasons,matches,maximum_match_pair_error,maximum_progression_pair_error,maximum_season_total_error,progression_events,maximum_goal_multiplier,maximum_abs_power_delta
BASE,6,4884,9.094947017729282e-13,0.0,1.1641532182693481e-10,0,1.0,92.63575178498871
PROGRESSION_ONLY,6,4884,9.094947017729282e-13,4.547473508864641e-13,1.1641532182693481e-10,366,1.0,92.63575178498871
GOAL_DIFFERENCE_ONLY,6,4884,9.094947017729282e-13,0.0,1.1641532182693481e-10,0,1.2716633458028623,92.63575178498871
FULL_MODEL,6,4884,9.094947017729282e-13,0.0,1.1641532182693481e-10,366,1.273676257936271,92.63575178498871
