model,match_band,matches,brier_1x2,log_loss_1x2,accuracy_1x2,multiclass_ece,brier_delta_vs_base,log_loss_delta_vs_base
BASE,BALANCED,1848,0.654618857498563,1.0807108410705748,0.400974025974026,0.02114654357622166,0.0,0.0
BASE,HOME_FAVORITE,2382,0.5194506415868015,0.8911700415087666,0.6339210747271201,0.01608913134707983,0.0,0.0
BASE,HOME_UNDERDOG,654,0.5858762278051239,0.9872657466810001,0.5688073394495413,0.028987234384661362,0.0,0.0
FULL_MODEL,BALANCED,1848,0.6545336751091254,1.0805920241832043,0.400974025974026,0.02108826992332312,-8.518238943755474e-05,-0.00011881688737047646
FULL_MODEL,HOME_FAVORITE,2382,0.5190472050367525,0.8905744175967878,0.6339210747271201,0.015664992175519258,-0.0004034365500490411,-0.0005956239119787599
FULL_MODEL,HOME_UNDERDOG,654,0.5856476425215659,0.9869179378632252,0.5688073394495413,0.026793607029669913,-0.00022858528355806929,-0.00034780881777485284
GOAL_DIFFERENCE_ONLY,BALANCED,1848,0.6545667681874097,1.0806392431507685,0.3998917748917749,0.021158527791651213,-5.208931115330273e-05,-7.159791980626551e-05
GOAL_DIFFERENCE_ONLY,HOME_FAVORITE,2382,0.5192640959910262,0.8908945081612939,0.6339210747271201,0.0159739231864059,-0.0001865455957753559,-0.00027553334747265623
GOAL_DIFFERENCE_ONLY,HOME_UNDERDOG,654,0.5858008110945441,0.987157591614338,0.5688073394495413,0.028427388512746118,-7.541671057986754e-05,-0.00010815506666206343
PROGRESSION_ONLY,BALANCED,1848,0.6546304410984705,1.0807292399124504,0.400974025974026,0.021042883096465195,1.1583599907494246e-05,1.8398841875599814e-05
PROGRESSION_ONLY,HOME_FAVORITE,2382,0.5194314439966146,0.8911476999129099,0.6339210747271201,0.0157900556187368,-1.9197590186981195e-05,-2.234159585667861e-05
PROGRESSION_ONLY,HOME_UNDERDOG,654,0.5858117737915179,0.9871775868833557,0.5688073394495413,0.028184319283554096,-6.445401360599678e-05,-8.815979764442705e-05
