model,team_match_observations,rating_spearman_vs_clubelo,match_difference_spearman_vs_clubelo
static_start_only,342,0.8125326593245457,0.7575392487336541
dynamic_season_reset,342,0.8752054188015607,0.8405764753881968
dynamic_carry_050,342,0.8878701363271667,0.8607723138214894
dynamic_carry_085_current,342,0.8880942295595525,0.8608347133222936
dynamic_carry_100,342,0.8873025534681659,0.8567259461924306
