model,matches,brier,log_loss
clubelo_external,171,0.15680107942151308,0.6107589824255979
dynamic_carry_050,171,0.16908339613540055,0.6360892908548416
dynamic_season_reset,171,0.17006258368564542,0.6391975097597843
dynamic_carry_085_current,171,0.1711281775938384,0.6418285248745582
dynamic_carry_100,171,0.17346780778166762,0.6498899899249158
static_start_only,171,0.17553119940325376,0.6518931176074759
