match_id,fotmob_fetch_status,detail_identity_verified,detail_score_verified,detail_chronology_verified,xg_disposition
202021-0269,OK,True,True,True,NO_PUBLIC_XG
202021-0262,OK,True,True,True,NO_PUBLIC_XG
202021-0275,OK,True,True,True,NO_PUBLIC_XG
202021-0237,OK,True,True,True,NO_PUBLIC_XG
202021-0238,OK,True,True,True,NO_PUBLIC_XG
202021-0245,OK,True,True,True,NO_PUBLIC_XG
202021-0249,OK,True,True,True,NO_PUBLIC_XG
202021-0250,OK,True,True,True,NO_PUBLIC_XG
202021-0253,OK,True,True,True,NO_PUBLIC_XG
202021-0268,OK,True,True,True,NO_PUBLIC_XG
202021-0274,OK,True,True,True,NO_PUBLIC_XG
202021-0279,OK,True,True,True,NO_PUBLIC_XG
202021-0270,OK,True,True,True,NO_PUBLIC_XG
202021-0248,OK,True,True,True,NO_PUBLIC_XG
202021-0254,OK,True,True,True,NO_PUBLIC_XG
202021-0260,OK,True,True,True,NO_PUBLIC_XG
202021-0263,OK,True,True,True,NO_PUBLIC_XG
202021-0265,OK,True,True,True,NO_PUBLIC_XG
202021-0267,OK,True,True,True,NO_PUBLIC_XG
202021-0276,OK,True,True,True,NO_PUBLIC_XG
202021-0236,OK,True,True,True,NO_PUBLIC_XG
202021-0241,OK,True,True,True,NO_PUBLIC_XG
202021-0247,OK,True,True,True,NO_PUBLIC_XG
202021-0259,OK,True,True,True,NO_PUBLIC_XG
202021-0264,OK,True,True,True,NO_PUBLIC_XG
202021-0266,OK,True,True,True,NO_PUBLIC_XG
202021-0272,OK,True,True,True,NO_PUBLIC_XG
202021-0243,OK,True,True,True,NO_PUBLIC_XG
202021-0255,OK,True,True,True,NO_PUBLIC_XG
202021-0273,OK,True,True,True,NO_PUBLIC_XG
202021-0042,OK,True,True,True,NO_PUBLIC_XG
202021-0044,OK,True,True,True,NO_PUBLIC_XG
202021-0050,OK,True,True,True,NO_PUBLIC_XG
202021-0296,OK,True,True,True,NO_PUBLIC_XG
202021-0046,OK,True,True,True,NO_PUBLIC_XG
202021-0048,OK,True,True,True,NO_PUBLIC_XG
202021-0052,OK,True,True,True,NO_PUBLIC_XG
202021-0308,OK,True,True,True,NO_PUBLIC_XG
202021-0310,OK,True,True,True,NO_PUBLIC_XG
202021-0286,OK,True,True,True,NO_PUBLIC_XG
202021-0303,OK,True,True,True,NO_PUBLIC_XG
202021-0294,OK,True,True,True,NO_PUBLIC_XG
202021-0280,OK,True,True,True,NO_PUBLIC_XG
202021-0281,OK,True,True,True,NO_PUBLIC_XG
202021-0283,OK,True,True,True,NO_PUBLIC_XG
202021-0284,OK,True,True,True,NO_PUBLIC_XG
202021-0297,OK,True,True,True,NO_PUBLIC_XG
202021-0305,OK,True,True,True,NO_PUBLIC_XG
202021-0309,OK,True,True,True,NO_PUBLIC_XG
202021-0313,OK,True,True,True,NO_PUBLIC_XG
202021-0314,OK,True,True,True,NO_PUBLIC_XG
202021-0298,OK,True,True,True,NO_PUBLIC_XG
202021-0299,OK,True,True,True,NO_PUBLIC_XG
202021-0287,OK,True,True,True,NO_PUBLIC_XG
202021-0292,OK,True,True,True,NO_PUBLIC_XG
202021-0293,OK,True,True,True,NO_PUBLIC_XG
