match_id,competition,kickoff_utc,home_team_name,away_team_name,xg_home,xg_away,secondary_xg_home,secondary_xg_away,home_xg_delta_primary_minus_secondary,away_xg_delta_primary_minus_secondary,pair_absolute_difference
202526-0143,UCL,2025-10-22 19:00:00+00:00,Eintracht Frankfurt,Liverpool,0.33,3.21,0.38,1.83,-0.05,1.38,0.715
202526-0144,UCL,2025-10-22 19:00:00+00:00,Bayern München,Club Brugge,4.2,0.25,2.43,0.49,1.77,-0.24,1.005
202526-0145,UCL,2025-10-22 19:00:00+00:00,Real Madrid,Juventus,2.69,0.59,2.34,0.86,0.35,-0.27,0.31
202526-0147,UCL,2025-11-04 17:45:00+00:00,Slavia Praha,Arsenal,0.47,1.81,0.8,2.1,-0.33,-0.29,0.31
202526-0148,UCL,2025-11-04 17:45:00+00:00,Napoli,Eintracht Frankfurt,1.85,0.36,1.67,0.57,0.18,-0.21,0.195
202526-0150,UCL,2025-11-04 20:00:00+00:00,Bodø/Glimt,AS Monaco,1.67,1.29,1.64,0.96,0.03,0.33,0.18
202526-0152,UCL,2025-11-04 20:00:00+00:00,Liverpool,Real Madrid,2.51,0.45,1.32,0.52,1.19,-0.07,0.63
202526-0153,UCL,2025-11-04 20:00:00+00:00,Olympiakos Piraeus,PSV Eindhoven,0.92,0.35,1.43,0.75,-0.51,-0.4,0.455
202526-0156,UCL,2025-11-05 17:45:00+00:00,Pafos FC,Villarreal,0.75,1.77,0.49,1.35,0.26,0.42,0.34
202526-0157,UCL,2025-11-05 17:45:00+00:00,Qarabag FK,Chelsea,1.63,1.26,1.52,1.44,0.11,-0.18,0.145
202526-0158,UCL,2025-11-05 20:00:00+00:00,Ajax,Galatasaray,0.88,2.61,0.68,2.42,0.2,0.19,0.195
202526-0159,UCL,2025-11-05 20:00:00+00:00,Club Brugge,FC Barcelona,2.14,2.4,1.15,1.77,0.99,0.63,0.81
202526-0164,UCL,2025-11-05 20:00:00+00:00,Benfica,Bayer Leverkusen,1.62,0.74,1.7,0.65,-0.08,0.09,0.085
202526-0165,UCL,2025-11-25 17:45:00+00:00,Ajax,Benfica,0.96,1.17,0.65,1.03,0.31,0.14,0.225
202526-0168,UCL,2025-11-25 20:00:00+00:00,Chelsea,FC Barcelona,1.89,0.79,1.49,0.42,0.4,0.37,0.385
202526-0169,UCL,2025-11-25 20:00:00+00:00,Bodø/Glimt,Juventus,1.75,3.44,2.08,2.48,-0.33,0.96,0.645
202526-0172,UCL,2025-11-25 20:00:00+00:00,Slavia Praha,Athletic Bilbao,0.57,1.32,0.6,1.14,-0.03,0.18,0.105
202526-0173,UCL,2025-11-25 20:00:00+00:00,Napoli,Qarabag FK,3.45,0.49,1.72,0.95,1.73,-0.46,1.095
202526-0175,UCL,2025-11-26 17:45:00+00:00,Pafos FC,AS Monaco,1.21,1.54,1.48,1.37,-0.27,0.17,0.22
202526-0176,UCL,2025-11-26 20:00:00+00:00,Arsenal,Bayern München,3.11,0.65,1.42,0.92,1.69,-0.27,0.98
202526-0178,UCL,2025-11-26 20:00:00+00:00,Eintracht Frankfurt,Atalanta,0.96,2.84,0.8,2.1,0.16,0.74,0.45
202526-0179,UCL,2025-11-26 20:00:00+00:00,Liverpool,PSV Eindhoven,2.5,2.17,2.62,1.6,-0.12,0.57,0.345
202526-0180,UCL,2025-11-26 20:00:00+00:00,Olympiakos Piraeus,Real Madrid,1.69,1.68,1.43,1.25,0.26,0.43,0.345
202526-0183,UCL,2025-12-09 15:30:00+00:00,Kairat Almaty,Olympiakos Piraeus,0.2,2.28,0.58,1.74,-0.38,0.54,0.46
202526-0185,UCL,2025-12-09 20:00:00+00:00,AS Monaco,Galatasaray,3.68,1.29,1.79,1.18,1.89,0.11,1
202526-0186,UCL,2025-12-09 20:00:00+00:00,Atalanta,Chelsea,1.72,1.37,1.29,0.83,0.43,0.54,0.485
202526-0187,UCL,2025-12-09 20:00:00+00:00,FC Barcelona,Eintracht Frankfurt,1.52,0.76,1.71,0.45,-0.19,0.31,0.25
202526-0191,UCL,2025-12-09 20:00:00+00:00,Tottenham Hotspur,Slavia Praha,2.75,0.77,2.89,0.82,-0.14,-0.05,0.095
202526-0192,UCL,2025-12-10 17:45:00+00:00,Qarabag FK,Ajax,1.1,1.6,1.24,1.58,-0.14,0.02,0.08
202526-0197,UCL,2025-12-10 20:00:00+00:00,Club Brugge,Arsenal,1.1,2.99,1.51,1.66,-0.41,1.33,0.87
202526-0198,UCL,2025-12-10 20:00:00+00:00,Juventus,Pafos FC,2.65,1.18,2.16,1.14,0.49,0.04,0.265
202526-0200,UCL,2025-12-10 20:00:00+00:00,Benfica,Napoli,2.22,0.64,1.26,0.96,0.96,-0.32,0.64
202526-0201,UCL,2026-01-20 15:30:00+00:00,Kairat Almaty,Club Brugge,0.28,2.54,0.44,1.56,-0.16,0.98,0.57
202526-0205,UCL,2026-01-20 20:00:00+00:00,Olympiakos Piraeus,Bayer Leverkusen,1.13,2.58,0.53,1.32,0.6,1.26,0.93
202526-0206,UCL,2026-01-20 20:00:00+00:00,Real Madrid,AS Monaco,3.86,1.4,2.48,1.74,1.38,-0.34,0.86
202526-0209,UCL,2026-01-20 20:00:00+00:00,Villarreal,Ajax,1.36,0.91,1.79,0.93,-0.43,-0.02,0.225
202526-0211,UCL,2026-01-21 17:45:00+00:00,Qarabag FK,Eintracht Frankfurt,1.78,1.21,1.11,1.41,0.67,-0.2,0.435
202526-0212,UCL,2026-01-21 20:00:00+00:00,Atalanta,Athletic Bilbao,2.02,1.74,1.21,0.49,0.81,1.25,1.03
202526-0213,UCL,2026-01-21 20:00:00+00:00,Chelsea,Pafos FC,1.85,0.14,1.62,0.38,0.23,-0.24,0.235
202526-0215,UCL,2026-01-21 20:00:00+00:00,Juventus,Benfica,1.36,1.44,1.06,1.2,0.3,0.24,0.27
202526-0216,UCL,2026-01-21 20:00:00+00:00,Newcastle United,PSV Eindhoven,2.4,0.34,1.19,0.29,1.21,0.05,0.63
202526-0218,UCL,2026-01-21 20:00:00+00:00,Slavia Praha,FC Barcelona,0.99,1.47,1.06,1.58,-0.07,-0.11,0.09
202526-0472,UEL,2026-01-22 17:45:00+00:00,Bologna,Celtic,2.64,2.11,3.18,0.92,-0.54,1.19,0.865
202526-0475,UEL,2026-01-22 17:45:00+00:00,Fenerbahçe,Aston Villa,1.08,1.69,0.7,1.14,0.38,0.55,0.465
202526-0476,UEL,2026-01-22 17:45:00+00:00,Feyenoord,Sturm Graz,1.37,0.14,1.51,0.3,-0.14,-0.16,0.15
202526-0479,UEL,2026-01-22 17:45:00+00:00,SC Freiburg,Maccabi Tel-Aviv,2.46,0.17,2.1,0.38,0.36,-0.21,0.285
202526-0481,UEL,2026-01-22 20:00:00+00:00,AS Roma,VfB Stuttgart,1,1.65,1.22,1.25,-0.22,0.4,0.31
202526-0483,UEL,2026-01-22 20:00:00+00:00,FC Salzburg,FC Basel,1.65,0.37,1.7,0.56,-0.05,-0.19,0.12
202526-0484,UEL,2026-01-22 20:00:00+00:00,Ferencváros,Panathinaikos,1.49,0.73,1.64,0.9,-0.15,-0.17,0.16
202526-0485,UEL,2026-01-22 20:00:00+00:00,Dinamo Zagreb,FCSB,2.84,0.24,1.36,0.49,1.48,-0.25,0.865
202526-0486,UEL,2026-01-22 20:00:00+00:00,OGC Nice,Go Ahead Eagles,2.43,1.78,1.79,1.56,0.64,0.22,0.43
202526-0219,UCL,2026-01-28 20:00:00+00:00,Ajax,Olympiakos Piraeus,1.87,0.53,1.67,0.87,0.2,-0.34,0.27
202526-0220,UCL,2026-01-28 20:00:00+00:00,Arsenal,Kairat Almaty,3.94,1.11,2.32,1.02,1.62,0.09,0.855
