season,country,country_code,points_t_minus_4,points_t_minus_3,points_t_minus_2,points_t_minus_1,points_t,official_five_year_total,official_country_rank
2021/22,Albania,ALB,0.875,2.625,1.0,0.75,2.0,7.25,41
2021/22,Andorra,AND,0.166,0.166,0.833,1.5,0.666,3.331,54
2021/22,Armenia,ARM,1.125,0.625,1.5,2.75,1.375,7.375,39
2021/22,Austria,AUT,7.375,9.75,6.2,5.8,6.7,35.825,10
2021/22,Azerbaijan,AZB,4.25,4.375,2.375,3.375,2.5,16.875,26
2021/22,Belarus,BLS,3.0,3.25,5.0,2.5,1.5,15.25,29
2021/22,Belgium,BEL,12.5,2.6,7.8,7.6,6.0,36.5,9
2021/22,Bosnia-Herzegovina,BOS,0.5,1.375,2.0,1.5,2.625,8.0,36
2021/22,Bulgaria,BUL,4.25,4.0,4.0,4.125,4.0,20.375,24
2021/22,Croatia,CRO,5.125,5.125,5.75,4.375,5.9,26.275,18
2021/22,Cyprus,CYP,5.5,7.0,6.125,5.125,4.0,27.75,15
2021/22,Czechia,CZE,5.5,5.5,6.5,2.5,6.6,26.6,17
2021/22,Denmark,DEN,8.5,5.25,4.875,5.125,4.125,27.875,14
2021/22,England,ENG,14.928,20.071,22.642,18.571,24.357,100.569,1
2021/22,Estonia,EST,1.375,0.625,0.5,0.875,1.375,4.75,53
2021/22,Faroe Islands,FAR,0.375,0.75,1.125,1.125,2.75,6.125,47
2021/22,Finland,FIN,1.75,1.25,0.875,1.625,1.375,6.875,44
2021/22,France,FRA,14.416,11.5,10.583,11.666,7.916,56.081,5
2021/22,Georgia,GEO,1.125,0.125,1.625,2.25,1.75,6.875,43
2021/22,Germany,GER,14.571,9.857,15.214,18.714,15.214,73.57,4
2021/22,Gibraltar,GIB,1.5,0.5,1.0,1.0,1.666,5.666,49
2021/22,Greece,GRE,5.8,5.1,5.1,4.9,5.1,26.0,20
2021/22,Hungary,HUN,1.875,1.625,3.25,4.5,4.25,15.5,28
2021/22,Iceland,ISL,1.0,1.125,1.5,0.625,0.625,4.875,52
2021/22,Ireland,IRL,2.625,1.125,1.0,1.25,1.875,7.875,37
2021/22,Israel,ISR,6.75,5.625,2.625,2.375,7.0,24.375,21
2021/22,Italy,ITA,14.25,17.333,12.642,14.928,16.285,75.438,3
2021/22,Kazakhstan,KAZ,2.75,4.25,4.25,3.375,1.0,15.625,27
2021/22,Kosovo,KOS,0.0,0.0,2.5,1.5,1.833,5.833,48
2021/22,Latvia,LAT,1.375,0.75,1.625,2.25,1.375,7.375,40
2021/22,Liechtenstein,LIE,2.5,2.0,1.5,2.5,0.5,9.0,33
2021/22,Lithuania,LIT,0.5,2.375,2.625,1.625,1.625,8.75,34
2021/22,Luxembourg,LUX,0.75,0.875,2.625,3.0,1.0,8.25,35
2021/22,Malta,MLT,1.25,1.375,1.5,0.75,1.5,6.375,46
2021/22,Moldova,MOL,0.875,2.75,1.125,0.75,1.375,6.875,45
2021/22,Montenegro,MON,0.875,1.125,0.375,1.0,1.625,5.0,50
2021/22,Netherlands,NED,9.1,2.9,8.6,9.4,9.2,39.2,7
2021/22,North Macedonia,MAC,1.25,3.125,1.0,0.5,1.75,7.625,38
2021/22,Northern Ireland,NIR,0.5,0.75,0.5,2.375,2.833,6.958,42
2021/22,Norway,NOR,1.375,4.0,5.375,3.75,6.5,21.0,22
2021/22,Poland,POL,3.875,2.875,2.25,2.125,4.0,15.125,30
2021/22,Portugal,POR,8.083,9.666,10.9,10.3,9.6,48.549,6
2021/22,Romania,ROM,3.3,2.9,2.375,5.875,3.75,18.2,25
2021/22,Russia,RUS,9.2,12.6,7.583,4.666,4.333,38.382,8
2021/22,San Marino,SMA,0.0,0.166,0.5,0.0,0.5,1.166,55
2021/22,Scotland,SCO,4.375,4.0,6.75,9.75,8.5,33.375,11
2021/22,Serbia,SRB,2.875,6.375,6.0,6.0,5.5,26.75,16
2021/22,Slovakia,SVK,2.125,1.875,5.125,3.0,1.5,13.625,32
2021/22,Slovenia,SLO,2.25,4.625,3.125,2.0,2.25,14.25,31
2021/22,Spain,ESP,20.142,19.714,19.571,18.928,19.5,97.855,2
2021/22,Sweden,SWE,2.75,5.375,4.125,5.75,2.5,20.5,23
2021/22,Switzerland,SUI,4.3,6.5,3.9,6.4,5.125,26.225,19
2021/22,Türkiye,TUR,9.7,6.8,5.5,5.0,3.1,30.1,13
2021/22,Ukraine,UKR,5.5,8.0,5.6,7.2,6.8,33.1,12
2021/22,Wales,WAL,1.0,0.5,1.0,1.0,1.5,5.0,51
