fold,test_season,model_arm,single_match_draw_at_even,matches,single_match_ties,brier_1x2,log_loss_1x2,accuracy_1x2,predicted_draw_rate,observed_draw_rate
1,2020/21,BASELINE_GLOBAL_DRAW,0.24,540,200,0.5348639828586685,0.9132200217240042,0.5944444444444444,0.1986674692722129,0.16111111111111112
1,2020/21,WALK_FORWARD_FORMAT_DRAW,0.04,540,200,0.5327881055996981,0.9198295624727797,0.5944444444444444,0.13588643408844486,0.16111111111111112
1,2020/21,PRESPECIFIED_SINGLE_DRAW_012,0.12,540,200,0.5296327831930847,0.9005782988482076,0.5944444444444444,0.1609988481619521,0.16111111111111112
2,2021/22,BASELINE_GLOBAL_DRAW,0.24,816,6,0.5763000466220498,0.9712316175386495,0.5453431372549019,0.20551727808215037,0.23039215686274508
2,2021/22,WALK_FORWARD_FORMAT_DRAW,0.11,816,6,0.5762819073160037,0.9711404914076518,0.5453431372549019,0.20459389550043694,0.23039215686274508
2,2021/22,PRESPECIFIED_SINGLE_DRAW_012,0.12,816,6,0.5762709483211054,0.9711081738467205,0.5453431372549019,0.20466492492979949,0.23039215686274508
3,2022/23,BASELINE_GLOBAL_DRAW,0.24,804,6,0.5922608382785588,0.9933930873666275,0.5149253731343284,0.2069995270292885,0.22761194029850745
3,2022/23,WALK_FORWARD_FORMAT_DRAW,0.11,804,6,0.5922674409919613,0.9934070900834999,0.5149253731343284,0.20606023634381823,0.22761194029850745
3,2022/23,PRESPECIFIED_SINGLE_DRAW_012,0.12,804,6,0.5922543302028854,0.9933671776809765,0.5149253731343284,0.20613248947346977,0.22761194029850745
4,2023/24,BASELINE_GLOBAL_DRAW,0.24,806,6,0.5646993942676356,0.9546320452016329,0.5558312655086849,0.202793627261417,0.21215880893300249
4,2023/24,WALK_FORWARD_FORMAT_DRAW,0.11,806,6,0.5642145402755686,0.9533580239985779,0.5558312655086849,0.20184844154057252,0.21215880893300249
4,2023/24,PRESPECIFIED_SINGLE_DRAW_012,0.12,806,6,0.5642390493784644,0.9534484792111946,0.5558312655086849,0.20192114813448364,0.21215880893300249
5,2024/25,BASELINE_GLOBAL_DRAW,0.24,957,3,0.5693987163082493,0.9612535869841423,0.5642633228840125,0.20638300384967356,0.19017763845350052
5,2024/25,WALK_FORWARD_FORMAT_DRAW,0.11,957,3,0.5692136009815019,0.9607217230305148,0.5642633228840125,0.20600412008132063,0.19017763845350052
5,2024/25,PRESPECIFIED_SINGLE_DRAW_012,0.12,957,3,0.5692229584595571,0.9607593419315186,0.5642633228840125,0.20603326498657856,0.19017763845350052
6,2025/26,BASELINE_GLOBAL_DRAW,0.24,961,3,0.5847914797867175,0.9824971486550488,0.5400624349635796,0.20677549614112453,0.19667013527575442
6,2025/26,WALK_FORWARD_FORMAT_DRAW,0.11,961,3,0.5850017847938732,0.9830669340487205,0.5400624349635796,0.2063890629038334,0.19667013527575442
6,2025/26,PRESPECIFIED_SINGLE_DRAW_012,0.12,961,3,0.5849804940716918,0.9829940088682141,0.5400624349635796,0.2064187885374712,0.19667013527575442
