single_match_draw_at_even,distance_from_baseline,training_single_matches,matches,single_match_ties,brier_1x2,log_loss_1x2,accuracy_1x2,predicted_draw_rate,observed_draw_rate
0.11,0.13,248,6340,248,0.5741596006153781,0.9670359488374539,0.5465299684542587,0.19913103021801148,0.211198738170347
0.12,0.12,248,6340,248,0.5741599013472207,0.9670428007700667,0.5465299684542587,0.19946930030988508,0.211198738170347
0.1,0.13999999999999999,248,6340,248,0.5741683755548759,0.967064298171908,0.5465299684542587,0.19879276012613792,0.211198738170347
0.13,0.10999999999999999,248,6340,248,0.5741692777504036,0.9670799181334621,0.5465299684542587,0.19980757040175864,0.211198738170347
0.09,0.15,248,6340,248,0.5741862261657139,0.9671343839321356,0.5465299684542587,0.19845449003426432,0.211198738170347
0.14,0.09999999999999998,248,6340,248,0.5741877298249269,0.9671434907320633,0.5465299684542587,0.20014584049363224,0.211198738170347
0.15,0.09,248,6340,248,0.5742152575707905,0.967230524259918,0.5465299684542587,0.20048411058550586,0.211198738170347
0.08,0.15999999999999998,248,6340,248,0.5742131524478922,0.9672550946232278,0.5465299684542587,0.19811621994239073,0.211198738170347
0.16,0.07999999999999999,248,6340,248,0.5742518609879943,0.9673386308383551,0.5465299684542587,0.2008223806773794,0.211198738170347
0.07,0.16999999999999998,248,6340,248,0.5742491544014108,0.9674389324486489,0.5465299684542587,0.19777794985051714,0.211198738170347
0.17,0.06999999999999998,248,6340,248,0.5742975400765385,0.9674658832880442,0.5465299684542587,0.201160650769253,0.211198738170347
0.18,0.06,248,6340,248,0.5743522948364231,0.967610711245259,0.5465299684542587,0.20149892086112658,0.211198738170347
0.06,0.18,248,6340,248,0.5742942320262698,0.9677042519957372,0.5465299684542587,0.19743967975864357,0.211198738170347
0.19,0.04999999999999999,248,6340,248,0.574416125267648,0.9677718255370079,0.5465299684542587,0.20183719095300018,0.211198738170347
0.2,0.03999999999999998,248,6340,248,0.5744890313702131,0.9679481621190174,0.5465299684542587,0.20217546104487372,0.211198738170347
0.05,0.19,248,6340,248,0.5743483853224692,0.9680795587185548,0.5465299684542587,0.19710140966677,0.211198738170347
0.21,0.03,248,6340,248,0.5745710131441185,0.9681388398578512,0.5465299684542587,0.20251373113674734,0.211198738170347
0.22,0.01999999999999999,248,6340,248,0.5746620705893644,0.9683431283060341,0.5465299684542587,0.2028520012286209,0.211198738170347
0.23,0.009999999999999981,248,6340,248,0.5747622037059504,0.96856042282182,0.5465299684542587,0.20319027132049447,0.211198738170347
0.04,0.19999999999999998,248,6340,248,0.5744116142900089,0.9686126653599689,0.5465299684542587,0.1967631395748964,0.211198738170347
0.24,0.0,248,6340,248,0.5748714124938769,0.9687902251784049,0.5465299684542587,0.2035285414123681,0.211198738170347
