candidate,season,competition,matches,log_loss,brier,decisive_accuracy,mean_season_spearman,fold
domestic_current,2021/22,ALL,816,0.6209458480692679,0.1580487516797373,0.7022292993630573,0.4260336695194937,1
domestic_current,2021/22,UCL,218,0.6062216425833034,0.16008996419924895,0.7272727272727273,0.4361118880190505,1
domestic_current,2021/22,UEL,175,0.6471736539321691,0.15816108412760677,0.6428571428571429,0.45291344443884546,1
domestic_current,2021/22,UECL,423,0.6176834621825835,0.1569503060352203,0.7116564417177914,0.3666472688991304,1
domestic_current,2022/23,ALL,804,0.6303858984416995,0.16333525377250194,0.6666666666666666,0.4129906354897019,1
domestic_current,2022/23,UCL,214,0.623458625771589,0.16002731669713915,0.6909090909090909,0.3401756607934787,1
domestic_current,2022/23,UEL,175,0.6300217241814081,0.16062114681912573,0.6616541353383458,0.42355750891497196,1
domestic_current,2022/23,UECL,415,0.6341116016873731,0.16618553630495603,0.6563467492260062,0.35509865225248544,1
domestic_current,2023/24,ALL,806,0.6133960766706279,0.15920910466052718,0.6960629921259842,0.405415926372259,1
domestic_current,2023/24,UCL,214,0.6292595342842563,0.16210474850316894,0.6727272727272727,0.4040164604505312,1
domestic_current,2023/24,UEL,175,0.5698178699613542,0.1414226120952796,0.7642857142857142,0.6939758024704403,1
domestic_current,2023/24,UECL,417,0.6235433338524179,0.1651874461871291,0.6787878787878788,0.340231237554347,1
domestic_c80_a0.0,2021/22,ALL,816,0.620001625745088,0.15770514906059468,0.6894904458598726,0.42432953484141567,1
domestic_c80_a0.0,2021/22,UCL,218,0.6031428388950762,0.158727023183425,0.7215909090909091,0.43181102843522673,1
domestic_c80_a0.0,2021/22,UEL,175,0.6456695915496461,0.15748061571793123,0.6349206349206349,0.4476767301466414,1
domestic_c80_a0.0,2021/22,UECL,423,0.6180709437533736,0.15727140148657356,0.6932515337423313,0.36555964765765575,1
domestic_c80_a0.0,2022/23,ALL,804,0.632601756590264,0.16444253902349654,0.6714975845410628,0.4059946920006434,1
domestic_c80_a0.0,2022/23,UCL,214,0.6233800493210371,0.16005566383613662,0.6909090909090909,0.3481592058348187,1
domestic_c80_a0.0,2022/23,UEL,175,0.6352877652680889,0.16277592821645095,0.6842105263157895,0.41950901349329184,1
domestic_c80_a0.0,2022/23,UECL,415,0.6362243923420594,0.16740747440019058,0.6563467492260062,0.3382124432263735,1
domestic_c80_a0.0,2023/24,ALL,806,0.6121651665790978,0.15883148758277904,0.7023622047244095,0.4012262549211192,1
domestic_c80_a0.0,2023/24,UCL,214,0.627162862607505,0.1611712041247771,0.6909090909090909,0.39514006105428856,1
domestic_c80_a0.0,2023/24,UEL,175,0.5664354882944169,0.14023951641329774,0.7714285714285715,0.7066102077036066,1
domestic_c80_a0.0,2023/24,UECL,417,0.6236596192163639,0.16543315572347844,0.6787878787878788,0.3242972699466918,1
domestic_c80_a0.1,2021/22,ALL,816,0.6200738811652107,0.15773226831088136,0.6878980891719745,0.42409302600623217,1
domestic_c80_a0.1,2021/22,UCL,218,0.6034881308301527,0.15888100299910796,0.7215909090909091,0.4316692418555402,1
domestic_c80_a0.1,2021/22,UEL,175,0.6456556985221767,0.1574763778040839,0.6349206349206349,0.44898590871969235,1
domestic_c80_a0.1,2021/22,UECL,423,0.6180381259301602,0.1572461138821725,0.6901840490797546,0.365431511319122,1
domestic_c80_a0.1,2022/23,ALL,804,0.6324375046361981,0.16436028747868753,0.6731078904991948,0.4067714359139073,1
domestic_c80_a0.1,2022/23,UCL,214,0.6234545965032637,0.16008155006708288,0.6909090909090909,0.3492960626487055,1
domestic_c80_a0.1,2022/23,UEL,175,0.634991685726914,0.16264814078305803,0.6842105263157895,0.4207823306017235,1
domestic_c80_a0.1,2022/23,UECL,415,0.6359925905387831,0.16728866212403348,0.6594427244582043,0.339876925298668,1
domestic_c80_a0.1,2023/24,ALL,806,0.6122133609290519,0.15884593602656422,0.705511811023622,0.4019880989768558,1
domestic_c80_a0.1,2023/24,UCL,214,0.6273298066258941,0.16125293848695255,0.6909090909090909,0.39756321606188355,1
