candidate,season,competition,matches,log_loss,brier,decisive_accuracy,mean_season_spearman
country_current,2021/22,ALL,816,0.6293923164221442,0.16201692002557322,0.6767515923566879,0.4210560891398652
country_current,2021/22,UCL,218,0.6115051521288025,0.16264453702928755,0.7159090909090909,0.4528781510669788
country_current,2021/22,UEL,175,0.6600007555920453,0.1640218395266498,0.6111111111111112,0.39378221222270715
country_current,2021/22,UECL,423,0.6259476945810466,0.1608640088683673,0.6809815950920245,0.35522980859041686
country_current,2022/23,ALL,804,0.6454153500935206,0.17023927339120778,0.6473429951690821,0.39381679787156154
country_current,2022/23,UCL,214,0.6280154764135758,0.16197305805943418,0.6666666666666666,0.3596810580384805
country_current,2022/23,UEL,175,0.6560162142695933,0.17174931533987398,0.6616541353383458,0.3559737546982147
country_current,2022/23,UECL,415,0.6499175711457988,0.17386508722249208,0.631578947368421,0.34510956537959897
country_current,2023/24,ALL,806,0.623160149062057,0.16380301223294147,0.6803149606299213,0.4104813888887078
country_current,2023/24,UCL,214,0.6335689190895389,0.16420437798460633,0.6606060606060606,0.4285030794746487
country_current,2023/24,UEL,175,0.5936654455004251,0.15355652848809406,0.7285714285714285,0.66644851023963
country_current,2023/24,UECL,417,0.630196351310029,0.16789711867057225,0.6696969696969697,0.3502162507537031
country_current,2024/25,ALL,957,0.6339071159209336,0.1740557206240515,0.68,0.4440368160685751
country_current,2024/25,UCL,279,0.6252963895862377,0.1783506770406056,0.6936170212765957,0.4713238154266587
country_current,2024/25,UEL,269,0.6418037595986806,0.17378904386685154,0.6822429906542056,0.4414386443961296
country_current,2024/25,UECL,409,0.6345873005127828,0.1713013030383992,0.6687116564417178,0.3632683673673199
country_current,2025/26,ALL,961,0.6473207175594913,0.17901011745622614,0.6282383419689119,0.3659725937522065
country_current,2025/26,UCL,281,0.6268388111525041,0.1713228210626921,0.6710526315789473,0.4332182888691667
country_current,2025/26,UEL,271,0.6573153960959671,0.18515347109201247,0.6164383561643836,0.4300506417158352
country_current,2025/26,UECL,409,0.6547702476743532,0.18022107454983247,0.6061538461538462,0.32603515043832787
country_b12.5_g1.8_c280,2021/22,ALL,816,0.6198757980121712,0.1576319018966923,0.7006369426751592,0.4232758405605144
country_b12.5_g1.8_c280,2021/22,UCL,218,0.6090521433732753,0.16150745778096864,0.7215909090909091,0.43889883029071364
country_b12.5_g1.8_c280,2021/22,UEL,175,0.643004711850231,0.1563470481781808,0.6349206349206349,0.45942816638569467
country_b12.5_g1.8_c280,2021/22,UECL,423,0.6158852466873926,0.15616612936233593,0.7147239263803681,0.3592409885318782
country_b12.5_g1.8_c280,2022/23,ALL,804,0.6343764753478683,0.16516315024845754,0.6570048309178744,0.4044378226300349
country_b12.5_g1.8_c280,2022/23,UCL,214,0.6261721564428789,0.16119948922831442,0.6787878787878788,0.3481834230786719
country_b12.5_g1.8_c280,2022/23,UEL,175,0.6369430649327686,0.16353312508171566,0.6466165413533834,0.38828638714167174
country_b12.5_g1.8_c280,2022/23,UECL,415,0.6375248393678927,0.16789442220626596,0.6501547987616099,0.35152281370692995
country_b12.5_g1.8_c280,2023/24,ALL,806,0.6134113373653609,0.15934312331925046,0.694488188976378,0.4096411997235058
country_b12.5_g1.8_c280,2023/24,UCL,214,0.6287929531932906,0.16199507125992055,0.6727272727272727,0.4130702549337051
country_b12.5_g1.8_c280,2023/24,UEL,175,0.5789247337631145,0.145889624829565,0.75,0.665597488125479
country_b12.5_g1.8_c280,2023/24,UECL,417,0.6199904496992126,0.1636281242218682,0.6818181818181818,0.34795848578297883
country_b12.5_g1.8_c280,2024/25,ALL,957,0.6253286567571836,0.17029571867888454,0.6967741935483871,0.44667432116879047
country_b12.5_g1.8_c280,2024/25,UCL,279,0.6254032445996452,0.17853331257831265,0.6978723404255319,0.4183472406937824
country_b12.5_g1.8_c280,2024/25,UEL,269,0.6289421365907978,0.16788330230666307,0.705607476635514,0.47143838941944866
country_b12.5_g1.8_c280,2024/25,UECL,409,0.6229011846709024,0.1662630812856991,0.6901840490797546,0.37411680183909185
country_b12.5_g1.8_c280,2025/26,ALL,961,0.6344191811716683,0.17308999232007471,0.6606217616580311,0.385747722779989
