arm,cap,peak_seed_spearman,active_cap_seed_spearman,peak_minus_active,modal_shrinkage
BASELINE,0.825,0.46150980414484355,0.4597681129660161,0.0017416911788274425,0.0
PARTICIPATION_NORMALIZED,0.775,0.47077832567075356,0.46920211125177935,0.0015762144189742089,0.75
