segment_type,segment_value,model,matches,brier_1x2,log_loss_1x2,accuracy_1x2,baseline_brier,baseline_log_loss,delta_brier_vs_ao,delta_log_loss_vs_ao
competition,UCL,AO_ML_POISSON_BLEND,1384,0.5477717096721141,0.929150215640952,0.5715317919075145,0.550058119587764,0.9323333263773022,-0.0022864099156498785,-0.0031831107363501365
competition,UCL,AO_POISSON_BLEND,1384,0.5482981271700496,0.9290296090220218,0.5736994219653179,0.550058119587764,0.9323333263773022,-0.0017599924177144066,-0.0033037173552803445
competition,UCL,CURRENT_AO,1384,0.550058119587764,0.9323333263773022,0.5758670520231214,0.550058119587764,0.9323333263773022,0.0,0.0
competition,UCL,CURRENT_ML_BLEND,1384,0.5484315949083065,0.9298611867436289,0.5744219653179191,0.550058119587764,0.9323333263773022,-0.0016265246794574528,-0.0024721396336732093
competition,UCL,DOMESTIC_AD_RAW,1384,0.5491514573504815,0.9303856170760034,0.578757225433526,0.550058119587764,0.9323333263773022,-0.0009066622372824185,-0.0019477093012987279
competition,UCL,DOMESTIC_AD_RELIABLE,1384,0.548620598162574,0.9296684668575173,0.5809248554913294,0.550058119587764,0.9323333263773022,-0.001437521425189936,-0.002664859519784901
competition,UCL,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,1384,0.5476138127548296,0.9277669980865454,0.5809248554913294,0.550058119587764,0.9323333263773022,-0.0024443068329343953,-0.00456632829075676
competition,UCL,DOMESTIC_ATTACK_DEFENCE_POISSON,1384,0.548620598162574,0.9296684668575173,0.5809248554913294,0.550058119587764,0.9323333263773022,-0.001437521425189936,-0.002664859519784901
competition,UCL,EXISTING_ELO_POISSON,1384,0.5517504224926206,0.9354754340041728,0.5758670520231214,0.550058119587764,0.9323333263773022,0.0016923029048566685,0.003142107626870616
competition,UCL,POISSON_FEATURE_LOGISTIC,1384,0.5615213101191516,0.9487730767474146,0.5570809248554913,0.550058119587764,0.9323333263773022,0.011463190531387668,0.01643975037011247
competition,UECL,AO_ML_POISSON_BLEND,2073,0.5724527049812199,0.9657421105851833,0.5422093584177521,0.5771826640009489,0.9722693856325423,-0.0047299590197289465,-0.006527275047358949
competition,UECL,AO_POISSON_BLEND,2073,0.5756411409214928,0.9700254002603295,0.5393150024119633,0.5771826640009489,0.9722693856325423,-0.0015415230794560975,-0.00224398537221282
competition,UECL,CURRENT_AO,2073,0.5771826640009489,0.9722693856325423,0.5383502170767004,0.5771826640009489,0.9722693856325423,0.0,0.0
competition,UECL,CURRENT_ML_BLEND,2073,0.5718751825775967,0.9642599505838215,0.5426917510853835,0.5771826640009489,0.9722693856325423,-0.005307481423352134,-0.008009435048720759
competition,UECL,DOMESTIC_AD_RAW,2073,0.5753169446818832,0.969419127258995,0.5373854317414375,0.5771826640009489,0.9722693856325423,-0.0018657193190656507,-0.002850258373547243
competition,UECL,DOMESTIC_AD_RELIABLE,2073,0.5756338879886562,0.9698635276871815,0.5369030390738061,0.5771826640009489,0.9722693856325423,-0.0015487760122926408,-0.0024058579453607454
competition,UECL,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,2073,0.5758746298310261,0.9702790520429377,0.5369030390738061,0.5771826640009489,0.9722693856325423,-0.001308034169922756,-0.0019903335896045427
