candidate_model,scope,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
AO_POISSON_BLEND,coverage:BOTH,log_loss_1x2,team_season,2923,807,0.002241996069039981,-0.00015765616078426093,0.004299904295862209,False,False
AO_POISSON_BLEND,coverage:BOTH,log_loss_1x2,calendar_month,2923,62,0.002241996069039981,-0.0004567741704257175,0.004849849669090928,False,False
AO_POISSON_BLEND,coverage:BOTH,log_loss_1x2,conservative_envelope,2923,,0.002241996069039981,-0.0009921962220398295,0.005166191933843436,False,False
AO_POISSON_BLEND,coverage:NONE,brier_1x2,tie_or_match,529,310,1.5412477007733448e-18,-6.502131914132445e-18,9.947133089555602e-18,False,False
AO_POISSON_BLEND,coverage:NONE,brier_1x2,team_season,529,408,1.5412477007733448e-18,-4.12087626907097e-18,7.21312933553387e-18,False,False
AO_POISSON_BLEND,coverage:NONE,brier_1x2,calendar_month,529,31,1.5412477007733448e-18,-6.122131770216283e-18,8.433022084740726e-18,False,False
AO_POISSON_BLEND,coverage:NONE,brier_1x2,conservative_envelope,529,,1.5412477007733448e-18,-6.502131914132445e-18,9.947133089555602e-18,False,False
AO_POISSON_BLEND,coverage:NONE,log_loss_1x2,tie_or_match,529,310,-7.203857338423157e-17,-8.13078041121641e-17,-6.250124213595555e-17,True,False
AO_POISSON_BLEND,coverage:NONE,log_loss_1x2,team_season,529,408,-7.203857338423157e-17,-7.873601789536577e-17,-6.493417761979442e-17,True,False
AO_POISSON_BLEND,coverage:NONE,log_loss_1x2,calendar_month,529,31,-7.203857338423157e-17,-8.431190336708323e-17,-6.31068132144538e-17,True,False
AO_POISSON_BLEND,coverage:NONE,log_loss_1x2,conservative_envelope,529,,-7.203857338423157e-17,-8.431190336708323e-17,-6.250124213595555e-17,True,False
AO_POISSON_BLEND,coverage:ONE,brier_1x2,tie_or_match,1432,984,-0.004407573307186401,-0.00801783850027574,-0.0007835433280895556,True,False
AO_POISSON_BLEND,coverage:ONE,brier_1x2,team_season,1432,891,-0.004407573307186401,-0.0070640576603143174,-0.0020303913476544615,True,False
AO_POISSON_BLEND,coverage:ONE,brier_1x2,calendar_month,1432,57,-0.004407573307186401,-0.008659572681177109,0.0010859002571254638,False,False
AO_POISSON_BLEND,coverage:ONE,brier_1x2,conservative_envelope,1432,,-0.004407573307186401,-0.008659572681177109,0.0010859002571254638,False,False
AO_POISSON_BLEND,coverage:ONE,log_loss_1x2,tie_or_match,1432,984,-0.0046298737599070085,-0.01052389852390216,0.001263215737941853,False,False
AO_POISSON_BLEND,coverage:ONE,log_loss_1x2,team_season,1432,891,-0.0046298737599070085,-0.00907694145720579,-0.0004384047965971944,True,False
AO_POISSON_BLEND,coverage:ONE,log_loss_1x2,calendar_month,1432,57,-0.0046298737599070085,-0.011524146242843897,0.0036310089152874103,False,False
AO_POISSON_BLEND,coverage:ONE,log_loss_1x2,conservative_envelope,1432,,-0.0046298737599070085,-0.011524146242843897,0.0036310089152874103,False,False
AO_ML_POISSON_BLEND,ALL,brier_1x2,tie_or_match,4884,3502,-0.004659180226809151,-0.007175278813504911,-0.0021245402156410847,True,False
AO_ML_POISSON_BLEND,ALL,brier_1x2,team_season,4884,1413,-0.004659180226809151,-0.006540015882439799,-0.0028800807700766896,True,False
AO_ML_POISSON_BLEND,ALL,brier_1x2,calendar_month,4884,65,-0.004659180226809151,-0.007247556240570049,-0.0020176554062120715,True,False
AO_ML_POISSON_BLEND,ALL,brier_1x2,conservative_envelope,4884,,-0.004659180226809151,-0.007247556240570049,-0.0020176554062120715,True,False
AO_ML_POISSON_BLEND,ALL,log_loss_1x2,tie_or_match,4884,3502,-0.0059916755695482255,-0.00973944460673692,-0.0021959867941107616,True,False
AO_ML_POISSON_BLEND,ALL,log_loss_1x2,team_season,4884,1413,-0.0059916755695482255,-0.00888970260642731,-0.0030505465569083557,True,False
AO_ML_POISSON_BLEND,ALL,log_loss_1x2,calendar_month,4884,65,-0.0059916755695482255,-0.010441306855476288,-0.0012193272931242673,True,False
AO_ML_POISSON_BLEND,ALL,log_loss_1x2,conservative_envelope,4884,,-0.0059916755695482255,-0.010441306855476288,-0.0012193272931242673,True,False
AO_ML_POISSON_BLEND,competition:UCL,brier_1x2,tie_or_match,1384,1056,-0.0038708791316773945,-0.008548985148260498,0.000992110267770415,False,False
AO_ML_POISSON_BLEND,competition:UCL,brier_1x2,team_season,1384,478,-0.0038708791316773945,-0.006647873526914429,-0.0006300389802437651,True,False
AO_ML_POISSON_BLEND,competition:UCL,brier_1x2,calendar_month,1384,65,-0.0038708791316773945,-0.008907190522875828,0.0012218510426920868,False,False
AO_ML_POISSON_BLEND,competition:UCL,brier_1x2,conservative_envelope,1384,,-0.0038708791316773945,-0.008907190522875828,0.0012218510426920868,False,False
AO_ML_POISSON_BLEND,competition:UCL,log_loss_1x2,tie_or_match,1384,1056,-0.005068202051903099,-0.01281712026695625,0.002474501562641964,False,False
AO_ML_POISSON_BLEND,competition:UCL,log_loss_1x2,team_season,1384,478,-0.005068202051903099,-0.009570692236991283,-0.0004094295058798903,True,False
AO_ML_POISSON_BLEND,competition:UCL,log_loss_1x2,calendar_month,1384,65,-0.005068202051903099,-0.012730054156966658,0.0016298034944300615,False,False
AO_ML_POISSON_BLEND,competition:UCL,log_loss_1x2,conservative_envelope,1384,,-0.005068202051903099,-0.01281712026695625,0.002474501562641964,False,False
AO_ML_POISSON_BLEND,competition:UECL,brier_1x2,tie_or_match,2073,1291,-0.0073546381650123295,-0.011239639127848472,-0.003659392401779147,True,False
AO_ML_POISSON_BLEND,competition:UECL,brier_1x2,team_season,2073,864,-0.0073546381650123295,-0.00983068766434131,-0.004438900015901983,True,False
AO_ML_POISSON_BLEND,competition:UECL,brier_1x2,calendar_month,2073,48,-0.0073546381650123295,-0.011158932471108204,-0.0032939369286209895,True,False
AO_ML_POISSON_BLEND,competition:UECL,brier_1x2,conservative_envelope,2073,,-0.0073546381650123295,-0.011239639127848472,-0.0032939369286209895,True,False
AO_ML_POISSON_BLEND,competition:UECL,log_loss_1x2,tie_or_match,2073,1291,-0.010408401641215762,-0.01673938358173847,-0.0035711133476229676,True,False
AO_ML_POISSON_BLEND,competition:UECL,log_loss_1x2,team_season,2073,864,-0.010408401641215762,-0.015156284155564767,-0.0055775379692427525,True,False
AO_ML_POISSON_BLEND,competition:UECL,log_loss_1x2,calendar_month,2073,48,-0.010408401641215762,-0.01679148349836655,-0.004131209499612574,True,False
AO_ML_POISSON_BLEND,competition:UECL,log_loss_1x2,conservative_envelope,2073,,-0.010408401641215762,-0.01679148349836655,-0.0035711133476229676,True,False
AO_ML_POISSON_BLEND,competition:UEL,brier_1x2,tie_or_match,1427,1155,-0.0015080410605632954,-0.006283462583744562,0.003418977338551599,False,False
AO_ML_POISSON_BLEND,competition:UEL,brier_1x2,team_season,1427,538,-0.0015080410605632954,-0.0048059809508206545,0.0020283479810523923,False,False
AO_ML_POISSON_BLEND,competition:UEL,brier_1x2,calendar_month,1427,57,-0.0015080410605632954,-0.005138699685581205,0.00262434009405349,False,False
AO_ML_POISSON_BLEND,competition:UEL,brier_1x2,conservative_envelope,1427,,-0.0015080410605632954,-0.006283462583744562,0.003418977338551599,False,False
AO_ML_POISSON_BLEND,competition:UEL,log_loss_1x2,tie_or_match,1427,1155,-0.0004711529359490999,-0.007695060009019013,0.0070197113668957044,False,False
AO_ML_POISSON_BLEND,competition:UEL,log_loss_1x2,team_season,1427,538,-0.0004711529359490999,-0.00587938559097808,0.004720691416705774,False,False
AO_ML_POISSON_BLEND,competition:UEL,log_loss_1x2,calendar_month,1427,57,-0.0004711529359490999,-0.005984104090635118,0.006513775249599378,False,False
AO_ML_POISSON_BLEND,competition:UEL,log_loss_1x2,conservative_envelope,1427,,-0.0004711529359490999,-0.007695060009019013,0.0070197113668957044,False,False
AO_ML_POISSON_BLEND,coverage:BOTH,brier_1x2,tie_or_match,2923,2208,-0.004623974523388261,-0.008321156870910416,-0.0012356961584793157,True,False
AO_ML_POISSON_BLEND,coverage:BOTH,brier_1x2,team_season,2923,807,-0.004623974523388261,-0.007039517482668503,-0.0023113297432975806,True,False
AO_ML_POISSON_BLEND,coverage:BOTH,brier_1x2,calendar_month,2923,62,-0.004623974523388261,-0.007733405857125173,-0.001490103988950777,True,False
AO_ML_POISSON_BLEND,coverage:BOTH,brier_1x2,conservative_envelope,2923,,-0.004623974523388261,-0.008321156870910416,-0.0012356961584793157,True,False
AO_ML_POISSON_BLEND,coverage:BOTH,log_loss_1x2,tie_or_match,2923,2208,-0.005789504782088115,-0.010813599898705088,-0.0006840896826456142,True,False
AO_ML_POISSON_BLEND,coverage:BOTH,log_loss_1x2,team_season,2923,807,-0.005789504782088115,-0.009555993297452792,-0.002408112177768428,True,False
AO_ML_POISSON_BLEND,coverage:BOTH,log_loss_1x2,calendar_month,2923,62,-0.005789504782088115,-0.010736095804298278,-0.0011465783963755818,True,False
AO_ML_POISSON_BLEND,coverage:BOTH,log_loss_1x2,conservative_envelope,2923,,-0.005789504782088115,-0.010813599898705088,-0.0006840896826456142,True,False
AO_ML_POISSON_BLEND,coverage:NONE,brier_1x2,tie_or_match,529,310,2.4667044461169422e-05,-0.003195891632147635,0.0031284633492596726,False,False
AO_ML_POISSON_BLEND,coverage:NONE,brier_1x2,team_season,529,408,2.4667044461169422e-05,-0.0025602611204360703,0.0023734695591409696,False,False
AO_ML_POISSON_BLEND,coverage:NONE,brier_1x2,calendar_month,529,31,2.4667044461169422e-05,-0.0026961179769888787,0.0020555417596350195,False,False
AO_ML_POISSON_BLEND,coverage:NONE,brier_1x2,conservative_envelope,529,,2.4667044461169422e-05,-0.003195891632147635,0.0031284633492596726,False,False
AO_ML_POISSON_BLEND,coverage:NONE,log_loss_1x2,tie_or_match,529,310,-0.00043338681823562543,-0.005626465562276694,0.004590681544182703,False,False
AO_ML_POISSON_BLEND,coverage:NONE,log_loss_1x2,team_season,529,408,-0.00043338681823562543,-0.0043322333758594065,0.003347721668497495,False,False
AO_ML_POISSON_BLEND,coverage:NONE,log_loss_1x2,calendar_month,529,31,-0.00043338681823562543,-0.004011326743742477,0.0026774208283058118,False,False
AO_ML_POISSON_BLEND,coverage:NONE,log_loss_1x2,conservative_envelope,529,,-0.00043338681823562543,-0.005626465562276694,0.004590681544182703,False,False
AO_ML_POISSON_BLEND,coverage:ONE,brier_1x2,tie_or_match,1432,984,-0.00646131813016199,-0.011407919239303383,-0.0016303166760311,True,False
AO_ML_POISSON_BLEND,coverage:ONE,brier_1x2,team_season,1432,891,-0.00646131813016199,-0.010207876831544236,-0.0025432927025238377,True,False
AO_ML_POISSON_BLEND,coverage:ONE,brier_1x2,calendar_month,1432,57,-0.00646131813016199,-0.011079918217318468,-0.000687362925815011,True,False
AO_ML_POISSON_BLEND,coverage:ONE,brier_1x2,conservative_envelope,1432,,-0.00646131813016199,-0.011407919239303383,-0.000687362925815011,True,False
AO_ML_POISSON_BLEND,coverage:ONE,log_loss_1x2,tie_or_match,1432,984,-0.008457653196077742,-0.016279367379851827,0.0005687542445605534,False,False
AO_ML_POISSON_BLEND,coverage:ONE,log_loss_1x2,team_season,1432,891,-0.008457653196077742,-0.014588785212746027,-0.001317273197724581,True,False
AO_ML_POISSON_BLEND,coverage:ONE,log_loss_1x2,calendar_month,1432,57,-0.008457653196077742,-0.016255912518034196,-0.00022165310743351102,True,False
AO_ML_POISSON_BLEND,coverage:ONE,log_loss_1x2,conservative_envelope,1432,,-0.008457653196077742,-0.016279367379851827,0.0005687542445605534,False,False
