candidate_key,team_learning_rate,season_carry,shrinkage_matches,venue_context,season,matches,goal_nll,home_goal_bias,away_goal_bias
lr0.02_carry0.75_shrink10_venue0,0.02,0.75,10.0,False,2025/26,8076,2.9206114352072454,-0.024933738254028726,0.045512947757558486
lr0.02_carry0.75_shrink10_venue1,0.02,0.75,10.0,True,2013/14,3543,2.952888997846571,-0.0470417172605933,0.1691497913693533
lr0.02_carry0.75_shrink10_venue1,0.02,0.75,10.0,True,2014/15,3574,2.893393530056951,-0.04355667627920928,0.14011347411356095
lr0.02_carry0.75_shrink10_venue1,0.02,0.75,10.0,True,2015/16,2864,2.8940757892049525,-0.026001390949504967,0.09360820786554425
lr0.02_carry0.75_shrink10_venue1,0.02,0.75,10.0,True,2016/17,3550,2.871955426423973,-0.037244509080951796,0.08849889304660041
lr0.02_carry0.75_shrink10_venue1,0.02,0.75,10.0,True,2017/18,3898,2.8818918965636295,-0.008135132783865913,0.07092511924994883
lr0.02_carry0.75_shrink10_venue1,0.02,0.75,10.0,True,2018/19,4597,2.900161967564308,-0.03397381737353981,0.08059233118530404
lr0.02_carry0.75_shrink10_venue1,0.02,0.75,10.0,True,2019/20,2730,2.9319529394955515,-0.011652761834622794,0.03919737342542436
lr0.02_carry0.75_shrink10_venue1,0.02,0.75,10.0,True,2020/21,8148,2.9018732323140877,0.03411852938788603,0.06446068960347115
lr0.02_carry0.75_shrink10_venue1,0.02,0.75,10.0,True,2021/22,8314,2.8889918056301283,-0.02953470886637877,0.07283525167089099
lr0.02_carry0.75_shrink10_venue1,0.02,0.75,10.0,True,2022/23,8760,2.895562639787029,-0.024258593658920153,0.06593804319071137
lr0.02_carry0.75_shrink10_venue1,0.02,0.75,10.0,True,2023/24,7675,2.9316585510449262,-0.02305842812377852,0.021248432188288206
lr0.02_carry0.75_shrink10_venue1,0.02,0.75,10.0,True,2024/25,8666,2.8949727132330967,-0.00318708661776393,0.04922563110554064
lr0.02_carry0.75_shrink10_venue1,0.02,0.75,10.0,True,2025/26,8076,2.9212052430075874,-0.01922493875994907,0.03973317895013724
lr0.02_carry0.75_shrink20_venue0,0.02,0.75,20.0,False,2013/14,3543,2.9586885383980444,-0.049610769420726945,0.16475746652296272
lr0.02_carry0.75_shrink20_venue0,0.02,0.75,20.0,False,2014/15,3574,2.8960697812776792,-0.04504598087758534,0.13805510186260594
lr0.02_carry0.75_shrink20_venue0,0.02,0.75,20.0,False,2015/16,2864,2.8970126911192398,-0.031511590001253045,0.09709722181665001
lr0.02_carry0.75_shrink20_venue0,0.02,0.75,20.0,False,2016/17,3550,2.873720595720319,-0.040775492244710915,0.09002576901592117
lr0.02_carry0.75_shrink20_venue0,0.02,0.75,20.0,False,2017/18,3898,2.883490553154865,-0.011697242068576886,0.07329476024469839
lr0.02_carry0.75_shrink20_venue0,0.02,0.75,20.0,False,2018/19,4597,2.903028439696123,-0.038568595594486,0.08313349799552927
lr0.02_carry0.75_shrink20_venue0,0.02,0.75,20.0,False,2019/20,2730,2.933983845310752,-0.01824244277513841,0.04532022179474184
lr0.02_carry0.75_shrink20_venue0,0.02,0.75,20.0,False,2020/21,8148,2.9045040189563123,0.033293354205305124,0.062325628353079573
lr0.02_carry0.75_shrink20_venue0,0.02,0.75,20.0,False,2021/22,8314,2.8917093060594885,-0.03401091842440403,0.07504645475743481
lr0.02_carry0.75_shrink20_venue0,0.02,0.75,20.0,False,2022/23,8760,2.8983324121197773,-0.030103776274098902,0.0704816970603748
lr0.02_carry0.75_shrink20_venue0,0.02,0.75,20.0,False,2023/24,7675,2.933245656662852,-0.02924370914423846,0.027642600738028794
lr0.02_carry0.75_shrink20_venue0,0.02,0.75,20.0,False,2024/25,8666,2.8969897731598917,-0.009188986099374019,0.05540437800269751
lr0.02_carry0.75_shrink20_venue0,0.02,0.75,20.0,False,2025/26,8076,2.9206114352072454,-0.024933738254028726,0.045512947757558486
lr0.02_carry0.75_shrink20_venue1,0.02,0.75,20.0,True,2013/14,3543,2.952888997846571,-0.0470417172605933,0.1691497913693533
lr0.02_carry0.75_shrink20_venue1,0.02,0.75,20.0,True,2014/15,3574,2.893393530056951,-0.04355667627920928,0.14011347411356095
lr0.02_carry0.75_shrink20_venue1,0.02,0.75,20.0,True,2015/16,2864,2.8940757892049525,-0.026001390949504967,0.09360820786554425
lr0.02_carry0.75_shrink20_venue1,0.02,0.75,20.0,True,2016/17,3550,2.871955426423973,-0.037244509080951796,0.08849889304660041
lr0.02_carry0.75_shrink20_venue1,0.02,0.75,20.0,True,2017/18,3898,2.8818918965636295,-0.008135132783865913,0.07092511924994883
lr0.02_carry0.75_shrink20_venue1,0.02,0.75,20.0,True,2018/19,4597,2.900161967564308,-0.03397381737353981,0.08059233118530404
lr0.02_carry0.75_shrink20_venue1,0.02,0.75,20.0,True,2019/20,2730,2.9319529394955515,-0.011652761834622794,0.03919737342542436
lr0.02_carry0.75_shrink20_venue1,0.02,0.75,20.0,True,2020/21,8148,2.9018732323140877,0.03411852938788603,0.06446068960347115
