fold,test_season,model,matches,brier_1x2,log_loss_1x2,accuracy_1x2,baseline_brier,baseline_log_loss,baseline_accuracy,delta_brier_vs_ao,delta_log_loss_vs_ao,delta_accuracy_vs_ao
1,2020/21,AO_ML_POISSON_BLEND,540,0.5296327831930847,0.9005782988482076,0.5944444444444444,0.5296327831930847,0.9005782988482077,0.5944444444444444,0.0,-1.1102230246251565e-16,0.0
1,2020/21,AO_POISSON_BLEND,540,0.5336935168574147,0.9116322922931019,0.6018518518518519,0.5296327831930847,0.9005782988482077,0.5944444444444444,0.0040607336643300185,0.011053993444894217,0.007407407407407418
1,2020/21,CURRENT_AO,540,0.5296327831930847,0.9005782988482077,0.5944444444444444,0.5296327831930847,0.9005782988482077,0.5944444444444444,0.0,0.0,0.0
1,2020/21,CURRENT_ML_BLEND,540,0.5327066434306268,0.9048401023233397,0.5944444444444444,0.5296327831930847,0.9005782988482077,0.5944444444444444,0.003073860237542081,0.004261803475131942,0.0
1,2020/21,DOMESTIC_AD_RAW,540,0.5373296229596105,0.9179253741014628,0.6074074074074074,0.5296327831930847,0.9005782988482077,0.5944444444444444,0.007696839766525798,0.017347075253255073,0.012962962962962954
1,2020/21,DOMESTIC_AD_RELIABLE,540,0.5360932120630714,0.9160327444614984,0.6055555555555555,0.5296327831930847,0.9005782988482077,0.5944444444444444,0.006460428869986656,0.01545444561329068,0.011111111111111072
1,2020/21,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,540,0.5360932321904367,0.9160327681759552,0.6055555555555555,0.5296327831930847,0.9005782988482077,0.5944444444444444,0.006460448997351986,0.015454469327747522,0.011111111111111072
1,2020/21,DOMESTIC_ATTACK_DEFENCE_POISSON,540,0.5360932321904367,0.9160327681759552,0.6055555555555555,0.5296327831930847,0.9005782988482077,0.5944444444444444,0.006460448997351986,0.015454469327747522,0.011111111111111072
1,2020/21,EXISTING_ELO_POISSON,540,0.5404654345670988,0.9229347145519861,0.5944444444444444,0.5296327831930847,0.9005782988482077,0.5944444444444444,0.010832651374014124,0.022356415703778332,0.0
1,2020/21,POISSON_FEATURE_LOGISTIC,540,0.6482956088495548,1.0915709698730152,0.5037037037037037,0.5296327831930847,0.9005782988482077,0.5944444444444444,0.11866282565647013,0.19099267102480744,-0.09074074074074079
2,2021/22,AO_ML_POISSON_BLEND,816,0.5762709483211054,0.9711081738467205,0.5453431372549019,0.5762709483211054,0.9711081738467205,0.5453431372549019,0.0,0.0,0.0
2,2021/22,AO_POISSON_BLEND,816,0.5758549540523921,0.9708230036186183,0.5465686274509803,0.5762709483211054,0.9711081738467205,0.5453431372549019,-0.00041599426871330447,-0.00028517022810226056,0.001225490196078427
2,2021/22,CURRENT_AO,816,0.5762709483211054,0.9711081738467205,0.5453431372549019,0.5762709483211054,0.9711081738467205,0.5453431372549019,0.0,0.0,0.0
2,2021/22,CURRENT_ML_BLEND,816,0.5762709483211054,0.9711081738467205,0.5453431372549019,0.5762709483211054,0.9711081738467205,0.5453431372549019,0.0,0.0,0.0
2,2021/22,DOMESTIC_AD_RAW,816,0.5759807966779934,0.97003688974885,0.5416666666666666,0.5762709483211054,0.9711081738467205,0.5453431372549019,-0.00029015164311196884,-0.0010712840978704952,-0.003676470588235281
2,2021/22,DOMESTIC_AD_RELIABLE,816,0.5766869571630618,0.9713002324304107,0.5428921568627451,0.5762709483211054,0.9711081738467205,0.5453431372549019,0.00041600884195647225,0.00019205858369020223,-0.002450980392156854
2,2021/22,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,816,0.5784919227578339,0.9752029089030743,0.5428921568627451,0.5762709483211054,0.9711081738467205,0.5453431372549019,0.002220974436728529,0.0040947350563537155,-0.002450980392156854
2,2021/22,DOMESTIC_ATTACK_DEFENCE_POISSON,816,0.5766869599025144,0.971300236740758,0.5428921568627451,0.5762709483211054,0.9711081738467205,0.5453431372549019,0.00041601158140902594,0.00019206289403750354,-0.002450980392156854
2,2021/22,EXISTING_ELO_POISSON,816,0.575989537995672,0.9703675942659952,0.5453431372549019,0.5762709483211054,0.9711081738467205,0.5453431372549019,-0.0002814103254333844,-0.0007405795807253757,0.0
2,2021/22,POISSON_FEATURE_LOGISTIC,816,0.5722610265579751,0.9671499287102356,0.5465686274509803,0.5762709483211054,0.9711081738467205,0.5453431372549019,-0.004009921763130309,-0.003958245136484906,0.001225490196078427
3,2022/23,AO_ML_POISSON_BLEND,804,0.580081626067044,0.9762802387522636,0.5323383084577115,0.5922543302028854,0.9933671776809765,0.5149253731343284,-0.012172704135841372,-0.017086938928712936,0.01741293532338306
3,2022/23,AO_POISSON_BLEND,804,0.5892839853047303,0.9885122109303696,0.5186567164179104,0.5922543302028854,0.9933671776809765,0.5149253731343284,-0.002970344898155175,-0.004854966750606926,0.003731343283582045
3,2022/23,CURRENT_AO,804,0.5922543302028854,0.9933671776809765,0.5149253731343284,0.5922543302028854,0.9933671776809765,0.5149253731343284,0.0,0.0,0.0
3,2022/23,CURRENT_ML_BLEND,804,0.5803761989057828,0.9773409894857361,0.5223880597014925,0.5922543302028854,0.9933671776809765,0.5149253731343284,-0.011878131297102579,-0.016026188195240376,0.00746268656716409
3,2022/23,DOMESTIC_AD_RAW,804,0.5885715608310398,0.9872157630853045,0.5186567164179104,0.5922543302028854,0.9933671776809765,0.5149253731343284,-0.00368276937184564,-0.006151414595672033,0.003731343283582045
3,2022/23,DOMESTIC_AD_RELIABLE,804,0.5887188293923831,0.9874725763213815,0.5261194029850746,0.5922543302028854,0.9933671776809765,0.5149253731343284,-0.0035355008105023567,-0.005894601359594964,0.011194029850746245
3,2022/23,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,804,0.588720710550669,0.9874750320280575,0.5261194029850746,0.5922543302028854,0.9933671776809765,0.5149253731343284,-0.0035336196522164354,-0.005892145652918956,0.011194029850746245
3,2022/23,DOMESTIC_ATTACK_DEFENCE_POISSON,804,0.588720710550669,0.9874750320280575,0.5261194029850746,0.5922543302028854,0.9933671776809765,0.5149253731343284,-0.0035336196522164354,-0.005892145652918956,0.011194029850746245
3,2022/23,EXISTING_ELO_POISSON,804,0.5910085664727054,0.991369412384657,0.5149253731343284,0.5922543302028854,0.9933671776809765,0.5149253731343284,-0.0012457637301800384,-0.0019977652963194537,0.0
3,2022/23,POISSON_FEATURE_LOGISTIC,804,0.5795004973667479,0.9759723030203806,0.5360696517412935,0.5922543302028854,0.9933671776809765,0.5149253731343284,-0.012753832836137513,-0.01739487466059586,0.021144278606965106
4,2023/24,AO_ML_POISSON_BLEND,806,0.5574092365210123,0.9466785743741373,0.5744416873449132,0.5642390493784643,0.9534484792111946,0.5558312655086849,-0.006829812857451989,-0.006769904837057306,0.018610421836228297
4,2023/24,AO_POISSON_BLEND,806,0.5640182285371093,0.9530560786945438,0.5632754342431762,0.5642390493784643,0.9534484792111946,0.5558312655086849,-0.00022082084135499613,-0.0003924005166507927,0.007444168734491274
4,2023/24,CURRENT_AO,806,0.5642390493784643,0.9534484792111946,0.5558312655086849,0.5642390493784643,0.9534484792111946,0.5558312655086849,0.0,0.0,0.0
4,2023/24,CURRENT_ML_BLEND,806,0.557815199417802,0.9460086743077488,0.5682382133995038,0.5642390493784643,0.9534484792111946,0.5558312655086849,-0.0064238499606622534,-0.007439804903445757,0.012406947890818865
4,2023/24,DOMESTIC_AD_RAW,806,0.5644026843103573,0.9536224857575287,0.5620347394540943,0.5642390493784643,0.9534484792111946,0.5558312655086849,0.0001636349318930863,0.00017400654633414891,0.006203473945409432
4,2023/24,DOMESTIC_AD_RELIABLE,806,0.5645086685976585,0.9538008363941216,0.56575682382134,0.5642390493784643,0.9534484792111946,0.5558312655086849,0.00026961921919421705,0.0003523571829270322,0.00992555831265507
4,2023/24,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,806,0.5645086627341712,0.9538008278015012,0.56575682382134,0.5642390493784643,0.9534484792111946,0.5558312655086849,0.00026961335570696576,0.00035234859030663923,0.00992555831265507
4,2023/24,DOMESTIC_ATTACK_DEFENCE_POISSON,806,0.5645086627341712,0.9538008278015012,0.56575682382134,0.5642390493784643,0.9534484792111946,0.5558312655086849,0.00026961335570696576,0.00035234859030663923,0.00992555831265507
4,2023/24,EXISTING_ELO_POISSON,806,0.565717545809074,0.9556734175554289,0.5558312655086849,0.5642390493784643,0.9534484792111946,0.5558312655086849,0.0014784964306097104,0.0022249383442343174,0.0
4,2023/24,POISSON_FEATURE_LOGISTIC,806,0.5588699344730477,0.9500450758758437,0.5694789081885856,0.5642390493784643,0.9534484792111946,0.5558312655086849,-0.005369114905416583,-0.0034034033353508297,0.013647642679900707
5,2024/25,AO_ML_POISSON_BLEND,957,0.5677086115769593,0.9597437942300022,0.5559038662486938,0.5692229584595572,0.9607593419315188,0.5642633228840125,-0.0015143468825978834,-0.0010155477015165726,-0.008359456635318674
5,2024/25,AO_POISSON_BLEND,957,0.5696912849893658,0.9610718841112001,0.5611285266457681,0.5692229584595572,0.9607593419315188,0.5642633228840125,0.0004683265298086603,0.0003125421796813521,-0.0031347962382444194
5,2024/25,CURRENT_AO,957,0.5692229584595572,0.9607593419315188,0.5642633228840125,0.5692229584595572,0.9607593419315188,0.5642633228840125,0.0,0.0,0.0
5,2024/25,CURRENT_ML_BLEND,957,0.568956853114429,0.9633863353072124,0.5559038662486938,0.5692229584595572,0.9607593419315188,0.5642633228840125,-0.00026610534512816475,0.0026269933756936092,-0.008359456635318674
5,2024/25,DOMESTIC_AD_RAW,957,0.5734765132275346,0.9672932020803026,0.5444096133751306,0.5692229584595572,0.9607593419315188,0.5642633228840125,0.004253554767977397,0.0065338601487837655,-0.019853709508881878
5,2024/25,DOMESTIC_AD_RELIABLE,957,0.5735916131328188,0.9674560991882639,0.5433646812957158,0.5692229584595572,0.9607593419315188,0.5642633228840125,0.0043686546732616405,0.006696757256745123,-0.020898641588296685
5,2024/25,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,957,0.572009622490179,0.963951645199652,0.5433646812957158,0.5692229584595572,0.9607593419315188,0.5642633228840125,0.002786664030621777,0.0031923032681332453,-0.020898641588296685
5,2024/25,DOMESTIC_ATTACK_DEFENCE_POISSON,957,0.5735916131328188,0.9674560991882639,0.5433646812957158,0.5692229584595572,0.9607593419315188,0.5642633228840125,0.0043686546732616405,0.006696757256745123,-0.020898641588296685
5,2024/25,EXISTING_ELO_POISSON,957,0.5717084081141773,0.9650976272628318,0.5642633228840125,0.5692229584595572,0.9607593419315188,0.5642633228840125,0.0024854496546201643,0.004338285331312974,0.0
5,2024/25,POISSON_FEATURE_LOGISTIC,957,0.5704785090494897,0.9661520740333402,0.554858934169279,0.5692229584595572,0.9607593419315188,0.5642633228840125,0.0012555505899325414,0.005392732101821451,-0.00940438871473348
6,2025/26,AO_ML_POISSON_BLEND,961,0.5787218853591354,0.9735278047745942,0.5483870967741935,0.5849804940716918,0.9829940088682142,0.5400624349635796,-0.006258608712556457,-0.009466204093619979,0.008324661810613865
6,2025/26,AO_POISSON_BLEND,961,0.5839145785045861,0.9810246883161426,0.5442247658688866,0.5849804940716918,0.9829940088682142,0.5400624349635796,-0.0010659155671057796,-0.0019693205520715518,0.004162330905306932
6,2025/26,CURRENT_AO,961,0.5849804940716918,0.9829940088682142,0.5400624349635796,0.5849804940716918,0.9829940088682142,0.5400624349635796,0.0,0.0,0.0
6,2025/26,CURRENT_ML_BLEND,961,0.5815526892376064,0.9777428535464299,0.5411030176899063,0.5849804940716918,0.9829940088682142,0.5400624349635796,-0.003427804834085446,-0.005251155321784329,0.0010405827263266776
6,2025/26,DOMESTIC_AD_RAW,961,0.5847485358253253,0.9824057622095164,0.5452653485952134,0.5849804940716918,0.9829940088682142,0.5400624349635796,-0.00023195824636657036,-0.000588246658697833,0.005202913631633721
6,2025/26,DOMESTIC_AD_RELIABLE,961,0.5848414046228307,0.9825305815119763,0.5452653485952134,0.5849804940716918,0.9829940088682142,0.5400624349635796,-0.0001390894488610961,-0.0004634273562379443,0.005202913631633721
6,2025/26,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,961,0.5838488520440449,0.9802920843568097,0.5452653485952134,0.5849804940716918,0.9829940088682142,0.5400624349635796,-0.0011316420276469286,-0.0027019245114044965,0.005202913631633721
6,2025/26,DOMESTIC_ATTACK_DEFENCE_POISSON,961,0.5848414030486518,0.9825305797458561,0.5452653485952134,0.5849804940716918,0.9829940088682142,0.5400624349635796,-0.00013909102303999443,-0.0004634291223580833,0.005202913631633721
6,2025/26,EXISTING_ELO_POISSON,961,0.5855252825923791,0.984038054636174,0.5400624349635796,0.5849804940716918,0.9829940088682142,0.5400624349635796,0.0005447885206872893,0.0010440457679598003,0.0
6,2025/26,POISSON_FEATURE_LOGISTIC,961,0.574756336457131,0.9677343165319694,0.5431841831425598,0.5849804940716918,0.9829940088682142,0.5400624349635796,-0.010224157614560858,-0.015259692336244801,0.003121748178980144
