model,feature_layer,matches,brier_1x2,log_loss_1x2,accuracy_1x2,delta_vs_ao_brier_1x2,delta_vs_ao_log_loss_1x2,delta_vs_ao_accuracy_1x2
CURRENT_AO,AO only,4884,0.5664125273041909,0.9562592472260171,0.5591728091728092,0.0,0.0,0.0
EXISTING_ELO_POISSON,+ Elo-conditioned Poisson,4884,0.5677818528372687,0.9588246927094418,0.5591728091728092,0.001369325533077781,0.002565445483424744,0.0
DOMESTIC_AD_RAW,+ raw domestic attack/defence,4884,0.5669228313732453,0.9571283167093679,0.5571253071253072,0.0005103040690543903,0.0008690694833508594,-0.0020475020475020367
DOMESTIC_AD_RELIABLE,+ reliability shrinkage,4884,0.5670720642202263,0.9573912117898888,0.5558968058968059,0.0006595369160353748,0.001131964563871768,-0.003276003276003303
DOMESTIC_ATTACK_DEFENCE_POISSON,+ team venue context if selected,4884,0.5670720642202263,0.9573912117898888,0.5558968058968059,0.0006595369160353748,0.001131964563871768,-0.003276003276003303
DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,+ Dixon-Coles,4884,0.5669247272789802,0.9571154997919581,0.5558968058968059,0.0005121999747893513,0.0008562525659410181,-0.003276003276003303
AO_POISSON_BLEND,+ AO/Poisson blend,4884,0.5661063668843312,0.9559432295205229,0.556920556920557,-0.0003061604198596468,-0.00031601770549416486,-0.0022522522522522292
CURRENT_ML_BLEND,current ML shadow reference,4884,0.5627496105193128,0.9512146668445699,0.5601965601965602,-0.0036629167848780675,-0.005044580381447172,0.0010237510237509628
POISSON_FEATURE_LOGISTIC,+ multinomial logistic transfer,4884,0.5755762499480503,0.9727767051648343,0.5458640458640459,0.009163722643859451,0.016517457938817204,-0.013308763308763294
AO_ML_POISSON_BLEND,+ AO anchored ML/Poisson blend,4884,0.5631702600189342,0.9521511707415066,0.55999180999181,-0.0032422672852566725,-0.004108076484510503,0.0008190008190007703
