model,matches,brier_1x2,log_loss_1x2,accuracy_1x2,delta_vs_ao_brier_1x2,delta_vs_ao_log_loss_1x2,delta_vs_ao_accuracy_1x2
CURRENT_AO,4884,0.5720926654555982,0.9643708372415034,0.5501638001638002,0.0,0.0,0.0
EXISTING_ELO_POISSON,4884,0.5738764885694952,0.9678127528013837,0.5501638001638002,0.0017838231138970206,0.003441915559880271,0.0
DOMESTIC_AD_RAW,4884,0.5731037655685144,0.9662904449150695,0.5497542997542998,0.0010111001129161634,0.0019196076735661372,-0.00040950040950038513
DOMESTIC_AD_RELIABLE,4884,0.5731676046050274,0.9664204490017722,0.5513923013923014,0.0010749391494291327,0.0020496117602687436,0.0012285012285012664
DOMESTIC_ATTACK_DEFENCE_POISSON,4884,0.5731679156854278,0.9664208548347623,0.5513923013923014,0.0010752502298295719,0.002050017593258846,0.0012285012285012664
DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,4884,0.5729641980624768,0.9659457573631149,0.5513923013923014,0.0008715326068785556,0.0015749201216115338,0.0012285012285012664
AO_POISSON_BLEND,4884,0.5718287525948811,0.9643551483155444,0.5532350532350533,-0.0002639128607171415,-1.5688925959045363e-05,0.0030712530712531105
CURRENT_ML_BLEND,4884,0.5686904256186336,0.9604575506345672,0.552006552006552,-0.003402239836964638,-0.003913286606936239,0.0018427518427518441
POISSON_FEATURE_LOGISTIC,4884,0.5797913525826932,0.9794555572031993,0.5448402948402948,0.007698687127094983,0.015084719961695914,-0.00532350532350534
AO_ML_POISSON_BLEND,4884,0.5674334852287891,0.958379161671955,0.5561015561015561,-0.004659180226809112,-0.0059916755695483825,0.0059377559377559175
