fold,train_seasons,test_season,selected_candidate,selected_is_baseline,selected_profile,selected_ucl_multiplier,selected_uel_multiplier,selected_uecl_multiplier,train_ranking_score,train_pairwise_accuracy,train_brier_1x2
1,2018/19|2019/20,2020/21,k_hierarchy_ucl0.75_uel0.675_uecl0.1875,False,HIERARCHY,0.75,0.675,0.1875,0.3612874668678462,0.6289718706096437,0.5800197214286413
2,2018/19|2019/20|2020/21,2021/22,k_hierarchy_ucl1_uel0.5_uecl0.25,False,HIERARCHY,1.0,0.5,0.25,0.34316734756317857,0.6162514260046419,0.5706065000006216
3,2018/19|2019/20|2020/21|2021/22,2022/23,k_hierarchy_ucl1_uel0.65_uecl0.6,False,HIERARCHY,1.0,0.65,0.6,0.323459357252979,0.6114845490062287,0.5721684273256764
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,k_hierarchy_ucl1.25_uel0.8125_uecl0.75,False,HIERARCHY,1.25,0.8125,0.75,0.3080846650228391,0.6071849532553444,0.5764656140485563
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,k_hierarchy_ucl1.5_uel0.75_uecl0.675,False,HIERARCHY,1.5,0.75,0.675,0.317708655459906,0.6080850523626044,0.5754497282539569
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,k_hierarchy_ucl1.5_uel0.75_uecl0.675,False,HIERARCHY,1.5,0.75,0.675,0.31871154840612076,0.6089858300928322,0.574780651861914
