candidate_key,profile,ucl_multiplier,uel_multiplier,uecl_multiplier,matches,brier_1x2,log_loss_1x2,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation,max_reserve,reserve_added,trophy_added,ranking_score,pairwise_accuracy
k_global_ucl0.75_uel0.75_uecl0.75,GLOBAL,0.75,0.75,0.75,6340,0.5761775218023395,0.9707312461228015,71.26126880944875,9.094947017729282e-13,386.4041118329785,0.9575788652950556,0.0,0.0,0.0,0.307698153350219,0.606129989117817
k_global_ucl1_uel1_uecl1,GLOBAL,1.0,1.0,1.0,6340,0.57570389573165,0.9700199031593156,94.9584820589952,9.094947017729282e-13,475.01845433796007,0.937453785979035,0.0,0.0,0.0,0.30744242960987206,0.6061641980184665
k_global_ucl1.25_uel1.25_uecl1.25,GLOBAL,1.25,1.25,1.25,6340,0.5763258108059048,0.9708798300494315,119.22992447973735,9.094947017729282e-13,551.0496741230486,0.9177370524644749,0.0,0.0,0.0,0.30680178905486366,0.6060513558864438
k_global_ucl1.5_uel1.5_uecl1.5,GLOBAL,1.5,1.5,1.5,6340,0.5778258063920303,0.9730043525854185,143.7852312980019,9.094947017729282e-13,618.019290916742,0.9023449446972843,0.0,0.0,0.0,0.30617936241293514,0.606131704147313
k_hierarchy_ucl0.75_uel0.375_uecl0.1875,HIERARCHY,0.75,0.375,0.1875,6340,0.5788925962375804,0.9748066100746379,68.51698676155705,9.094947017729282e-13,322.2329724550855,0.9834934617485699,0.0,0.0,0.0,0.3039385835289628,0.6044849722666679
k_hierarchy_ucl0.75_uel0.375_uecl0.3375,HIERARCHY,0.75,0.375,0.3375,6340,0.5784832127274072,0.9741482686674493,68.51698676155705,9.094947017729282e-13,322.2329724550855,0.9816515995495085,0.0,0.0,0.0,0.3049908175879415,0.6047664559170919
k_hierarchy_ucl0.75_uel0.4875_uecl0.1875,HIERARCHY,0.75,0.48750000000000004,0.1875,6340,0.578122876336546,0.9736944061297743,68.51698676155705,9.094947017729282e-13,322.8157926379424,0.9775339442792779,0.0,0.0,0.0,0.3042955025918423,0.604704193738333
k_hierarchy_ucl0.75_uel0.4875_uecl0.3375,HIERARCHY,0.75,0.48750000000000004,0.3375,6340,0.5777207280082003,0.9730482235592308,68.51698676155705,9.094947017729282e-13,322.8157926379424,0.9775339442792779,0.0,0.0,0.0,0.3056491841943045,0.6051661357042583
k_hierarchy_ucl0.75_uel0.4875_uecl0.45,HIERARCHY,0.75,0.48750000000000004,0.44999999999999996,6340,0.577524273830232,0.9727278323626283,68.51698676155705,9.094947017729282e-13,322.8157926379424,0.9759759675383821,0.0,0.0,0.0,0.3059085479090043,0.6053331440186298
k_hierarchy_ucl0.75_uel0.6_uecl0.1875,HIERARCHY,0.75,0.6000000000000001,0.1875,6340,0.5774968876861534,0.9727952194108884,68.51698676155705,9.094947017729282e-13,325.7036383265329,0.9709983972134232,0.0,0.0,0.0,0.30473660870708164,0.6047650974571319
k_hierarchy_ucl0.75_uel0.6_uecl0.3375,HIERARCHY,0.75,0.6000000000000001,0.3375,6340,0.5771011851035767,0.9721598581517029,68.51698676155705,9.094947017729282e-13,325.7036383265329,0.9709983972134232,0.0,0.0,0.0,0.306093195017359,0.6052869002046416
k_hierarchy_ucl0.75_uel0.6_uecl0.45,HIERARCHY,0.75,0.6000000000000001,0.44999999999999996,6340,0.5769091678511667,0.9718466484760273,68.51698676155705,9.094947017729282e-13,325.7036383265329,0.9709983972134232,0.0,0.0,0.0,0.3062665006942782,0.6055275630126256
k_hierarchy_ucl0.75_uel0.6_uecl0.5625,HIERARCHY,0.75,0.6000000000000001,0.5625,6340,0.5767992812323057,0.9716583894336809,68.51698676155705,9.094947017729282e-13,325.7036383265329,0.9688323663536724,0.0,0.0,0.0,0.3077159988520445,0.6060286979660908
k_hierarchy_ucl0.75_uel0.675_uecl0.1875,HIERARCHY,0.75,0.675,0.1875,6340,0.5771548533973596,0.9723054725055222,68.51698676155705,9.094947017729282e-13,356.8955212787039,0.9658033133871443,0.0,0.0,0.0,0.3049202854519305,0.6046719308599537
k_hierarchy_ucl0.75_uel0.675_uecl0.3375,HIERARCHY,0.75,0.675,0.3375,6340,0.5767630222713509,0.971676611762659,68.51698676155705,9.094947017729282e-13,356.8955212787039,0.9658033133871443,0.0,0.0,0.0,0.3063375728903368,0.6051535917557451
k_hierarchy_ucl0.75_uel0.675_uecl0.45,HIERARCHY,0.75,0.675,0.44999999999999996,6340,0.5765736569381983,0.9713676965491036,68.51698676155705,9.094947017729282e-13,356.8955212787039,0.9658033133871443,0.0,0.0,0.0,0.30652057272011685,0.6054744622596456
k_hierarchy_ucl0.75_uel0.675_uecl0.5625,HIERARCHY,0.75,0.675,0.5625,6340,0.5764662151572886,0.9711832956610152,68.51698676155705,9.094947017729282e-13,356.8955212787039,0.9658033133871443,0.0,0.0,0.0,0.3075347683214968,0.6058758056920093
k_hierarchy_ucl1_uel0.5_uecl0.25,HIERARCHY,1.0,0.5,0.25,6340,0.5776766733226727,0.9730141310683144,91.66042083909254,9.094947017729282e-13,382.99719892260237,0.9749999549272617,0.0,0.0,0.0,0.3057189163824289,0.6050308381724285
k_hierarchy_ucl1_uel0.5_uecl0.45,HIERARCHY,1.0,0.5,0.45,6340,0.5772542472293813,0.9723345036745485,91.66042083909254,9.094947017729282e-13,382.99719892260237,0.9719985210004246,0.0,0.0,0.0,0.3065484456301811,0.6055137244737949
k_hierarchy_ucl1_uel0.65_uecl0.25,HIERARCHY,1.0,0.65,0.25,6340,0.5769013714892798,0.9719064784353582,91.66042083909254,9.094947017729282e-13,382.20626909890825,0.9659709839739373,0.0,0.0,0.0,0.3056608773978415,0.6049654963719212
k_hierarchy_ucl1_uel0.65_uecl0.45,HIERARCHY,1.0,0.65,0.45,6340,0.576489829494152,0.97124434341655,91.66042083909254,9.094947017729282e-13,382.20626909890825,0.9659709839739373,0.0,0.0,0.0,0.3066533933799095,0.6055471805780159
