competition,matches,candidate_brier_1x2,baseline_brier_1x2,brier_difference,candidate_log_loss_1x2,baseline_log_loss_1x2,log_loss_difference
ALL,4884,0.5761198533738718,0.5753369751000866,0.0007828782737853212,0.971203128825656,0.9700148774103575,0.0011882514152983888
UCL,1384,0.5579580889688656,0.557582577709277,0.000375511259588665,0.9447235795188024,0.9440446123447988,0.0006789671740037164
UECL,2073,0.5836570250599548,0.5830279635056479,0.0006290615543068687,0.982154460390163,0.9810644548879995,0.0010900055021634337
UEL,1427,0.5827851126810047,0.5813836934071305,0.0014014192738743224,0.980975788886947,0.9791508779286349,0.0018249109583121164
