fold,test_season,candidate_key,profile,ucl_multiplier,uel_multiplier,uecl_multiplier,matches,brier_1x2,log_loss_1x2,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation,max_reserve,reserve_added,trophy_added,ranking_score,pairwise_accuracy
1,2020/21,k_global_ucl0.75_uel0.75_uecl0.75,GLOBAL,0.75,0.75,0.75,1456,0.5797728769618054,0.9750964703562462,69.08168578697729,9.094947017729282e-13,378.82474043340903,0.9633504549642212,0.0,0.0,0.0,0.358752924684939,0.6280678959304765
1,2020/21,k_global_ucl1_uel1_uecl1,GLOBAL,1.0,1.0,1.0,1456,0.5793457676897097,0.97447146324626,92.66612426482762,9.094947017729282e-13,471.46926628802817,0.9465157871773467,0.0,0.0,0.0,0.3569395830211434,0.6269279952956955
1,2020/21,k_global_ucl1.25_uel1.25_uecl1.25,GLOBAL,1.25,1.25,1.25,1456,0.5797142731615365,0.9749700572949056,116.56846408150614,9.094947017729282e-13,552.6987320556127,0.9297892939625969,0.0,0.0,0.0,0.3588120140402757,0.6281474222421665
1,2020/21,k_global_ucl1.5_uel1.5_uecl1.5,GLOBAL,1.5,1.5,1.5,1456,0.5807517233701521,0.9764083485162103,140.79191320316318,4.547473508864641e-13,625.1657719683831,0.9136217027038234,0.0,0.0,0.0,0.358731471483685,0.6281483745937659
1,2020/21,k_hierarchy_ucl0.75_uel0.375_uecl0.1875,HIERARCHY,0.75,0.375,0.1875,1456,0.5816204692850142,0.9777685127410326,64.7999452423906,9.094947017729282e-13,296.3123254309885,0.9843237015896255,0.0,0.0,0.0,0.36043145050004044,0.6277913565050894
1,2020/21,k_hierarchy_ucl0.75_uel0.375_uecl0.3375,HIERARCHY,0.75,0.375,0.3375,1456,0.5816204692850142,0.9777685127410326,64.7999452423906,9.094947017729282e-13,296.3123254309885,0.9843237015896255,0.0,0.0,0.0,0.36043145050004044,0.6277913565050894
1,2020/21,k_hierarchy_ucl0.75_uel0.4875_uecl0.1875,HIERARCHY,0.75,0.48750000000000004,0.1875,1456,0.5808996536686846,0.9767239349320538,64.7999452423906,9.094947017729282e-13,296.3123254309885,0.9787382878489306,0.0,0.0,0.0,0.3591632949055211,0.6282247037250858
1,2020/21,k_hierarchy_ucl0.75_uel0.4875_uecl0.3375,HIERARCHY,0.75,0.48750000000000004,0.3375,1456,0.5808996536686846,0.9767239349320538,64.7999452423906,9.094947017729282e-13,296.3123254309885,0.9787382878489306,0.0,0.0,0.0,0.3591632949055211,0.6282247037250858
1,2020/21,k_hierarchy_ucl0.75_uel0.4875_uecl0.45,HIERARCHY,0.75,0.48750000000000004,0.44999999999999996,1456,0.5808996536686846,0.9767239349320538,64.7999452423906,9.094947017729282e-13,296.3123254309885,0.9787382878489306,0.0,0.0,0.0,0.3591632949055211,0.6282247037250858
1,2020/21,k_hierarchy_ucl0.75_uel0.6_uecl0.1875,HIERARCHY,0.75,0.6000000000000001,0.1875,1456,0.5803253632083816,0.9758944724228222,64.7999452423906,9.094947017729282e-13,316.6637464705384,0.9728995653185112,0.0,0.0,0.0,0.360017931253675,0.6283032096600618
