fold,test_season,model,elo_scale,home_advantage,k_factor,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,start_end_rank_correlation
1,2020/21,selected_dynamic,275.0,50.0,28.0,540,0.1683932324766324,0.6051279384737962,4.796912984034431e-16,24.34434654775727,121.81563230123356,0.9688962046951372
1,2020/21,selected_static,325.0,60.0,0.0,540,0.17396200519817429,0.6167526646592837,0.0,0.0,0.0,1.0
1,2020/21,legacy_static,400.0,70.0,0.0,540,0.1765970691835199,0.6229203788648731,0.0,0.0,0.0,1.0
2,2021/22,selected_dynamic,250.0,40.0,28.0,816,0.1565217328511354,0.6169393588893344,9.593825968068862e-16,28.30628359384648,106.45693107374757,0.942049078803373
2,2021/22,selected_static,300.0,40.0,0.0,816,0.16009214029450125,0.6256222935667262,0.0,0.0,0.0,1.0
2,2021/22,legacy_static,400.0,70.0,0.0,816,0.16193089369849276,0.6292475796291942,0.0,0.0,0.0,1.0
3,2022/23,selected_dynamic,250.0,40.0,28.0,804,0.16543264287221843,0.6342869196323938,-2.4396317107642925e-15,30.810655836753305,120.80238415234635,0.9433797049972867
3,2022/23,selected_static,300.0,50.0,0.0,804,0.17024724086580173,0.6457016458937301,0.0,0.0,0.0,1.0
3,2022/23,legacy_static,400.0,70.0,0.0,804,0.1702012566499249,0.645346710570826,0.0,0.0,0.0,1.0
4,2023/24,selected_dynamic,250.0,40.0,28.0,806,0.15781117306858294,0.6103417112801752,-2.4292059342225648e-15,28.113583871926355,81.36148435636471,0.9376972949432089
4,2023/24,selected_static,300.0,50.0,0.0,806,0.16144823194846214,0.6178116518193925,0.0,0.0,0.0,1.0
4,2023/24,legacy_static,400.0,70.0,0.0,806,0.16390460709696875,0.6233709074251963,0.0,0.0,0.0,1.0
5,2024/25,selected_dynamic,225.0,40.0,28.0,957,0.16981149716095748,0.6241145705175566,-4.817238886509154e-16,30.768455603400078,101.2730473855371,0.9385119620937886
5,2024/25,selected_static,300.0,50.0,0.0,957,0.1727886975962061,0.6310577448633434,0.0,0.0,0.0,1.0
5,2024/25,legacy_static,400.0,70.0,0.0,957,0.17416746382857506,0.6341359531253602,0.0,0.0,0.0,1.0
6,2025/26,selected_dynamic,225.0,40.0,28.0,961,0.17502625928306767,0.6390812969931885,-3.3720672205564077e-15,33.30075024418177,97.73433267843961,0.9418661870569277
6,2025/26,selected_static,300.0,50.0,0.0,961,0.17892059935715016,0.6470071076402135,0.0,0.0,0.0,1.0
6,2025/26,legacy_static,400.0,70.0,0.0,961,0.1789918289774,0.6472844841252432,0.0,0.0,0.0,1.0
