elo_scale,home_advantage,k_factor,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,start_end_rank_correlation
225.0,40.0,28.0,6340,0.16365281343435142,0.6218366241900113,-6.02676093720453e-16,29.03815628863108,127.91296938412597,0.9375849061905133
250.0,40.0,28.0,6340,0.1636700779152547,0.6218115900803282,-8.494666499488147e-16,28.955985452779686,127.4669577318084,0.9376972949432089
225.0,40.0,24.0,6340,0.16369057283480282,0.6219508282881621,-4.778668434289184e-16,25.7514524640682,114.76356876483862,0.9490607344136703
250.0,40.0,24.0,6340,0.16369564908955894,0.6218878923790485,-4.817303474429695e-16,25.602317196605767,113.98105408125093,0.9492152689486267
225.0,40.0,32.0,6340,0.16377932031031492,0.6221019161204941,-4.858478693176771e-16,32.128541841673126,139.96056879591322,0.9255789776838085
250.0,40.0,32.0,6340,0.1637839306485636,0.6220458988217547,-2.7032804412175066e-16,32.12688680481659,139.89567236377866,0.9259133342230779
250.0,40.0,20.0,6340,0.16387855975310794,0.622316706374567,7.621654225245911e-19,22.03980947503076,99.25454611049702,0.9602614725175402
225.0,40.0,20.0,6340,0.16391485335977868,0.6224991002195814,3.5796373072588503e-16,22.238148423700128,100.29877790133344,0.9598528643912629
225.0,30.0,28.0,6340,0.16396890756588395,0.6227187025742817,7.246641380507218e-16,29.048512667358715,127.92965385143009,0.9374491031143393
225.0,30.0,24.0,6340,0.16399772097512852,0.6228209584669324,2.4192406611662537e-16,25.7750007811548,114.85997078039918,0.9492723998979137
275.0,40.0,28.0,6340,0.16399803839604485,0.6226487332373858,7.851402685456295e-16,28.94232973027743,127.00119455355457,0.9373479532369133
275.0,40.0,24.0,6340,0.16401685493648452,0.6227063996484163,1.191540326254495e-16,25.524808594317072,113.23168252779294,0.949512162570331
250.0,50.0,28.0,6340,0.16402423357795004,0.6224019925811413,-1.2403366400240428e-16,28.95877745070231,127.4203179652767,0.937743187017226
250.0,50.0,24.0,6340,0.16404814217073224,0.6224691121235496,-4.2074618122674885e-16,25.590890559774017,113.86066615439984,0.9493370234307138
275.0,50.0,28.0,6340,0.16405105667202974,0.6225265370683472,-5.452749074460804e-16,28.9523967202658,126.95724402604014,0.9372880125688089
275.0,50.0,24.0,6340,0.1640731482477048,0.6225881246567576,1.7321957434546659e-16,25.52302460826082,113.12982866350569,0.9495608643631657
200.0,30.0,28.0,6340,0.16408787280541418,0.6233325005307927,3.643744872616081e-16,29.236516631642964,128.32289533594087,0.9373369790977188
275.0,40.0,32.0,6340,0.16409891162712215,0.622850345808206,-5.088836125209747e-16,32.188693698962,139.82161954921798,0.9260341521322255
225.0,30.0,32.0,6340,0.16411231846924132,0.6230037449504211,1.7578642692441109e-16,32.12259580676859,139.88682853701584,0.9252493040092349
200.0,40.0,28.0,6340,0.16412526568569397,0.6233583318929965,4.837891643006008e-16,29.210581481379677,128.31420003443327,0.937397234635979
250.0,50.0,32.0,6340,0.16413265317938833,0.6226394215651281,2.6933134905528703e-16,32.146874479245426,139.93524135696316,0.9260182303922603
200.0,30.0,24.0,6340,0.16414219205677413,0.6235239985095906,-2.3469885869889203e-16,26.036235711862627,115.67972638114759,0.9486504128873815
275.0,50.0,32.0,6340,0.1641436298170635,0.6227199746191261,-1.3193921149657393e-15,32.21286725887933,140.5571167618773,0.9258590129926083
275.0,40.0,20.0,6340,0.16416997448858564,0.6230562374505138,1.20437542795338e-16,21.91346531081443,98.29149388199801,0.96037266237248
200.0,40.0,24.0,6340,0.16418158897303692,0.6235397312060709,1.2121268172224834e-16,25.993812121735278,115.56626875880988,0.9486477057475143
250.0,50.0,20.0,6340,0.16422160799185437,0.6228818235662087,-2.4011275240731887e-16,22.01776073633001,99.07884157251067,0.9603491169368276
225.0,30.0,20.0,6340,0.16422180829480837,0.6233661685301494,4.212740406864445e-16,22.27107921328531,100.45726139429473,0.9599334096640281
275.0,50.0,20.0,6340,0.16422403275414238,0.6229370573087852,3.021067549552215e-16,21.902538888188886,98.14690545039025,0.9604410321970364
250.0,30.0,28.0,6340,0.1642316295713345,0.6232734377153322,4.830334576701304e-16,28.956497109295512,127.48699741062217,0.9377900156641826
250.0,40.0,16.0,6340,0.16423866110695373,0.6231475473225598,1.8220364225218816e-16,18.23941708717978,83.0871357949411,0.9706226862101549
200.0,30.0,32.0,6340,0.16424128709763247,0.6236272554203387,-6.065590859512216e-16,32.22035652246005,139.8115807366545,0.9261877500942428
250.0,30.0,24.0,6340,0.164244638848529,0.6233265378693194,1.2899130416649885e-18,25.61356608246096,114.06283042566258,0.9489764428491488
200.0,40.0,32.0,6340,0.16426466595583078,0.6236513411216795,8.409840471307971e-16,32.21517647277088,139.9192557906539,0.9263600795150427
300.0,50.0,28.0,6340,0.16434982305524248,0.623356778212653,-2.3258082226736223e-18,28.994201404011875,130.02603269751182,0.9370622984904787
225.0,40.0,16.0,6340,0.16435034005494137,0.6235464579672171,1.7860089449223525e-16,18.46435808338162,84.28222399243862,0.9700959067317304
250.0,30.0,32.0,6340,0.1643634634659299,0.6235362704141443,-6.098422213649818e-17,32.11436018040131,139.84444252124433,0.9261699552083994
250.0,40.0,40.0,6340,0.16436842331578136,0.6233111540067725,-4.737691452925932e-16,38.00995620710449,162.2136955504543,0.907419764967021
