competition,matches,mean_brier_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,4884,-0.003954676006382007,-0.005519820541971801,-0.0023331178175815663,True,False
UCL,1384,-0.004564178892503219,-0.007260544287275139,-0.0017281153067899562,True,False
UECL,2073,-0.0026236207903771397,-0.005046887652842888,-0.00027161196501195636,True,False
UEL,1427,-0.005297160567269416,-0.008568940542567568,-0.0021288103025247926,True,False
