competition,matches,dynamic_brier,static_brier,brier_difference,dynamic_log_loss,static_log_loss,log_loss_difference
UCL,1384,0.1607602182808359,0.16532439717333908,-0.0045641788925031845,0.6059640968328376,0.6165711559886566,-0.010607059155819054
UECL,2073,0.1667986938476028,0.16942231463797994,-0.002623620790377146,0.6299438210482057,0.6362106606718991,-0.006266839623693454
UEL,1427,0.16909722033199437,0.17439438089926382,-0.005297160567269449,0.6299934307301964,0.6406106923242952,-0.010617261594098815
