arm,teams,seasons,spearman,pairwise_accuracy,mean_abs_elo_delta,p95_abs_elo_delta,spearman_vs_baseline,pairwise_accuracy_vs_baseline
BASELINE,1413,6,0.4597681129660161,0.6596557041961745,6.661903866489602e-14,2.2737367544323206e-13,0.0,0.0
PARTICIPATION_BLIND_LIFT,1413,6,0.45730335014826706,0.6585897157217271,22.649136463982686,45.03329346103283,-0.0024647628177490444,-0.001065988474447388
PARTICIPATION_NORMALIZED,1413,6,0.46920211125177935,0.6630919165455432,26.55589950696663,97.42546727883975,0.009433998285763245,0.00343621234936875
