fold,test_season,train_seasons,selected_shrinkage,blind_lift_coefficient,train_surface
1,2020/21,2018/19|2019/20,0.75,24.928984617966655,"[{""pairwise_accuracy"": 0.6591240932281134, ""seasons"": 2, ""shrinkage"": 0.75, ""spearman"": 0.46444053987067047, ""teams"": 474}, {""pairwise_accuracy"": 0.6588364980184699, ""seasons"": 2, ""shrinkage"": 0.35, ""spearman"": 0.4643465539738737, ""teams"": 474}, {""pairwise_accuracy"": 0.658962329403112, ""seasons"": 2, ""shrinkage"": 0.5, ""spearman"": 0.46423634398753905, ""teams"": 474}, {""pairwise_accuracy"": 0.6588185233986331, ""seasons"": 2, ""shrinkage"": 0.2, ""spearman"": 0.4641238785951478, ""teams"": 474}, {""pairwise_accuracy"": 0.6581714745599013, ""seasons"": 2, ""shrinkage"": 0.1, ""spearman"": 0.46180743031351035, ""teams"": 474}, {""pairwise_accuracy"": 0.6579557997979387, ""seasons"": 2, ""shrinkage"": 0.0, ""spearman"": 0.4604238285768406, ""teams"": 474}]"
2,2021/22,2018/19|2019/20|2020/21,0.2,40.50516311981141,"[{""pairwise_accuracy"": 0.6607801313391644, ""seasons"": 3, ""shrinkage"": 0.2, ""spearman"": 0.4654861160691788, ""teams"": 711}, {""pairwise_accuracy"": 0.6610077874788964, ""seasons"": 3, ""shrinkage"": 0.75, ""spearman"": 0.4654817609890608, ""teams"": 711}, {""pairwise_accuracy"": 0.660588599598388, ""seasons"": 3, ""shrinkage"": 0.35, ""spearman"": 0.46511889851597193, ""teams"": 711}, {""pairwise_accuracy"": 0.660792201788542, ""seasons"": 3, ""shrinkage"": 0.5, ""spearman"": 0.4650329542046065, ""teams"": 711}, {""pairwise_accuracy"": 0.6603367939866372, ""seasons"": 3, ""shrinkage"": 0.1, ""spearman"": 0.46415247172045854, ""teams"": 711}, {""pairwise_accuracy"": 0.6599296386911316, ""seasons"": 3, ""shrinkage"": 0.0, ""spearman"": 0.4629318186412637, ""teams"": 711}]"
3,2022/23,2018/19|2019/20|2020/21|2021/22,0.2,41.828664318183876,"[{""pairwise_accuracy"": 0.6610624872454761, ""seasons"": 4, ""shrinkage"": 0.2, ""spearman"": 0.46666066283308977, ""teams"": 948}, {""pairwise_accuracy"": 0.6608739035056785, ""seasons"": 4, ""shrinkage"": 0.35, ""spearman"": 0.46608921350933685, ""teams"": 948}, {""pairwise_accuracy"": 0.661008554679199, ""seasons"": 4, ""shrinkage"": 0.75, ""spearman"": 0.4659117279797595, ""teams"": 948}, {""pairwise_accuracy"": 0.6607749191652962, ""seasons"": 4, ""shrinkage"": 0.1, ""spearman"": 0.4658747656104261, ""teams"": 948}, {""pairwise_accuracy"": 0.6609457222667067, ""seasons"": 4, ""shrinkage"": 0.5, ""spearman"": 0.4657526093589427, ""teams"": 948}, {""pairwise_accuracy"": 0.6605144876278821, ""seasons"": 4, ""shrinkage"": 0.0, ""spearman"": 0.4650077324239096, ""teams"": 948}]"
4,2023/24,2018/19|2019/20|2020/21|2021/22|2022/23,0.2,43.326590098631264,"[{""pairwise_accuracy"": 0.6614124048575445, ""seasons"": 5, ""shrinkage"": 0.2, ""spearman"": 0.46659154539867637, ""teams"": 1181}, {""pairwise_accuracy"": 0.6610922708908522, ""seasons"": 5, ""shrinkage"": 0.35, ""spearman"": 0.4659944168664675, ""teams"": 1181}, {""pairwise_accuracy"": 0.6611889084252318, ""seasons"": 5, ""shrinkage"": 0.1, ""spearman"": 0.4659403889896542, ""teams"": 1181}, {""pairwise_accuracy"": 0.6610169262475526, ""seasons"": 5, ""shrinkage"": 0.75, ""spearman"": 0.46558212545392447, ""teams"": 1181}, {""pairwise_accuracy"": 0.6610692111088976, ""seasons"": 5, ""shrinkage"": 0.5, ""spearman"": 0.46557634813803994, ""teams"": 1181}, {""pairwise_accuracy"": 0.6609138225839848, ""seasons"": 5, ""shrinkage"": 0.0, ""spearman"": 0.46524796960273074, ""teams"": 1181}]"
5,2024/25,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,0.2,45.03329346103284,"[{""pairwise_accuracy"": 0.6627594231000873, ""seasons"": 6, ""shrinkage"": 0.2, ""spearman"": 0.470492141209898, ""teams"": 1415}, {""pairwise_accuracy"": 0.6627620982005922, ""seasons"": 6, ""shrinkage"": 0.1, ""spearman"": 0.47048143645422014, ""teams"": 1415}, {""pairwise_accuracy"": 0.6627156116823971, ""seasons"": 6, ""shrinkage"": 0.0, ""spearman"": 0.4703359189735595, ""teams"": 1415}, {""pairwise_accuracy"": 0.662315225523111, ""seasons"": 6, ""shrinkage"": 0.35, ""spearman"": 0.4698016103388636, ""teams"": 1415}, {""pairwise_accuracy"": 0.6621678034940118, ""seasons"": 6, ""shrinkage"": 0.5, ""spearman"": 0.4690942457207618, ""teams"": 1415}, {""pairwise_accuracy"": 0.6619837821604762, ""seasons"": 6, ""shrinkage"": 0.75, ""spearman"": 0.4686318199416236, ""teams"": 1415}]"
6,2025/26,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,0.0,61.645410367573355,"[{""pairwise_accuracy"": 0.6644662792188959, ""seasons"": 7, ""shrinkage"": 0.0, ""spearman"": 0.47498153400398113, ""teams"": 1651}, {""pairwise_accuracy"": 0.6644439781162312, ""seasons"": 7, ""shrinkage"": 0.1, ""spearman"": 0.4747938042870736, ""teams"": 1651}, {""pairwise_accuracy"": 0.6643743641814814, ""seasons"": 7, ""shrinkage"": 0.2, ""spearman"": 0.47471188129528086, ""teams"": 1651}, {""pairwise_accuracy"": 0.6638279480570668, ""seasons"": 7, ""shrinkage"": 0.35, ""spearman"": 0.47367781658580604, ""teams"": 1651}, {""pairwise_accuracy"": 0.66366017062904, ""seasons"": 7, ""shrinkage"": 0.5, ""spearman"": 0.47293824697009845, ""teams"": 1651}, {""pairwise_accuracy"": 0.6634920968691508, ""seasons"": 7, ""shrinkage"": 0.75, ""spearman"": 0.4722748939073276, ""teams"": 1651}]"
