arm,team_seasons,moved_team_seasons,mean_abs_delta,p95_abs_delta,max_abs_delta,full_participation_max_abs_delta,zero_participation_max_abs_delta
BASELINE,1413,0,6.661903866489602e-14,2.2737367544323206e-13,4.547473508864641e-13,4.547473508864641e-13,0.0
PARTICIPATION_BLIND_LIFT,1413,1413,22.649136463982686,45.03329346103283,61.64541036757339,21.575893628650874,61.64541036757339
PARTICIPATION_NORMALIZED,1413,745,26.55589950696663,97.42546727883975,165.96898733578132,4.547473508864641e-13,0.0
