arm,matches,brier_1x2,log_loss_1x2,brier_1x2_vs_baseline,log_loss_1x2_vs_baseline
BASELINE,6340,0.570934330197373,0.9624318418981415,0.0,0.0
PARTICIPATION_BLIND_LIFT,6340,0.5708510952563083,0.9623235754212282,-8.323494106476925e-05,-0.00010826647691331015
PARTICIPATION_NORMALIZED,6340,0.5688836429009395,0.9595282047741462,-0.00205068729643354,-0.0029036371239952175
