goal_weight,goal_cap,matches,brier,log_loss,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation
0.25,1.75,6340,0.1611225073046735,0.6155080407632049,126.12002003409,9.094947017729282e-13,530.4385510606623,0.9032314314798668
0.25,2.0,6340,0.1611225073046735,0.6155080407632049,126.12002003409,9.094947017729282e-13,530.4385510606623,0.9032314314798668
0.25,1.5,6340,0.16112292793848584,0.6155090133940656,126.11859605451347,9.094947017729282e-13,530.4428226013306,0.9032314314798668
0.25,1.25,6340,0.16121153786824288,0.6157111035770965,112.84026070778629,9.094947017729282e-13,525.128961242981,0.9035683147165021
0.5,2.0,6340,0.16123011740434903,0.6157544066892794,165.6027381601659,9.094947017729282e-13,573.488035053578,0.8959414243131095
0.5,1.75,6340,0.16126109787053744,0.6158200922472815,155.38262455287867,9.094947017729282e-13,573.4902839173119,0.8957907854674596
0.5,1.25,6340,0.1612853985754424,0.6158773728506661,115.56170193162542,9.094947017729282e-13,529.7582722703044,0.9023595521004988
0.75,1.25,6340,0.1612853985754424,0.6158773728506661,115.56170193162542,9.094947017729282e-13,529.7582722703044,0.9023595521004988
1.0,1.25,6340,0.1612853985754424,0.6158773728506661,115.56170193162542,9.094947017729282e-13,529.7582722703044,0.9023595521004988
0.0,1.0,6340,0.16129914645971125,0.6159545030541498,94.9584820589952,9.094947017729282e-13,506.3378533270459,0.9079742727110884
0.5,1.5,6340,0.1613304819655147,0.6159696995978579,136.26008480995495,9.094947017729282e-13,563.395012438272,0.8969712462397348
0.75,1.5,6340,0.1615477361075639,0.6164748509400628,139.68789847632019,9.094947017729282e-13,572.4139176824433,0.8948349135196081
1.0,1.5,6340,0.1615477361075639,0.6164748509400628,139.68789847632019,9.094947017729282e-13,572.4139176824433,0.8948349135196081
0.75,1.75,6340,0.1616237119782847,0.6166636086647407,159.86441163629505,9.094947017729282e-13,599.8691227637222,0.8913565256291452
0.75,2.0,6340,0.1616249890336498,0.6166903310932861,177.75111626799224,9.094947017729282e-13,612.8643668537817,0.8911310238420208
1.0,1.75,6340,0.16192563577844965,0.6173803390753144,159.99454313404965,9.094947017729282e-13,609.7743597997965,0.8895771613250741
1.0,2.0,6340,0.16206606800212747,0.6177418278351022,183.62652719755692,9.094947017729282e-13,634.5995892109712,0.8853483180944641
